ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ESE-111,2016C,DANIEL D. LEE,2.78,1.27,3.24,2.81,1.67
ESE-115,2005C,JEAN GRIFFIN,2.42,2.60,2.37,1.82,3.08
ESE-200,2010A,JAN VAN DER SPIEGEL,3.33,2.43,3.75,3.18,2.46
ESE-210,2016C,ROBERT W. GHRIST,2.97,3.48,3.23,3.31,3.21
ESE-215,2016C,THOMAS FARMER,2.55,3.38,2.95,2.71,3.35
ESE-301,2016A,SANTOSH S VENKATESH,2.85,3.67,3.20,2.93,3.30
ESE-302,2016C,TONY EDWARD SMITH,1.74,2.62,2.00,1.14,2.14
ESE-303,2016C,ALEJANDRO R. RIBEIRO,2.11,2.78,2.56,2.27,2.90
ESE-304,2016A,MICHAEL A. CARCHIDI,1.47,2.45,1.59,0.76,2.21
ESE-310,2016A,NADER ENGHETA,3.00,3.00,3.43,3.29,2.86
ESE-319,2016A,JAN VAN DER SPIEGEL,2.50,2.67,3.40,3.00,2.83
ESE-342,2004C,G ERIC JOHANSEN,3.40,1.40,3.50,2.90,1.60
ESE-400,2016C,THOMAS A. CASSEL,3.35,2.97,3.53,3.28,3.53
ESE-405,2007C,IRAJ ZANDI,1.92,2.54,1.69,1.85,2.00
ESE-419,2016C,FIROOZ AFLATOUNI,3.40,3.28,3.40,3.24,3.20
ESE-441,2008C,KENNETH R LAKER,2.75,3.25,2.25,2.75,3.25
ESE-444,2016C,MARCIA V WILKOF,2.07,1.14,2.74,2.27,2.32
ESE-460,2016C,JORGE JUAN SANTIAGO,1.82,2.00,1.94,1.75,1.81
ESE-491,2010A,RAYMOND WATROUS,1.88,3.17,2.88,2.33,3.83
ESE-500,2016C,MICHAEL A. CARCHIDI,2.71,2.84,2.76,1.89,2.53
ESE-504,2016C,MICHAEL A. CARCHIDI,2.66,3.16,2.83,1.92,2.72
ESE-508,2005C,BARRY G. SILVERMAN,2.73,2.20,3.07,2.93,2.33
ESE-509,2014C,DWIGHT L JAGGARD,2.33,3.20,2.87,2.53,2.67
ESE-510,2016C,NADER ENGHETA,3.50,2.78,3.90,3.89,3.22
ESE-525,2016C,MARK GEORGE ALLEN,3.49,2.80,3.62,3.42,2.61
ESE-530,2016C,SANTOSH S VENKATESH,3.43,3.79,3.71,3.64,3.29
ESE-531,2015C,SALEEM A KASSAM,3.05,3.21,3.16,2.74,2.95
ESE-554,2008C,VUKAN R VUCHIC,2.67,3.08,3.17,2.58,2.92
ESE-575,2013C,GUN AKKOR,2.33,3.00,2.50,2.17,3.17
