ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
FILM-208,2002A,RUTH PERLMUTTER,2.78,1.44,2.78,2.56,1.44
CLST-204,2003A,JACQUELINE N SADASHIGE,3.24,2.04,3.50,3.71,2.25
CLST-508,2002A,JACQUELINE N SADASHIGE,3.00,2.46,3.46,3.00,2.31
ENGL-092,2016C,TIMOTHY CORRIGAN,3.22,2.10,3.40,3.48,2.32
ENGL-261,2015C,ALAN J FILREIS,3.79,2.67,3.76,3.86,2.75
ENGL-292,2016A,JEAN-MICHEL RABATE,3.46,2.11,3.69,4.00,2.33
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
HIST-322,2002A,JONATHAN STEINBERG,3.59,2.52,3.75,3.59,2.60
ITAL-080,2006C,VICTORIA E KIRKHAM,2.73,2.00,2.73,2.27,2.13
ITAL-280,2002A,JOSEPH M LUZZI,3.46,2.46,3.85,3.46,2.69
RUSS-225,2002C,VLADISLAV T. TODOROV,3.20,1.70,3.47,3.13,1.66
SARS-205,2004A,HARIHARAN KRISHNAN,2.95,1.95,3.36,3.33,1.86
FILM-292,2003A,RUTH PERLMUTTER,3.39,1.83,3.56,3.44,1.72
AMES-154,2004A,NILI R GOLD,2.92,1.83,3.33,3.08,1.92
ASAM-232,2003A,JACQUELINE N SADASHIGE,3.45,1.91,3.82,3.82,1.73
FREN-230,2016C,PHILIPPE CHARLES MET,2.96,2.61,3.19,3.22,2.61
FREN-382,2014A,PHILIPPE CHARLES MET,3.00,1.75,2.76,2.75,1.75
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
RUSS-024,2002C,VLADISLAV T. TODOROV,3.07,1.14,3.57,2.64,1.36
SPAN-386,2016A,FRANCISCO FERNANDEZ,2.92,2.60,3.17,3.00,3.30
WSTD-201,2003A,DEBORAH L. SHAPPLE,3.50,2.46,3.58,3.46,2.77
COML-301,2003B,THOMAS KELSO,3.25,3.29,3.50,3.00,2.88
AFAM-207,2002C,LOUIS JOSEPH MASSIAH,2.70,2.50,2.90,2.10,3.10
AFAM-400,2004C,DONALD E BOGLE,3.63,2.11,3.53,3.53,2.16
AMES-396,2005A,WILLIAM R. LAFLEUR,3.19,2.67,3.52,3.24,2.52
ENGL-091,2014C,PETER DECHERNEY,2.87,2.10,3.05,3.12,2.24
FREN-231,2016C,GERALD J PRINCE,3.27,2.44,3.45,3.50,2.00
GRMN-550,2011A,SIMON J RICHTER,1.50,2.50,2.50,1.00,3.00
ITAL-590,2002C,MILLICENT J MARCUS,3.50,2.50,3.83,4.00,2.50
RELS-105,2008A,TIRDAD DERAKHSHANI,2.27,2.55,2.45,2.00,2.70
WSTD-234,2002C,JACQUELINE N SADASHIGE,3.91,2.27,3.91,3.91,2.00
COMM-140,2012B,SANDRA RISTOVSKA,3.50,1.88,3.50,3.50,2.00
GRMN-257,2012A,CATRIONA MACLEOD,3.36,2.25,3.27,3.50,2.38
GRMN-261,2014A,KATHRYN HELLERSTEIN,2.43,1.69,2.57,2.50,1.69
ITAL-390,2003C,MILLICENT J MARCUS,3.75,2.63,3.88,3.63,3.00
RUSS-275,2016A,VLADISLAV T. TODOROV,1.88,1.89,2.00,2.50,1.44
RUSS-426,2016C,VERA ZUBAREV,3.00,2.00,3.20,3.00,1.33
RUSS-436,2005A,VLADISLAV T. TODOROV,3.11,1.88,3.33,3.11,2.00
SPAN-397,2016C,JORGE TELLEZ,3.46,1.82,3.77,3.55,2.00
FILM-503,2004C,SUSAN B MACKAY-KALLIS,2.70,2.40,2.70,2.90,2.60
AMES-118,2004A,PARDIS MINUCHEHR,2.83,1.33,2.50,2.08,2.17
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ARTH-593,2016A,KAREN BECKMAN,3.75,3.17,4.00,3.92,3.50
ASAM-009,2008A,JACQUELINE N SADASHIGE,3.31,1.56,3.63,3.75,1.69
