ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
FNAR-061,2016C,JAMES HOWZELL,3.57,1.83,3.71,3.67,2.50
FNAR-062,2016A,DAVID HARTT,4.00,2.00,3.80,4.00,1.75
FNAR-063,2016C,MICHAEL CRANE,3.50,2.44,3.70,3.67,2.44
FNAR-123,2016C,MARJORIE A EDGERTON,2.86,2.00,2.71,3.20,3.00
FNAR-124,2016A,JOAN WADLEIGH CURRAN,3.75,3.00,4.00,4.00,3.50
FNAR-141,2004A,ANDA DUBINSKIS,2.89,2.11,3.22,3.00,2.44
FNAR-142,2014C,NICK VIDNOVIC,3.38,1.13,3.75,3.25,1.00
FNAR-145,2016C,TOM BENDTSEN,2.92,2.33,3.00,3.33,2.56
FNAR-146,2008A,SCOTT G. WHITE,4.00,2.00,4.00,4.00,2.50
FNAR-211,2013A,DIANE LACHMAN,3.25,2.75,3.20,2.50,3.25
FNAR-231,2016C,PERNOT HUDSON,3.64,2.44,3.82,3.67,3.11
FNAR-232,2016C,JACQUELINE N. TILESTON,3.80,2.40,3.80,3.80,3.20
FNAR-235,2016C,SCOTT G. WHITE,3.20,2.20,3.48,3.45,2.60
FNAR-243,2016A,TOM BENDTSEN,3.25,1.67,3.50,3.67,2.00
FNAR-251,2016A,IVANCO TALEVSKI,4.00,1.50,4.00,4.00,2.50
FNAR-260,2012A,MATTHEW COURTNEY,3.67,2.00,3.67,3.33,2.25
FNAR-261,2013A,MATTHEW COURTNEY,3.80,1.00,3.80,3.00,2.00
FNAR-263,2016C,RYAN J. GREENHECK,4.00,2.75,3.75,3.50,3.00
FNAR-265,2004A,WILLIAM HANEY,2.83,2.33,2.83,2.67,2.67
FNAR-267,2016C,JOSHUA MOSLEY,3.44,2.50,3.67,3.63,3.00
FNAR-268,2016C,ORKAN TELHAN,3.08,2.83,3.25,3.36,2.67
FNAR-269,2016C,SHARKA BROD HYLAND,3.92,2.91,4.00,3.73,3.00
FNAR-271,2016C,GABRIEL MARTINEZ,3.88,2.50,3.88,3.75,3.13
FNAR-272,2015A,KAREN RODEWALD,3.17,2.80,3.50,2.80,2.80
FNAR-274,2016C,FREDERICK WAHL,3.43,2.80,3.57,3.80,2.60
FNAR-275,2010C,KAREN RODEWALD,3.43,3.00,3.57,3.33,3.67
FNAR-277,2016A,FREDERICK WAHL,2.64,3.00,2.91,2.60,3.00
FNAR-280,2016C,IVANCO TALEVSKI,3.38,2.62,3.46,3.46,2.38
