ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
FNCE-011,2004A,TAYYEB SHABBIR,2.95,2.55,3.30,3.10,2.40
FNCE-012,2004A,TAYYEB SHABBIR,3.04,2.84,3.08,2.76,2.80
FNCE-100,2016C,JESSICA A WACHTER,3.12,2.86,3.42,2.89,2.18
FNCE-101,2016C,JEREMY SIEGEL,3.28,3.51,3.63,3.60,2.57
FNCE-203,2016C,RICHARD E KIHLSTROM,1.92,3.28,1.58,0.68,3.26
FNCE-205,2016C,ROBERT F STAMBAUGH,2.90,3.22,3.07,2.83,2.72
FNCE-206,2016C,KRISHNA RAMASWAMY,2.15,3.06,2.38,2.18,3.12
FNCE-207,2016C,DAVID WESSELS,3.63,3.30,3.77,3.86,2.81
FNCE-219,2016C,URBAN J JERMANN,2.60,3.13,2.80,2.17,2.65
FNCE-238,2016C,DAVID K. MUSTO,2.82,2.90,2.82,2.36,2.44
FNCE-250,2016C,LUCIAN A. TAYLOR,3.14,3.11,3.52,3.41,3.06
REAL-209,2016C,MAISY WONG,2.90,2.97,3.10,2.82,3.09
REAL-236,2016A,SUSAN M WACHTER,2.52,2.67,2.67,2.38,2.35
FNCE-025,2003A,JOSEPH FRIEDMAN,2.42,2.67,2.58,1.83,2.25
FNCE-399,2003A,KRISHNA RAMASWAMY,3.00,3.30,2.87,3.00,3.61
FNCE-103,2013C,MARTIN A. ASHER,3.41,3.32,3.52,3.32,2.32
FNCE-208,2016C,RICHARD MARSTON,2.83,3.06,3.13,2.33,2.81
FNCE-220,2016A,RICHARD J HERRING,3.35,3.15,3.30,2.85,2.31
FNCE-411,2012A,STEPHEN P MULLIN,2.33,2.70,2.64,2.67,2.59
FNCE-412,2012B,FRANCIS N LA MAY,3.70,2.80,3.60,3.30,3.00
FNCE-239,2016A,NIKOLAI ROUSSANOV,2.51,2.33,2.59,2.42,2.13
FNCE-251,2016C,KARIN S. THORBURN,2.93,2.73,3.16,2.91,2.79
BPUB-230,2011C,ROBERT P INMAN,3.06,2.73,3.23,3.03,2.12
FNCE-532,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FNCE-533,2008C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
FNCE-717,2016C,KRISHNA RAMASWAMY,3.03,3.21,3.03,2.60,3.08
FNCE-720,2016C,CHRISTOPHER C GECZY,2.61,3.86,2.96,2.67,3.81
FNCE-725,2016C,STEPHAN DIECKMANN,2.97,3.21,3.45,3.63,2.58
FNCE-726,2016C,BULENT GULTEKIN,3.71,3.29,3.86,3.86,3.57
FNCE-728,2016C,DAVID WESSELS,3.29,2.91,3.46,3.62,2.38
FNCE-731,2016A,GORDON M. BODNAR,3.58,3.29,3.67,3.57,3.46
FNCE-738,2016C,DAVID K. MUSTO,2.64,2.44,2.55,2.33,2.33
FNCE-750,2016C,DAVID WESSELS,3.38,3.21,3.55,3.61,2.61
FNCE-892,2014A,DOMENICO CUOCO,3.08,4.00,3.17,2.73,3.55
FNCE-912,2013A,ITAY GOLDSTEIN,3.44,3.00,3.67,3.25,2.75
FNCE-924,2016A,PRICILA MAZIERO,2.75,2.25,2.75,2.50,2.25
FNCE-933,2009A,KAREN KAY LEWIS,2.58,2.92,2.58,2.75,2.08
REAL-721,2016C,FERNANDO V. FERREIRA,2.50,2.38,2.20,1.86,2.52
FNCE-604,2014C,SIMON GERVAIS,3.00,2.11,3.12,2.36,1.94
FNCE-719,2016C,URBAN J JERMANN,3.10,2.83,3.40,2.83,2.50
FNCE-732,2016A,RICHARD J HERRING,2.86,2.79,3.00,2.74,2.68
FNCE-751,2016C,BILGE YILMAZ,2.77,3.18,3.13,3.00,3.20
FNCE-235,2016C,STEPHAN DIECKMANN,3.14,3.17,3.43,3.54,2.92
FNCE-391,2016A,KARIN S. THORBURN,3.31,3.13,3.42,3.48,3.36
FNCE-394,2012A,SCOTT F. RICHARD,3.04,2.75,3.30,2.94,1.75
FNCE-396,2011A,BILGE YILMAZ,3.00,2.22,3.21,3.09,2.09
FNCE-721,2012C,ASUKA NAKAHARA,1.83,2.68,3.30,3.27,2.68
FNCE-739,2016A,NIKOLAI ROUSSANOV,2.06,1.94,2.09,1.63,1.88
FNCE-891,2016A,BILGE YILMAZ,2.75,2.93,3.38,3.50,2.58
FNCE-894,2016A,SCOTT F. RICHARD,3.47,3.10,3.80,3.50,2.70
FNCE-895,2016A,BILGE YILMAZ,3.06,0.73,3.02,3.15,0.81
FNCE-921,2011A,DANA KIKU,2.63,3.75,2.50,2.50,3.75
FNCE-922,2011A,DOMENICO CUOCO,3.78,3.63,3.89,3.25,3.63
FNCE-911,2016C,JESSICA A WACHTER,3.91,3.09,3.91,3.91,3.18
FNCE-603,2011C,ANDREW C MACKINLAY,2.36,1.10,2.76,2.44,0.52
FNCE-893,2016C,ZVI ECKSTEIN,2.44,2.29,2.50,2.36,2.43
FNCE-897,2016A,BULENT GULTEKIN,3.05,2.45,3.22,3.28,2.66
FNCE-611,2016C,MICHAEL ROBERTS,2.72,3.04,3.08,3.38,2.40
FNCE-612,2016C,VITO D. GALA,1.29,2.97,1.29,1.06,2.78
FNCE-613,2016C,ANDREW B ABEL,3.08,2.88,3.38,3.00,2.75
FNCE-926,2016A,TODD A. GORMLEY,3.71,3.45,3.64,3.36,3.55
FNCE-928,2015C,JOHN Y. ZHU,3.90,2.29,4.00,3.86,2.00
BEPP-230,2016C,ROBERT P INMAN,3.40,3.11,3.73,3.49,2.34
BEPP-773,2016C,ROBERT P INMAN,3.35,1.50,3.48,3.36,1.67
FNCE-381,2013A,CHRISTOPHER C GECZY,2.75,1.81,3.33,3.30,2.04
FNCE-615,2016A,ANTHONY LANDRY,2.21,2.42,2.74,2.46,2.02
FNCE-881,2013A,CHRISTOPHER C GECZY,2.19,1.95,2.68,2.38,1.93
FNCE-393,2016C,ZVI ECKSTEIN,2.68,3.00,2.39,2.70,2.43
FNCE-937,2013C,JOAO F. GOMES,3.30,3.50,3.70,3.50,3.40
FNCE-254,2016A,CHRISTOPHER C GECZY,2.31,1.58,2.81,2.55,1.98
FNCE-382,2014A,ERIK GILJE,3.32,2.93,3.26,3.20,3.00
FNCE-754,2016A,CHRISTOPHER C GECZY,1.76,1.53,2.37,2.03,1.82
FNCE-882,2014A,ERIK GILJE,2.74,2.47,2.68,2.50,2.84
FNCE-256,2016A,ERIK GILJE,3.26,2.95,3.47,3.57,3.10
FNCE-383,2016A,DAVID ERICKSON,2.94,2.57,3.25,3.68,2.48
FNCE-614,2016A,STEPHAN DIECKMANN,2.44,2.43,2.56,2.57,2.29
FNCE-756,2016A,ERIK GILJE,2.32,2.92,2.40,1.97,3.50
FNCE-883,2016C,DAVID ERICKSON,2.73,2.69,3.16,3.18,2.70
FNCE-392,2016A,KRISHNA RAMASWAMY,3.20,3.33,3.30,3.22,2.67
FNCE-884,2016A,BILGE YILMAZ,3.51,3.11,3.38,3.45,3.10
FNCE-896,2016A,BULENT GULTEKIN,2.86,1.81,3.00,2.96,1.73
FNCE-386,2016C,BILGE YILMAZ,3.04,2.00,3.17,3.13,1.80
FNCE-885,2016C,SHIMON KOGAN,2.09,2.37,2.02,1.87,2.39
FNCE-886,2016C,BILGE YILMAZ,2.41,1.82,2.97,3.05,1.50
