ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GAFL-515,2016A,ALBERT P MATTEO,2.80,3.29,2.94,3.29,2.54
GAFL-532,2014C,JAMES F KENNEY,3.14,2.00,3.14,3.67,2.17
GAFL-560,2015A,MARJORIE MARGOLIES-MEZVINSKY,3.64,2.45,3.83,3.91,2.45
GAFL-561,2014C,MARJORIE MARGOLIES-MEZVINSKY,3.00,2.83,3.13,3.17,2.50
GAFL-569,2014C,JOHN KROMER,3.25,1.83,3.58,3.14,1.87
GAFL-589,2015C,DEIRDRE MARTINEZ,2.86,2.17,2.86,3.50,2.67
GAFL-505,2005C,CHRISTOPHER PATUSKY,3.80,2.80,3.80,3.80,3.20
GAFL-530,2016C,GUY GROSSMAN,2.89,3.11,3.44,3.56,2.89
GAFL-504,2007A,VINCENT A GALKO,3.75,2.00,4.00,4.00,2.25
GAFL-528,2014C,MATTHEW A HUGG,2.44,2.13,2.67,2.88,3.06
URBS-320,2016C,MARY F ROCCO,2.70,1.86,2.66,2.57,1.87
GAFL-562,2008A,MARJORIE MARGOLIES-MEZVINSKY,2.78,2.61,2.83,2.78,2.87
GAFL-570,2005C,JOHN J. MULHERN,3.70,2.20,3.70,3.10,2.90
GAFL-521,2015A,MATTHEW A HUGG,3.18,2.70,3.00,3.67,3.50
GAFL-475,2006A,HARVEY RUBIN,3.07,1.73,3.73,3.47,1.87
GAFL-541,2007A,JACQUELINE REEVES,3.71,1.79,3.79,3.57,2.00
CLST-310,2016A,JOHN J. MULHERN,2.92,1.91,3.08,3.18,2.55
GAFL-340,2006C,JOSEPH P TIERNEY,3.33,2.67,4.00,3.67,2.33
GAFL-490,2008C,DEIRDRE MARTINEZ,3.33,2.11,3.33,3.12,2.11
GAFL-520,2008C,GLORIA M GUARD,2.56,2.00,2.78,2.67,2.56
PSCI-135,2016C,MARY E SUMMERS,2.74,2.16,3.11,3.20,2.88
PSCI-440,2007A,JOHN DIIULIO,3.76,2.41,3.94,3.82,2.82
GAFL-502,2016C,ARTHUR C. BENEDICT,3.50,1.80,3.63,3.53,2.07
GAFL-180,2010A,BRETT MANDEL,2.60,2.20,2.40,2.40,2.80
GAFL-472,2007C,DAVID H GROSSMAN,2.60,2.00,3.80,3.20,2.20
CLST-370,2016C,JOHN J. MULHERN,3.38,1.67,3.38,3.00,2.50
ENVS-494,2015A,DANIEL K GAROFALO,3.44,2.17,3.56,3.50,2.14
PSCI-240,2016C,JOHN DIIULIO,3.31,1.77,3.77,3.46,1.85
PSCI-335,2016A,MARY E SUMMERS,2.79,2.16,3.21,3.00,3.32
GAFL-341,2007A,JOSEPH P TIERNEY,2.85,1.85,3.00,2.69,2.00
MKTG-211,2016C,JASON RIIS,3.05,1.71,3.32,2.89,1.94
NURS-400,2015A,MATTHEW D. MCHUGH,1.75,3.00,2.13,1.75,2.75
PSCI-139,2010B,PETER FUNKE,2.85,2.08,3.31,3.08,3.25
GAFL-181,2008A,GERMAIN E DESEVE,4.00,3.00,4.00,4.00,3.13
GAFL-345,2011C,JOSEPH P TIERNEY,3.27,2.30,2.90,3.20,2.40
GAFL-342,2008A,JOSEPH P TIERNEY,3.67,2.50,3.83,3.67,2.83
GAFL-421,2008A,GERTRUDE S. RUBIN,2.71,2.57,2.79,2.64,2.57
ANTH-437,2010A,FRANCES BARG,2.52,2.15,3.13,2.45,2.30
ENVS-415,2008A,FREDERICK N. SCATENA,3.43,3.00,3.71,3.71,2.57
GAFL-503,2015A,ARTHUR C. BENEDICT,3.75,2.45,3.92,3.82,2.45
GAFL-343,2010C,JOSEPH P TIERNEY,3.33,2.27,3.25,3.55,2.73
PSCI-138,2015A,BRIAN ROSENWALD,2.21,3.08,2.29,2.69,3.77
GAFL-517,2012B,LEE YOUNG HUANG,3.50,3.50,3.50,3.00,3.00
GAFL-523,2014C,WAYNE A SMITH,3.00,2.96,3.26,3.26,3.77
GAFL-548,2016C,COLLEEN TERRELL,3.67,2.67,3.67,3.56,2.67
GAFL-549,2016C,TINE HANSEN-TURTON,3.00,2.29,3.07,3.29,2.57
GAFL-551,2016C,ROBERT A. NIXON,2.88,2.38,3.38,3.50,2.43
URBS-451,2016C,JOHN KROMER,2.92,2.35,2.92,3.00,2.52
GAFL-529,2016C,JANET ROSENZWEIG,3.00,2.11,3.33,3.00,2.22
GAFL-534,2016A,PETER A ANGELIDES,2.36,2.31,2.57,2.69,2.42
GAFL-546,2016A,TINE HANSEN-TURTON,2.88,2.50,3.17,3.50,2.93
GAFL-526,2016C,STEVEN C GENYK,3.25,2.80,3.40,3.40,2.25
GAFL-531,2016C,ELLEN A DONNELLY,3.00,2.89,3.70,3.56,2.67
