ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GEOL-001,2005B,GOMAA IBRAHIM OMAR,3.50,2.21,3.75,3.46,2.58
GEOL-125,2016A,LAUREN COLE SALLAN,1.25,2.81,1.14,1.16,2.32
GEOL-130,2016C,YVETTE L BORDEAUX,2.68,2.67,2.89,2.87,2.67
GEOL-201,2016C,GOMAA IBRAHIM OMAR,3.20,2.40,3.40,3.20,1.60
GEOL-206,2016C,DOUGLAS J. JEROLMACK,2.60,2.50,3.20,3.00,2.75
GEOL-401,2014A,SARAH A WILLIG,2.95,1.44,3.68,3.33,2.39
GEOL-418,2016C,RETO GIERE,3.55,3.09,3.73,3.45,2.73
GEOL-511,2015A,ALAIN PLANTE,2.00,2.67,1.90,2.67,2.60
GEOL-515,2015A,HERMANN W PFEFFERKORN,3.18,2.80,3.27,3.50,2.70
GEOL-530,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GEOL-208,2016A,STEPHEN P. PHIPPS,3.00,2.71,3.44,3.67,2.43
GEOL-420,2016A,DAVID GOLDSBY,1.80,2.89,2.20,1.89,2.22
GEOL-477,2011A,PETER DODSON,3.36,1.90,3.64,3.60,1.80
GEOL-003,2006C,GINO C SEGRE,1.63,2.66,1.88,1.27,1.95
GEOL-100,2016C,GOMAA IBRAHIM OMAR,2.08,2.82,2.72,2.78,2.29
GEOL-109,2016C,GOMAA IBRAHIM OMAR,3.20,2.83,3.50,3.67,2.67
GEOL-205,2015C,LAUREN COLE SALLAN,2.29,2.87,2.52,2.46,2.26
GEOL-317,2016A,GOMAA IBRAHIM OMAR,3.13,3.14,3.50,3.57,2.29
GEOL-526,2002C,HERMANN W PFEFFERKORN,2.33,2.56,3.33,2.89,2.78
GEOL-528,2016C,MARIA-ANTONIA ANDREWS,2.00,2.67,2.19,2.58,2.92
GEOL-546,2008C,FREDERICK N. SCATENA,2.50,3.25,2.20,2.00,3.40
GEOL-415,2008C,HERMANN W PFEFFERKORN,1.80,2.60,3.00,2.80,2.20
GEOL-103,2016C,MITCH A CRON,2.93,1.59,3.34,3.03,1.79
GEOL-478,2014A,PETER DODSON,3.50,1.18,3.83,3.73,1.45
GEOL-540,2015A,STEPHEN P. PHIPPS,3.33,3.00,3.67,3.67,2.00
GEOL-096,2011C,FREDERICK N. SCATENA,2.40,2.00,2.20,1.40,2.00
GEOL-500,2015C,STEPHEN P. PHIPPS,3.33,1.50,3.67,3.50,1.00
GEOL-506,2006C,BENJAMIN P. HORTON,4.00,2.75,4.00,4.00,2.75
GEOL-501,2005A,ROBERT F GIEGENGACK,3.19,2.38,4.00,3.63,2.13
GEOL-390,2005C,STEPHEN P. PHIPPS,3.50,2.00,3.50,3.00,2.25
GEOL-417,2008A,GOMAA IBRAHIM OMAR,4.00,2.50,3.50,3.50,2.00
ENVS-399,2016A,JANE KATHRYN WILLENBRING,2.00,2.27,2.23,2.18,2.27
GEOL-305,2016A,DOUGLAS J. JEROLMACK,3.00,3.33,3.50,3.33,3.33
GEOL-421,2014A,ALAIN PLANTE,2.56,3.25,2.78,2.78,3.56
GEOL-503,2011A,STEPHEN P. PHIPPS,2.40,2.33,3.20,2.67,2.33
GEOL-529,2009C,HEINRICH D. HOLLAND,3.50,3.00,4.00,3.80,3.00
GEOL-542,2015C,DOUGLAS J. JEROLMACK,2.56,3.22,3.11,3.11,3.11
GEOL-545,2008A,DOUGLAS J. JEROLMACK,2.00,3.00,3.40,3.00,3.00
GEOL-508,2016A,STEPHEN P. PHIPPS,2.70,2.04,3.30,3.22,1.70
GEOL-527,2011A,PHILLIP MANNING,3.33,2.00,3.67,3.50,0.83
GEOL-403,2016A,GOMAA IBRAHIM OMAR,2.50,2.00,3.25,3.33,1.33
GEOL-419,2011C,BENJAMIN P. HORTON,2.17,2.83,2.17,1.50,2.17
GEOL-422,2014C,JANE KATHRYN WILLENBRING,3.40,2.75,3.20,3.50,2.75
GEOL-541,2012B,ALAIN PLANTE,3.00,3.00,3.00,3.00,2.50
GEOL-423,2013A,JANE KATHRYN WILLENBRING,3.00,1.67,3.00,2.33,2.00
GEOL-330,2016C,JAMES MURRAY,2.33,2.60,2.67,3.00,2.00
GEOL-318,2015C,DAVID GOLDSBY,3.17,2.00,3.67,3.67,1.17
GEOL-409,2015A,JANE E DMOCHOWSKI,2.67,2.25,3.33,3.50,2.25
GEOL-411,2016C,ALAIN PLANTE,3.11,2.78,3.22,3.56,2.89
GEOL-510,2015A,NATHAN PALDOR,2.83,3.00,2.83,3.20,2.00
GEOL-453,2016C,DAVID GOLDSBY,2.43,2.67,2.71,2.67,2.00
