ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GREK-016,2015A,DIMITRA TSEKOURA,2.00,1.75,2.00,2.50,1.50
GREK-102,2016A,JULIE NISHIMURA-JENSEN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-204,2016A,PATRICK O GLAUTHIER,3.71,2.33,4.00,4.00,2.50
GREK-309,2016C,PATRICK O GLAUTHIER,3.27,2.82,3.73,3.73,2.73
GREK-430,2012A,JAMES KER,3.09,3.00,3.82,3.45,2.55
GREK-018,2016A,DIMITRA TSEKOURA,3.67,2.67,3.67,3.67,2.33
GREK-112,2012B,VIRGINIA M CLOSS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-017,2015C,DIMITRA TSEKOURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-101,2016C,JULIE NISHIMURA-JENSEN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-203,2016C,ELIZABETH PALAZZOLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-015,2016C,DIMITRA TSEKOURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-115,2014C,DIMITRA TSEKOURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GREK-503,2003C,DONALD A RINGE,3.67,3.00,4.00,4.00,2.67
GREK-540,2016A,JAMES KER,3.00,2.60,3.86,3.60,2.50
GREK-530,2010A,EMILY R. C. WILSON,2.57,3.29,2.71,2.29,3.43
GREK-212,2012B,CHARLES T. HAM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANCH-535,2016C,CAMPBELL AINSWORTH GREY,3.00,3.00,4.00,4.00,4.00
GREK-541,2015C,PETER T. STRUCK,3.10,3.80,3.22,3.40,3.80
GREK-302,2012A,JEREMY JAMES MCINERNEY,4.00,3.40,4.00,3.80,3.40
GREK-215,2014A,DIMITRA TSEKOURA,3.50,2.00,3.50,3.50,2.50
CLST-371,2016A,RALPH ROSEN,3.33,1.90,3.55,3.50,2.00
GREK-116,2015A,DIMITRA TSEKOURA,3.60,2.40,3.60,3.40,2.00
