ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GRMN-101,2016C,BRIDGET ROSE SWANSON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-102,2016C,SIBEL SAYILI-HURLEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-103,2016C,CLAUDIA LYNN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-104,2016C,CLAUDIA LYNN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-180,2016C,KATE ZAMBON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-215,2013C,CLAUDIA LYNN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-216,2013A,SIMON J RICHTER,1.67,2.22,2.11,2.56,2.33
GRMN-220,2016A,DAVID R.F. JAMES,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-221,2013C,BETHANY WIGGIN,2.50,3.00,2.75,2.25,3.25
GRMN-227,2003A,FRANCIS B. BREVART,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-251,2002A,WALTER GEERTS,3.14,1.71,3.29,3.00,1.57
GRMN-255,2008A,ERIC JAROSINSKI,3.32,2.16,3.47,3.47,2.58
GRMN-256,2015A,SIMON J RICHTER,3.00,2.44,3.26,3.63,2.67
GRMN-262,2016C,KATHRYN HELLERSTEIN,2.40,2.20,2.50,2.70,2.30
GRMN-351,2002A,KARL F OTTO,3.50,3.50,3.75,3.25,4.00
GRMN-376,2005A,SILKE ROTH,2.67,2.56,3.22,3.11,3.11
GRMN-402,2006A,KATHRYN HELLERSTEIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-408,2004C,KATHRYN HELLERSTEIN,4.00,1.67,4.00,4.00,1.33
GRMN-517,2003A,KATHRYN K MCMAHON,3.33,2.33,3.67,3.67,2.33
GRMN-107,2016A,SIBEL SAYILI-HURLEY,3.30,3.25,3.80,3.50,3.50
GRMN-222,2003A,JOSEPH W. KURLAND,3.00,2.00,3.33,3.00,3.33
GRMN-246,2013A,FRANCIS B. BREVART,3.71,2.00,3.86,3.83,2.33
GRMN-354,2003A,SILKE ROTH,2.80,2.40,3.20,2.80,2.80
GRMN-380,2014A,CATRIONA MACLEOD,3.00,2.50,2.86,3.17,3.17
GRMN-530,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-532,2014A,YASEMIN DAYIOGLU-YUCEL,2.67,2.00,3.33,2.67,3.00
GRMN-533,2003A,SIMON J RICHTER,2.80,2.60,2.80,2.80,2.80
GRMN-002,2008A,CHRISTINA E FREI,3.31,2.31,3.69,3.15,2.38
GRMN-008,2011C,FRANCIS B. BREVART,3.45,2.09,3.64,3.55,2.09
GRMN-106,2016C,SIBEL SAYILI-HURLEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-219,2016C,DAVID R.F. JAMES,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-225,2002C,FRANCIS B. BREVART,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-229,2003C,JOSEPH W. KURLAND,3.17,1.78,3.61,3.44,1.89
GRMN-244,2016C,CATRIONA MACLEOD,2.41,2.13,2.80,2.92,2.17
GRMN-263,2014C,KATHRYN HELLERSTEIN,2.00,2.00,2.67,3.00,1.50
GRMN-265,2008A,KATHRYN HELLERSTEIN,3.67,2.00,3.67,3.67,2.67
GRMN-269,2013C,YASEMIN DAYIOGLU-YUCEL,2.20,2.20,2.40,2.40,2.60
GRMN-361,2002C,NORMAN ROESSLER,2.00,2.17,2.00,2.17,2.17
GRMN-377,2012C,SUSANNE W SHIELDS,3.80,2.00,4.00,3.75,2.25
GRMN-401,2016C,BETHANY WIGGIN,2.00,2.00,2.50,2.00,3.00
GRMN-511,2002C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-516,2015A,CHRISTINA E FREI,2.00,1.75,2.50,2.75,2.75
GRMN-531,2013C,BETHANY WIGGIN,3.33,2.67,3.33,3.67,3.67
GRMN-550,2011A,SIMON J RICHTER,1.50,2.50,2.50,1.00,3.00
PHIL-465,2014C,ROLF P. HORSTMANN,3.13,3.00,3.75,3.67,3.17
GRMN-006,2003C,NIEL MCDOWELL,3.00,1.67,3.47,2.80,2.20
GRMN-242,2013C,LILIANE WEISSBERG,3.28,2.12,3.53,3.59,2.29
GRMN-257,2012A,CATRIONA MACLEOD,3.36,2.25,3.27,3.50,2.38
GRMN-261,2014A,KATHRYN HELLERSTEIN,2.43,1.69,2.57,2.50,1.69
GRMN-349,2006C,ANIKA KIEHNE ABBATE,3.00,1.86,3.57,3.00,2.14
GRMN-378,2011C,SUSANNE W SHIELDS,3.75,2.25,4.00,4.00,2.25
GRMN-403,2016A,BETHANY WIGGIN,1.75,2.50,2.50,3.00,3.00
COML-501,2016C,RITA COPELAND,3.57,3.08,3.79,3.08,3.00
PSCI-582,2013C,NANCY J. HIRSCHMANN,3.67,3.17,3.67,3.83,3.00
GRMN-003,2008C,BETHANY WIGGIN,3.00,2.11,3.37,3.11,2.58
GRMN-009,2005C,VANCE L. BYRD,2.50,1.36,3.14,2.71,2.21
GRMN-252,2004C,LILIANE WEISSBERG,2.93,2.59,3.63,3.22,3.07
GRMN-258,2015C,IAN THOMAS FLEISHMAN,3.07,2.54,3.20,3.15,3.00
