ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GSWS-002,2016C,ALEXANDRA SASTRE,3.13,1.93,3.60,3.47,2.07
GSWS-149,2016C,CAROL E TRACY,3.41,1.52,3.50,3.57,1.67
GSWS-400,2016C,DOROTHY E KURZ,3.25,2.00,3.25,3.25,2.25
ANTH-104,2016C,THEODORE G SCHURR,1.76,2.55,1.86,2.16,2.32
ANTH-150,2011C,LYNDON K GILL,3.57,3.14,3.57,3.57,3.14
ANTH-334,2015C,DEBORAH A THOMAS,2.93,3.16,3.29,3.70,3.36
ANTH-516,2015A,GRETCHEN E. L. SUESS,2.25,2.75,2.50,2.75,3.25
ARTH-552,2011C,CHRISTOPHER PASTORE,3.00,2.64,3.18,3.09,2.91
EALC-206,2012C,AYAKO KANO,2.91,2.47,3.17,3.26,2.58
EALC-257,2016C,JOLYON BARAKA THOMAS,3.40,2.50,3.70,3.60,2.90
ENGL-105,2016A,DEBORAH S BURNHAM,3.36,1.87,3.80,3.67,3.07
ENGL-390,2015C,MELISSA E. SANCHEZ,3.67,2.67,4.00,3.83,2.83
FOLK-270,2016C,DAVID AZZOLINA,3.61,1.19,3.81,3.85,1.44
HIST-118,2016C,ROBERT ST.GEORGE,1.34,2.08,1.76,2.00,2.29
HIST-233,2016C,YVONNE E FABELLA,3.08,2.83,3.33,3.33,3.25
NURS-318,2016C,AMANDA L MAHONEY,3.31,2.50,3.00,2.58,2.92
NURS-324,2014C,CYNTHIA A. CONNOLLY,3.40,2.07,3.73,3.43,2.20
NURS-588,2014C,JANET L. LEWIS,3.00,1.67,3.57,3.67,2.83
SOCI-122,2015C,ROBIN LISA LEIDNER,2.94,1.73,2.91,2.97,1.93
SOCI-231,2016C,VANI S KULKARNI,3.00,2.25,3.50,3.25,2.75
SOCI-541,2015C,JANICE FANNING MADDEN,3.54,2.82,3.62,3.73,2.82
GSWS-003,2016A,SARA MOURAD,2.76,2.42,2.94,3.17,2.92
GSWS-242,2016A,LANCE D. WAHLERT,3.28,1.71,3.66,3.61,1.64
GSWS-320,2016A,DOROTHY E KURZ,2.75,2.07,2.47,2.57,2.57
GSWS-322,2016A,SARA MOURAD,1.92,2.67,2.08,2.50,2.67
AFST-221,2016A,PAMELA BLAKELY,2.67,1.89,2.78,3.22,2.44
ANTH-447,2012A,CLAUDIA R. VALEGGIA,3.50,2.86,4.00,3.86,3.00
COML-127,2016A,ROBIN FRANCOIS SEGUY,2.00,3.25,2.00,2.75,3.50
COML-128,2015A,BATSHEVA BEN-AMOS,2.67,3.33,3.33,3.33,3.67
EALC-154,2012A,LESLIE WINSTON,3.20,2.75,2.80,3.50,2.75
