ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HCMG-101,2016C,DANIEL E POLSKY,2.49,2.48,2.25,2.00,1.94
HCMG-203,2016A,DAVID A ASCH,2.83,2.11,3.32,3.39,1.73
HCMG-215,2016A,NUNO S. PEREIRA,1.92,1.75,1.92,2.25,1.88
ECON-039,2004A,MARK V. PAULY,2.74,2.51,3.23,2.33,1.97
HCMG-302,2013C,GUY DAVID,3.23,2.24,3.49,3.62,1.96
HCMG-202,2016C,GUY DAVID,3.09,2.51,3.24,3.31,1.77
HCMG-213,2016C,JOHN R KIMBERLY,2.62,1.93,2.92,2.80,2.10
HCMG-212,2016A,JEFFREY H SILBER,2.97,2.90,3.21,2.95,2.33
ECON-236,2016C,JUAN PABLO ATAL,2.82,2.52,2.75,3.07,2.09
HCMG-845,2016A,AMANDA K. STARC,1.60,1.60,2.05,1.60,1.86
HCMG-852,2016A,GUY DAVID,3.60,2.43,3.84,3.71,2.10
HCMG-863,2016A,NUNO S. PEREIRA,0.97,1.27,1.17,0.77,1.53
HCMG-866,2016A,MITESH S. PATEL,2.89,1.78,3.09,2.82,1.73
HCMG-867,2016A,GARY J. KURTZMAN,2.09,1.87,2.33,2.11,2.13
HCMG-868,2016A,STEPHEN M SAMMUT,2.33,1.33,2.72,2.42,1.67
HCMG-603,2009C,LAWTON R BURNS,3.17,1.69,3.42,3.44,0.72
HCMG-849,2016C,SCOTT HARRINGTON,3.16,2.46,3.47,3.00,2.19
HCMG-854,2013C,ROBERT I FIELD,2.71,2.85,3.29,2.55,2.30
HCMG-855,2016C,JOHN J WHITMAN,2.48,1.56,2.67,2.75,1.50
HCMG-858,2015C,MATTHEW R. GRENNAN,2.77,1.91,2.31,2.09,1.82
HCMG-859,2015C,NUNO S. PEREIRA,2.06,2.54,1.94,1.93,2.41
HCMG-890,2016C,DOUGLAS PRESENT,3.60,1.79,3.60,3.68,1.83
HCMG-901,2009C,MARK V. PAULY,2.89,2.78,3.00,2.67,3.11
HCMG-899,2015A,PATRICIA M DANZON,2.87,2.50,2.87,2.59,2.59
HCMG-841,2016C,LAWTON R BURNS,2.17,2.30,2.37,2.09,2.19
HCMG-850,2016C,EZEKIEL J EMANUEL,3.26,2.82,3.52,3.74,2.55
HCMG-902,2012C,ROBERT J. TOWN,3.42,3.10,3.75,3.60,2.80
HCMG-216,2014A,AMANDA K. STARC,2.93,2.25,3.33,3.25,2.00
HCMG-391,2016C,MATTHEW R. GRENNAN,3.50,2.42,3.63,3.73,2.31
HCMG-853,2016C,MATTHEW R. GRENNAN,2.61,1.69,2.97,2.75,1.79
HCMG-895,2015C,KENT A. SMETTERS,3.29,2.29,3.12,2.94,2.44
