ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HEBR-051,2016C,IBRAHIM MIARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-052,2016C,IBRAHIM MIARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-053,2016C,IBRAHIM MIARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-054,2016C,JOSEPH BENATOV,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-059,2016C,RONIT ENGEL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-154,2012A,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-257,2015A,DAVID M. STERN,3.20,2.00,3.40,3.67,2.33
HEBR-359,2016A,NILI R GOLD,3.67,2.00,3.89,3.63,2.25
HEBR-550,2010A,JEFFREY HOWARD TIGAY,3.07,1.33,3.53,2.87,1.20
RELS-426,2013A,TALYA FISHMAN,2.29,1.86,1.86,2.29,2.29
RELS-523,2012C,TALYA FISHMAN,4.00,3.00,4.00,4.00,3.00
HEBR-151,2016C,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-153,2016C,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-250,2006C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-259,2016C,NILI R GOLD,3.86,1.29,4.00,3.57,1.86
HEBR-556,2006C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-152,2016A,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HEBR-355,2007A,GARY RENDSBURG,3.88,3.13,3.88,3.88,2.88
HEBR-553,2007A,DAVID M. STERN,2.50,2.00,2.00,2.00,2.00
HEBR-258,2009A,DAVID M. STERN,3.15,2.23,2.92,2.85,2.38
HEBR-554,2009C,DAVID M. STERN,3.67,3.67,3.67,3.67,3.00
HEBR-350,2010C,JEFFREY HOWARD TIGAY,3.57,1.67,3.86,3.33,1.67
