ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HIND-400,2016C,JOSHUA PIEN,3.38,1.88,3.38,3.13,2.63
HIND-420,2016C,JOSHUA PIEN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HIND-440,2009A,AMRIT GAHUNIA,3.50,1.50,3.50,3.25,2.25
HIND-456,2012A,AMRIT GAHUNIA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HIND-430,2016C,JOSHUA PIEN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HIND-460,2010A,VIJAY GAMBHIR,2.80,2.33,3.50,3.33,2.67
HIND-401,2016A,JOSHUA PIEN,3.54,2.11,3.85,3.44,2.44
HIND-421,2016A,JOSHUA PIEN,3.25,2.00,3.63,3.67,2.50
HIND-500,2015A,RAMYA SREENIVASAN,3.50,3.00,4.00,3.50,4.00
HIND-520,2016A,RAMYA SREENIVASAN,3.67,3.00,4.00,4.00,3.00
