ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HIST-001,2016A,FREDERICK R. DICKINSON,2.67,2.00,2.98,2.75,2.53
HIST-002,2010A,RONALD J. GRANIERI,3.52,2.49,3.80,3.85,2.55
HIST-009,2008A,ANTHEA WALESON,3.31,3.46,3.77,3.62,3.31
HIST-011,2015C,WALTER LICHT,2.18,2.38,2.44,2.54,2.85
HIST-020,2010A,NEIL J. LANCTOT,2.96,2.26,3.20,3.09,2.39
HIST-021,2012A,RICHARD SCOTT HANSON,3.21,1.62,3.07,2.77,2.23
HIST-040,2015A,YECHIEL Y. SCHUR,2.09,2.50,2.27,2.00,2.63
HIST-049,2011A,BENJAMIN NATHANS,3.43,2.49,3.58,3.44,2.77
HIST-050,2015C,MARGO TODD,2.85,2.67,3.23,3.67,2.83
HIST-071,2016A,ANN C. FARNSWORTH-ALVEAR,2.35,2.33,2.90,3.11,2.64
HIST-075,2016A,CHEIKH ANTE MBACKE BABOU,2.98,1.94,3.16,3.19,2.42
HIST-084,2007A,FIROOZEH KASHANI-SABET,2.37,2.15,2.67,2.41,2.37
HIST-085,2004A,DAVID E LUDDEN,2.14,2.36,2.43,2.36,2.21
HIST-091,2015A,FREDERICK R. DICKINSON,2.95,2.19,3.23,3.34,2.06
HIST-097,2016A,SI-YEN FEI,2.63,2.54,2.74,3.00,2.68
HIST-101,2016C,ANTONIO FEROS,3.27,1.80,3.73,3.53,2.27
HIST-104,2016C,MICHAEL ZUCKERMAN,2.75,2.36,2.83,2.91,2.91
HIST-121,2015C,EUGENE Y. PARK,3.08,2.50,2.77,2.58,2.25
HIST-127,2008A,ALAN ALLPORT,2.57,2.43,2.71,2.36,2.29
HIST-128,2014A,ARTHUR C RICHARDS IV,3.13,2.37,3.22,3.05,2.05
HIST-153,2014A,ROBERT P FAIRBANKS,2.34,2.36,2.61,2.61,2.36
HIST-155,2016A,EIICHIRO AZUMA,2.44,2.15,2.62,2.58,2.41
HIST-159,2009C,ARTHUR WALDRON,3.39,2.48,3.46,3.32,2.68
HIST-169,2016A,ROBERT S NATALINI,2.03,2.68,2.33,2.26,2.62
HIST-176,2011C,JACQUELINE A AKINS,3.57,2.18,3.71,3.82,2.55
HIST-177,2012A,BARBARA D. SAVAGE,3.10,1.79,3.37,3.09,2.12
HIST-179,2016C,ANTONIO FEROS,3.17,2.30,3.51,3.63,1.95
HIST-201,2016A,DANIEL J.M. CHEELY,3.67,3.33,3.67,3.33,3.33
HIST-202,2016C,ALEXANDER HAZANOV,3.33,2.50,3.33,3.67,2.33
HIST-203,2016A,SARAH L.H. GRONNINGSATER,4.00,2.60,4.00,4.00,3.40
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
HIST-205,2010A,TAMARA J. WALKER,3.00,3.00,3.33,3.33,3.33
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
HIST-211,2012A,MARGO TODD,3.64,2.23,3.93,3.77,3.00
HIST-214,2016A,STEVEN HAHN,2.38,2.14,2.50,2.71,2.29
HIST-223,2010A,EIICHIRO AZUMA,3.14,2.57,3.57,3.43,2.71
HIST-312,2016A,MARGO TODD,3.50,3.00,3.75,3.67,3.33
HIST-322,2002A,JONATHAN STEINBERG,3.59,2.52,3.75,3.59,2.60
HIST-342,2008A,ANN ELIZABETH MOYER,3.60,2.80,3.80,3.00,3.00
HIST-346,2014A,KATHLEEN M BROWN,3.27,2.20,3.45,3.47,2.70
HIST-348,2002A,PHOEBE S KROPP,2.69,2.35,2.88,2.73,2.50
HIST-363,2008A,ROBERT FRANCIS ENGS,3.38,2.23,3.46,3.08,2.54
HIST-373,2015A,THOMAS J. SUGRUE,3.61,2.45,3.77,3.81,2.77
HIST-398,2016A,WARREN G. BRECKMAN,2.62,2.75,3.46,3.50,3.13
HIST-401,2010A,ROBERT ST.GEORGE,2.44,3.25,2.67,2.63,3.75
HIST-409,2002A,EMILIANO CORRAL,3.60,3.60,4.00,3.20,3.60
HIST-416,2016A,ALAN C. KORS,3.74,3.04,3.81,3.87,3.22
HIST-421,2016A,VANESSA OGLE,1.85,2.87,1.82,1.80,2.43
HIST-427,2002A,KRISTEN ELIZABETH STROMBERG,2.93,2.07,3.00,2.33,2.00
HIST-431,2016A,THOMAS C CHILDERS,3.45,2.33,3.63,3.66,2.54
HIST-442,2014A,ROBERT ST.GEORGE,2.25,2.50,2.63,4.00,2.00
HIST-443,2010A,MICHAEL ZUCKERMAN,4.00,3.09,4.00,3.91,3.18
HIST-463,2011A,MICHAEL B KATZ,3.17,2.60,3.50,3.20,3.20
HIST-480,2009C,FIROOZEH KASHANI-SABET,2.20,2.20,3.00,2.00,2.80
HIST-489,2010A,CHEIKH ANTE MBACKE BABOU,3.15,2.25,3.54,3.42,2.50
HIST-505,2002A,ROBERT ST.GEORGE,3.06,2.63,3.19,3.06,2.88
HIST-580,2003C,MICHAEL B KATZ,3.70,3.40,3.78,3.70,3.70
AMES-156,2005A,NATALIE B DOHRMANN,3.63,2.58,3.96,3.75,2.63
AMES-296,2004C,G. CAMERON HURST,3.50,2.00,3.88,3.50,2.56
ANCH-027,2016A,CAMPBELL AINSWORTH GREY,2.64,2.67,2.99,3.02,2.76
ANCH-535,2016C,CAMPBELL AINSWORTH GREY,3.00,3.00,4.00,4.00,4.00
