ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HSOC-100,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HSOC-206,2016C,RAMAH MCKAY,3.25,2.41,3.58,3.56,2.59
HSOC-216,2016A,BETH LINKER,3.88,2.27,3.94,3.93,2.60
HSOC-317,2002A,JANET TIGHE,2.95,2.67,3.52,3.05,2.81
ANTH-154,2010A,JANET CHRZAN,2.78,2.33,2.67,3.13,2.27
HSSC-145,2005C,STEVEN FEIERMAN,2.88,2.27,3.30,2.93,2.66
SOCI-275,2015A,COLETTE JOYCE,2.61,2.38,2.89,3.25,3.06
HSOC-125,2005A,NADIA N. SAWICKI,2.80,2.33,2.87,2.53,2.40
HSOC-230,2016C,CHARLES C BRANAS,3.32,2.33,3.61,3.37,2.00
HSOC-430,2016C,ROBERT A. ARONOWITZ,3.00,2.00,3.43,3.38,2.86
ANTH-306,2013C,M. KAMARI CLARKE,2.75,3.33,2.75,3.67,3.67
ANTH-314,2003A,FRANCES BARG,2.57,1.86,3.50,3.07,2.00
ENVS-405,2004C,ELAINE WRIGHT,4.00,4.00,4.00,4.00,4.00
ENVS-407,2016A,MICHAEL KULIK,3.32,2.00,3.53,3.27,2.33
ENVS-408,2016C,MICHAEL KULIK,3.53,1.77,3.53,3.54,2.23
FOLK-533,2003A,DAVID J HUFFORD,3.21,2.21,3.53,3.42,2.32
HSSC-108,2003A,DAVID S. BARNES,2.31,2.63,2.63,2.06,3.13
HSSC-206,2005A,ELLEN ELIZABETH FOLEY,3.19,2.71,3.52,3.24,2.62
HSSC-261,2005A,ELLEN ELIZABETH FOLEY,3.57,2.29,3.71,3.76,2.67
HSSC-445,2003A,RUTH S. COWAN,3.50,1.50,4.00,4.00,2.00
SARS-411,2004A,HELEN SHEEHAN,4.00,2.20,4.00,3.60,2.40
SARS-412,2003A,HELEN SHEEHAN,3.67,3.00,3.67,3.00,3.00
SOCI-100,2016C,MELISSA J. WILDE,3.04,2.09,3.19,3.21,2.88
SOCI-118,2014C,COLETTE JOYCE,3.35,2.43,3.65,3.50,2.57
SOCI-273,2003A,CHARLES BOSK,2.39,2.00,2.87,2.15,2.20
HSOC-010,2016A,RAMAH MCKAY,2.58,2.22,2.85,2.75,2.54
HSOC-420,2016A,MEGHAN L CRNIC,3.92,2.92,4.00,3.92,3.69
ANTH-441,2015C,ELIZABETH A HALLOWELL,3.14,2.08,3.57,3.38,3.15
CLST-170,2002C,RALPH ROSEN,3.21,2.00,3.71,3.36,2.36
HSSC-018,2003C,STEVEN FEIERMAN,2.75,2.25,2.90,2.40,2.35
HSSC-035,2003C,MARK B ADAMS,3.21,2.74,3.37,3.11,2.32
HSSC-152,2005C,NATHAN SIVIN,2.44,2.39,2.86,2.36,2.56
HSSC-212,2005C,MARY SUSAN LINDEE,3.20,2.24,3.28,3.09,2.59
HSSC-311,2006A,MARY SUSAN LINDEE,3.29,2.43,3.64,3.64,2.86
HSOC-015,2004C,JUDITH FISHER,1.77,1.69,1.58,1.65,1.69
HSOC-102,2015C,JONATHAN D MORENO,3.23,1.79,3.44,3.61,1.73
ANTH-437,2010A,FRANCES BARG,2.52,2.15,3.13,2.45,2.30
ENVS-404,2016C,CATHERINE KLINGER KUTCHER,2.57,1.86,2.90,3.14,2.14
FOLK-369,2004C,ELIZABETH R MACKENZIE,3.00,2.57,3.07,3.14,2.57
HSSC-006,2005A,THERESA A. WALLS,2.58,1.92,2.83,2.50,2.17
HSSC-009,2005C,ELIZABETH R MACKENZIE,3.00,2.25,3.42,3.17,2.92
HSSC-011,2005C,NATHAN ENSMENGER,3.31,2.27,3.38,3.42,2.04
PSCI-135,2016C,MARY E SUMMERS,2.74,2.16,3.11,3.20,2.88
SARS-305,2004C,HELEN SHEEHAN,2.42,1.08,2.58,1.75,1.17
HSOC-002,2016C,DAVID S. BARNES,3.26,2.51,3.64,3.67,2.87
HSOC-050,2008C,DAVID S MANDELL,2.94,2.31,3.44,2.63,2.50
ANTH-359,2016A,ALISHA J. ROVNER,2.78,1.27,3.02,3.05,1.57
HSSC-001,2005C,MARK B ADAMS,2.90,2.98,3.29,3.10,2.66
HSSC-025,2004C,HENRIKA KUKLICK,1.78,1.44,3.11,1.67,1.56
HSSC-248,2004C,ERIN MCLEARY,3.11,2.00,3.78,3.44,3.00
HSSC-331,2004C,RUTH S. COWAN,3.00,2.67,3.33,2.67,2.33
HSSC-360,2004C,JEREMY VETTER,4.00,2.00,4.00,4.00,1.67
HSSC-414,2004C,NATHAN SIVIN,3.33,2.78,3.56,3.11,2.22
HSSC-415,2004A,DAVID S. BARNES,3.60,2.80,4.00,3.60,3.00
HSSC-434,2004C,MARYANNE MCGUCKIN,2.92,1.50,3.27,3.19,1.73
HSSC-439,2004C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-109,2004C,HELEN SHEEHAN,3.00,1.46,3.15,2.46,1.77
HSOC-320,2004A,GLENN E. MCGEE,3.67,2.50,3.67,3.67,2.67
ANTH-310,2004A,FRANCES BARG,3.47,1.53,3.84,3.47,2.06
GRMN-253,2015A,LILIANE WEISSBERG,3.02,2.32,3.35,3.44,2.36
HSSC-112,2005A,DAVID S. BARNES,2.94,2.33,3.22,3.00,2.56
HSSC-250,2005A,MARIAELENA BARTESAGHI,3.00,2.18,3.27,3.45,2.55
HSSC-453,2004A,RUTH S. COWAN,2.85,2.50,3.20,2.85,2.60
RELS-505,2008A,DAVID J HUFFORD,3.63,2.50,3.75,3.50,2.50
SOCI-277,2016A,JASON S SCHNITTKER,2.74,1.93,3.03,3.00,1.55
HSOC-252,2010C,RACHEL ZURAW,3.50,2.44,3.50,3.28,2.22
HSOC-421,2016C,RAMAH MCKAY,3.80,2.60,3.90,4.00,3.00
ANTH-312,2013C,FRANCIS E JOHNSTON,1.40,0.67,1.60,2.22,0.33
CLST-371,2016A,RALPH ROSEN,3.33,1.90,3.55,3.50,2.00
HIST-387,2006A,DAVID E LUDDEN,2.40,2.20,2.20,2.40,2.50
HSSC-003,2005A,RUTH S. COWAN,1.95,2.29,2.10,1.67,2.14
HSSC-030,2006A,RUTH S. COWAN,3.25,3.25,3.75,3.00,3.00
HSSC-110,2005A,MARK B ADAMS,3.29,3.00,3.46,3.25,3.50
HSSC-213,2005A,NATHAN ENSMENGER,3.35,2.45,3.80,3.60,2.60
WSTD-242,2005A,SUSAN A. MILLER,3.35,2.95,3.55,3.58,3.10
HSOC-048,2006C,DAVID S. BARNES,3.13,2.88,3.50,3.13,3.75
HSOC-103,2005C,BRUCE KINOSIAN,2.27,2.18,2.00,1.73,2.36
HSOC-104,2005C,JOSEPH STRATON,3.24,2.06,3.71,3.59,1.76
HSOC-260,2016A,ANDRIA B. JOHNSON,2.75,2.50,2.95,3.00,3.13
NURS-318,2016C,AMANDA L MAHONEY,3.31,2.50,3.00,2.58,2.92
SOCI-111,2016C,HANS-PETER KOHLER,2.11,2.36,2.42,2.35,2.19
HSSC-100,2005B,BABI HAMMOND,2.67,1.67,2.67,2.00,1.33
HSSC-202,2005A,JEREMY VETTER,2.90,1.70,3.00,2.30,2.00
HSSC-305,2005A,ROSEMARY A STEVENS,3.82,2.00,3.91,3.73,2.09
HSSC-308,2005A,ERIN MCLEARY,3.33,2.50,3.50,3.50,3.00
HSSC-312,2005A,MICHAEL A. DENNIS,3.00,1.75,3.30,3.10,1.70
HSSC-247,2005B,PAUL BRIAN BURNETT,2.43,1.71,2.86,2.43,2.00
HSSC-004,2005C,NATHAN SIVIN,2.67,2.17,3.17,2.33,2.25
HSSC-005,2005C,CARITA C. HUANG,2.17,2.17,2.09,1.52,2.48
PSCI-139,2010B,PETER FUNKE,2.85,2.08,3.31,3.08,3.25
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
STSC-162,2012A,ANDRIA B. JOHNSON,3.09,2.30,3.35,3.20,2.60
STSC-179,2013A,ANN NORTON GREENE,3.35,2.40,3.76,3.53,3.00
HSOC-008,2008A,PAUL BRIAN BURNETT,2.42,2.08,2.67,2.50,2.08
HSOC-042,2016C,BETH LINKER,2.92,1.92,3.46,3.46,2.38
HSOC-140,2016A,MEGHAN L CRNIC,3.89,1.94,3.94,3.88,2.41
ENGL-085,2015C,LANCE D. WAHLERT,3.31,2.33,3.50,3.63,2.67
PSCI-335,2016A,MARY E SUMMERS,2.79,2.16,3.21,3.00,3.32
SAST-286,2008B,DIVYA N. ROY,3.67,3.33,4.00,4.00,2.67
SAST-385,2007C,HELEN SHEEHAN,2.14,1.71,2.67,1.81,1.86
