ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
HSSC-013,2003A,MICHAEL L. DORN,3.00,2.00,3.20,2.80,2.40
HSSC-025,2004C,HENRIKA KUKLICK,1.78,1.44,3.11,1.67,1.56
HSSC-110,2005A,MARK B ADAMS,3.29,3.00,3.46,3.25,3.50
HSSC-120,2002A,NATHAN ENSMENGER,2.50,2.28,3.44,3.00,2.06
HSSC-130,2002A,MARY SUSAN LINDEE,2.92,2.69,3.31,2.92,2.69
HSSC-145,2005C,STEVEN FEIERMAN,2.88,2.27,3.30,2.93,2.66
HSSC-212,2005C,MARY SUSAN LINDEE,3.20,2.24,3.28,3.09,2.59
HSSC-213,2005A,NATHAN ENSMENGER,3.35,2.45,3.80,3.60,2.60
HSSC-215,2002A,NATHAN ENSMENGER,3.11,1.79,3.63,3.53,1.84
HSSC-221,2003C,NATHAN ENSMENGER,3.38,1.92,3.71,3.42,2.33
HSSC-265,2005C,EVE E. BUCKLEY,2.94,2.50,3.06,2.65,2.47
HSSC-270,2005A,HENRIKA KUKLICK,1.84,1.53,2.32,1.89,1.26
HSSC-330,2002A,MARY SUSAN LINDEE,3.21,2.15,3.64,3.21,2.36
HSSC-438,2002A,HENRIKA KUKLICK,2.60,2.40,3.20,2.60,2.00
HSSC-507,2002A,EDWARD MORMAN,3.11,2.25,3.22,2.67,2.56
HSSC-565,2015C,ETIENNE S BENSON,4.00,3.17,4.00,3.83,3.00
HSOC-206,2016C,RAMAH MCKAY,3.25,2.41,3.58,3.56,2.59
HSOC-216,2016A,BETH LINKER,3.88,2.27,3.94,3.93,2.60
HSOC-317,2002A,JANET TIGHE,2.95,2.67,3.52,3.05,2.81
PHIL-226,2016C,MICHAEL WEISBERG,3.90,2.10,3.90,3.90,2.10
PHIL-425,2016C,ZOLTAN DOMOTOR,2.72,2.08,3.00,3.23,1.15
SOCI-118,2014C,COLETTE JOYCE,3.35,2.43,3.65,3.50,2.57
HSSC-001,2005C,MARK B ADAMS,2.90,2.98,3.29,3.10,2.66
HSSC-003,2005A,RUTH S. COWAN,1.95,2.29,2.10,1.67,2.14
