ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
INSR-205,2012B,DAVID A CATHER,2.93,3.00,3.29,3.08,2.75
INSR-252,2010A,JEAN H LEMAIRE,3.20,2.94,3.55,3.35,2.12
INSR-260,2010A,JEAN H LEMAIRE,3.24,3.07,3.47,3.00,3.07
INSR-012,2003C,DAVID A CATHER,3.31,2.69,3.54,3.54,2.23
INSR-251,2011C,JEAN H LEMAIRE,3.56,2.96,3.79,3.12,2.27
INSR-253,2011C,JEAN H LEMAIRE,3.44,2.73,3.63,3.32,1.95
INSR-232,2010A,JOAN LAMM-TENNANT,2.43,1.83,2.95,2.83,1.78
INSR-823,2012A,GEORGE VICTOR HALLMAN,2.66,2.06,2.99,2.34,1.86
INSR-811,2010C,JOAN LAMM-TENNANT,2.12,2.00,2.59,2.20,2.07
INSR-812,2010C,JOAN LAMM-TENNANT,3.10,2.40,3.30,3.30,2.20
INSR-221,2012A,P. BRETT HAMMOND,2.67,2.55,3.25,2.82,2.73
INSR-452,2012A,JEAN H LEMAIRE,3.60,3.24,3.85,3.53,1.94
INSR-454,2012A,JEAN H LEMAIRE,2.80,2.64,3.47,2.55,2.36
INSR-934,2012A,DANIEL GOTTLIEB,3.64,2.11,3.82,3.44,1.78
