ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
INTR-301,2008A,EILEEN DOHERTY-SIL,3.33,3.25,3.58,3.50,3.58
INTR-391,2016A,SAMUEL HELFONT,3.13,2.83,3.63,3.67,3.50
INTR-250,2016A,FRANK PLANTAN,1.50,2.36,2.25,2.73,2.45
INTR-390,2016C,SAMUEL HELFONT,3.43,2.17,3.57,3.50,3.00
INTR-290,2016C,MARK CASTILLO,3.11,2.86,3.11,3.00,3.43
INTR-101,2016C,TOMOHARU NISHINO,3.00,2.63,3.40,3.46,2.75
PSCI-050,2008B,EILEEN DOHERTY-SIL,3.38,2.25,3.69,3.50,2.44
INTR-200,2011A,FRANK PLANTAN,3.00,2.67,3.75,3.33,2.00
HIST-365,2011A,CHRISTOPHER M NICHOLS,3.23,2.55,3.38,3.09,2.91
INTR-350,2016C,ANNA VIDEN,0.86,2.57,1.93,1.86,2.64
SAST-282,2014A,RAILI ROY,3.00,2.60,3.27,3.60,2.50
ASAM-122,2016C,WAYNE PATTERSON,3.00,1.75,3.25,3.25,2.50
