ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
INTS-732,2016A,JESUS FERNANDEZ-VILLAVERDE,1.10,1.84,1.21,0.98,2.28
INTS-711,2012B,EUGENE Y. PARK,3.20,2.20,3.40,3.20,2.20
INTS-721,2015C,MAURO FEDERICO GUILLEN,2.43,1.18,2.86,2.88,1.26
INTS-712,2012B,ANN C. FARNSWORTH-ALVEAR,2.33,2.72,2.72,3.11,2.94
INTS-713,2012B,RONALD J. GRANIERI,3.60,3.00,3.80,3.60,2.90
INTS-692,2013C,REGINA ABRAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
INTS-693,2014A,RAVI CHATURVEDI,3.25,2.20,2.17,1.90,2.30
INTS-762,2016C,REGINA ABRAMI,3.58,3.36,3.75,3.50,3.55
INTS-750,2015A,RONALD J. GRANIERI,2.93,1.42,3.67,3.39,1.68
INTS-763,2016A,REGINA ABRAMI,3.44,2.50,3.40,3.13,3.25
INTS-510,2015C,JAMES MCGANN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
