ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
IPD-501,2016A,JONATHAN PAUL FIENE,3.00,3.25,1.25,2.00,3.75
EAS-449,2013C,PETER W. BRESSLER,2.50,2.00,2.92,2.42,2.75
MEAM-514,2016A,MARK YIM,1.75,2.66,2.10,1.55,3.34
OPIM-415,2015C,DAVID ROBERTSON,2.48,1.46,2.69,2.60,1.82
IPD-527,2016A,PETER W. BRESSLER,2.50,2.58,2.45,2.37,2.89
MEAM-511,2011A,ALBERT S. CHO,2.24,2.27,2.18,2.27,2.93
ARCH-403,2010C,JASON S LEMPIERI,2.22,2.33,1.78,1.56,3.33
IPD-509,2016A,SARAH E. ROTTENBERG,2.68,1.66,2.92,2.68,2.00
MEAM-516,2014C,MARK YIM,1.36,1.91,2.18,1.82,2.55
IPD-511,2015C,ALBERT S. CHO,2.59,1.65,2.55,2.47,2.00
OPIM-416,2012B,THOMAS Y. LEE,2.50,2.55,3.00,2.45,2.82
EAS-545,2016C,THOMAS A. CASSEL,3.75,2.98,3.91,3.67,3.42
IPD-551,2016C,CARLA Y DIANA,2.68,2.53,3.00,2.76,2.88
IPD-552,2016A,CARLA Y DIANA,3.06,2.76,3.24,3.12,2.94
FNAR-268,2016C,ORKAN TELHAN,3.08,2.83,3.25,3.36,2.67
IPD-561,2016C,CARLA Y DIANA,2.27,1.50,3.00,2.86,1.71
IPD-562,2016A,CARLA Y DIANA,2.63,1.63,3.13,2.63,1.75
IPD-525,2016C,PETER W. BRESSLER,2.43,2.29,2.00,1.71,2.43
BE-514,2016C,MICHELLE JILLIAN JOHNSON,2.09,2.34,2.30,2.21,2.93
OIDD-415,2016C,DAVID ROBERTSON,2.45,1.20,2.76,2.62,1.76
ESE-519,2016C,RAHUL MANGHARAM,1.47,2.88,1.72,1.66,3.49
