ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ITAL-080,2006C,VICTORIA E KIRKHAM,2.73,2.00,2.73,2.27,2.13
ITAL-110,2016C,ALESSANDRA MIRRA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-112,2016A,HELEN MCFIE-SIMONE,3.50,1.83,3.63,3.67,1.67
ITAL-120,2016A,LORELLA PRICHETT,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-130,2016C,ELISA MODOLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-134,2014A,MARCO LEPORE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-140,2016A,ELISA MODOLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-202,2016A,ELISA MODOLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ITAL-214,2005A,NICOLETTA MARINI-MAIO,3.25,2.75,3.50,3.50,3.25
ITAL-216,2005A,STEFANO CRACOLICI,2.50,2.17,3.17,3.33,2.00
ITAL-280,2002A,JOSEPH M LUZZI,3.46,2.46,3.85,3.46,2.69
ITAL-330,2002A,MILLICENT J MARCUS,3.86,2.71,4.00,4.00,2.86
ITAL-534,2009A,VICTORIA E KIRKHAM,1.14,2.14,1.00,1.29,2.43
ITAL-575,2002A,WALTER GEERTS,3.00,2.88,3.50,3.00,3.25
HIST-322,2002A,JONATHAN STEINBERG,3.59,2.52,3.75,3.59,2.60
ITAL-180,2014A,FRANK PELLICONE,3.91,1.00,2.45,2.38,1.25
ITAL-217,2015A,FRANK PELLICONE,3.00,2.00,3.00,3.25,1.75
ITAL-308,2003A,NICOLA MASSIMO GENTILI,3.50,2.60,3.80,3.70,2.70
ITAL-310,2010A,VICTORIA E KIRKHAM,2.33,2.88,2.56,2.00,3.00
ITAL-333,2016A,MARINA DELLA PUTTA JOHNSTON,2.40,2.14,3.00,2.71,2.43
ITAL-370,2003A,FABIO FINOTTI,2.67,1.67,3.00,2.67,1.33
ITAL-540,2015A,EVA DEL SOLDATO,3.47,2.31,3.73,3.69,2.62
ITAL-572,2003A,FABIO FINOTTI,3.50,2.75,4.00,3.75,3.00
ITAL-208,2015C,MARINA DELLA PUTTA JOHNSTON,3.00,1.33,4.00,4.00,2.00
ITAL-210,2007A,ANGELA COSTANTINI-CRISI,2.00,2.20,2.40,2.00,2.11
ITAL-215,2007A,STEFANIA BENINI,2.31,1.85,3.15,2.38,1.85
ITAL-241,2003C,FRANK PELLICONE,2.53,2.07,2.47,2.07,2.13
ITAL-537,2013C,KEVIN BROWNLEE,2.50,2.00,2.50,3.00,2.00
ITAL-590,2002C,MILLICENT J MARCUS,3.50,2.50,3.83,4.00,2.50
ITAL-336,2003C,VICTORIA E KIRKHAM,3.33,3.00,3.33,3.33,3.33
ITAL-390,2003C,MILLICENT J MARCUS,3.75,2.63,3.88,3.63,3.00
