ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
JPAN-002,2016A,LEWIS E HARRINGTON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-004,2011A,TAKAAKI KIZU,3.50,2.33,3.50,4.00,2.00
JPAN-012,2016A,SAE KAWASE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-022,2016A,SAE KAWASE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-112,2016A,BETH M TUCKER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-212,2016A,TOMOKO TAKAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-312,2016A,TOMOKO TAKAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-382,2016A,TOMOKO TAKAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-482,2016A,NORIKO OKURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-511,2016C,YOKO NISHIMURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-001,2015C,LEWIS E HARRINGTON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-003,2010C,TAKAAKI KIZU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-011,2016C,SAE KAWASE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-021,2016C,SAE KAWASE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-111,2016C,NAEMI MCPHERSON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-211,2016C,NAEMI MCPHERSON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-311,2016C,TOMOKO TAKAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-381,2016C,TOMOKO TAKAMI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-411,2016C,NORIKO OKURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-481,2016C,NORIKO OKURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
JPAN-412,2015A,MIDORI MORRIS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
EALC-151,2016A,AYAKO KANO,3.36,2.11,3.61,3.63,2.58
EALC-251,2015C,DAVID SPAFFORD,2.75,2.25,3.00,3.25,2.00
JPAN-491,2011C,DAVID SPAFFORD,2.60,3.00,3.20,3.60,2.40
JPAN-512,2016A,YOKO NISHIMURA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
