ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
JWST-390,2010A,BETH S. WENGER,3.00,2.00,3.67,3.33,2.67
AMES-050,2005A,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-051,2005A,NECHAMA SATATY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-052,2005A,NECHAMA SATATY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-053,2005A,MAYA BUCHSBAUM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-054,2005A,MAYA BUCHSBAUM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-059,2005A,RONIT ENGEL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-151,2003C,DAVID M. STERN,3.33,2.42,3.67,3.50,2.42
AMES-152,2004C,BARRY L EICHLER,2.00,2.42,2.25,1.25,2.42
AMES-154,2004A,NILI R GOLD,2.92,1.83,3.33,3.08,1.92
AMES-156,2005A,NATALIE B DOHRMANN,3.63,2.58,3.96,3.75,2.63
AMES-255,2004A,JEFFREY HOWARD TIGAY,3.86,1.86,4.00,3.86,2.00
AMES-258,2004A,DAVID M. STERN,3.07,2.36,3.29,2.79,2.43
AMES-259,2005A,NILI R GOLD,3.80,2.40,3.90,3.90,2.40
AMES-350,2005A,MICHAEL A. CARASIK,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-251,2002A,WALTER GEERTS,3.14,1.71,3.29,3.00,1.57
GRMN-262,2016C,KATHRYN HELLERSTEIN,2.40,2.20,2.50,2.70,2.30
GRMN-402,2006A,KATHRYN HELLERSTEIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-408,2004C,KATHRYN HELLERSTEIN,4.00,1.67,4.00,4.00,1.33
