ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
KORN-012,2016A,EUNJI LEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-112,2016A,EUNJI LEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-212,2016A,HAEWON CHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-432,2015A,JI-YOUNG JUNG,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-482,2016A,DANIEL S KIM,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-011,2016C,EUNJI LEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-111,2016C,EUNJI LEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-211,2016C,HAEWON CHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-311,2016C,JI-YOUNG JUNG,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-431,2016A,JI-YOUNG JUNG,4.00,2.00,4.00,4.00,2.00
KORN-481,2016C,JEREMY YOO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-312,2015A,EUNICE CHUNG,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-382,2014A,HAEWON CHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-381,2015A,HAEWON CHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-131,2016C,JI-YOUNG JUNG,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-132,2016A,JI-YOUNG JUNG,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-281,2016C,HAEWON CHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
KORN-331,2016C,JI-YOUNG JUNG,3.00,2.17,2.67,3.00,2.17
KORN-332,2016A,EUNJI LEE,4.00,2.00,4.00,4.00,2.40
