ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
LATN-102,2016A,JOSEPH A. FARRELL,3.75,3.75,4.00,3.75,3.25
LATN-202,2004A,NORBERT F. LAIN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LATN-204,2016A,PATRICK O GLAUTHIER,3.11,2.57,3.33,3.83,2.29
LATN-309,2016C,CYNTHIA DAMON,3.60,3.00,4.00,4.00,2.40
LATN-410,2002A,MICHAEL SHANE BUTLER,3.47,2.76,3.82,3.53,2.94
LATN-530,2010C,CYNTHIA DAMON,3.50,3.75,3.83,3.42,3.92
LATN-101,2016C,JEFFREY ULRICH,2.91,3.20,3.18,3.20,3.10
LATN-201,2003C,NORBERT F. LAIN,3.13,1.88,3.75,3.63,2.00
LATN-203,2016C,PATRICK O GLAUTHIER,3.78,3.00,3.89,3.88,2.75
LATN-503,2002C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LATN-112,2012B,MATTHEW C FARMER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LATN-440,2004C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LATN-114,2004A,NORBERT F. LAIN,3.36,2.27,3.59,3.64,2.55
ANCH-510,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LATN-540,2015A,CYNTHIA DAMON,3.38,3.50,3.86,3.38,3.88
LATN-430,2005A,MICHAEL SHANE BUTLER,2.00,2.45,2.73,2.27,2.18
LATN-212,2012B,SAMUEL D. BECKELHYMER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANCH-535,2016C,CAMPBELL AINSWORTH GREY,3.00,3.00,4.00,4.00,4.00
LATN-409,2008C,JOSEPH A. FARRELL,3.60,3.20,3.80,3.80,3.60
LATN-305,2012C,JAMES KER,3.14,2.57,3.29,2.83,3.00
LATN-504,2012C,JOSEPH A. FARRELL,3.50,3.67,4.00,3.83,3.67
LATN-541,2016C,JAMES KER,3.83,2.83,3.83,3.83,3.33
