ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
LGST-012,2004A,STEPHEN T MILLER,3.24,2.88,3.76,3.47,2.82
LGST-101,2016C,PHILIP M NICHOLS,3.13,3.33,3.38,3.39,2.76
LGST-202,2016A,MATTHEW LISTER,3.44,2.00,3.67,2.88,2.13
LGST-206,2016C,KEITH W WEIGELT,2.44,1.44,2.46,2.29,1.26
LGST-207,2016C,SCOTT ROSNER,3.70,2.16,3.85,3.93,1.94
LGST-210,2016C,DIANA C. ROBERTSON,3.65,1.63,3.83,3.78,1.83
LGST-215,2012C,ERIC WILLS ORTS,3.25,1.92,3.33,3.25,2.17
LGST-218,2016A,JOSE F. ANDERSON,3.32,1.71,3.44,2.93,1.64
LGST-219,2015C,DAVID ZARING,2.92,2.50,3.00,2.75,2.57
LGST-220,2015C,ALAN STRUDLER,3.00,1.77,3.00,3.32,2.09
LGST-221,2015C,AMY J. SEPINWALL,3.56,2.12,3.67,3.53,2.41
LGST-222,2016C,KEVIN WERBACH,3.29,2.33,3.42,3.23,2.30
LGST-224,2016A,JANICE R. BELLACE,2.68,1.81,3.00,3.00,1.86
REAL-204,2016C,ROBERT D. LANE,2.65,2.58,2.84,2.81,2.42
LGST-022,2005A,NICHOLAS D CONSTAN,3.00,2.92,3.31,3.23,3.15
LGST-205,2016C,NICOLAS B CORNELL,3.50,2.46,3.80,3.69,2.62
LGST-208,2016C,DEBORAH WEINSTEIN,2.92,1.54,3.14,2.85,1.46
LGST-212,2016A,VINCENT S. J. BUCCOLA,3.43,2.06,3.73,3.81,2.06
LGST-216,2016C,PHILIP M NICHOLS,3.27,2.73,3.41,3.35,2.29
LGST-011,2003C,STEPHEN T MILLER,3.30,2.90,3.90,3.50,2.90
LGST-299,2015C,PHILIP M NICHOLS,3.71,1.62,3.93,3.85,1.23
LGST-225,2005A,ALAN STRUDLER,3.20,2.20,3.40,3.55,2.00
LGST-226,2016C,ROBERT C. HUGHES,2.94,2.64,3.18,3.00,2.79
LGST-227,2016A,G RICHARD SHELL,3.94,2.97,3.94,3.97,3.16
LGST-213,2016A,CAROLYN HOCHSTADTER,3.24,2.60,3.38,3.13,2.53
LGST-228,2016C,MASON P ASHE,2.92,1.28,3.10,3.28,1.08
LGST-802,2010A,ERIC WILLS ORTS,2.95,2.87,3.37,3.13,2.87
LGST-806,2016C,PETER CAPPELLI,2.81,2.13,2.85,2.78,2.17
LGST-807,2013A,ANDREA M. MATWYSHYN,2.73,2.62,3.00,2.64,2.50
LGST-809,2016C,SCOTT ROSNER,2.70,2.05,3.04,3.32,1.74
LGST-810,2010A,DIANA C. ROBERTSON,3.23,1.76,3.41,3.40,2.00
LGST-813,2016C,MATTHEW S ROSSITER,2.18,2.67,2.38,1.80,3.13
LGST-820,2010A,TARA J. RADIN,2.81,1.85,2.92,3.14,1.85
OPIM-292,2015A,MAURICE E. SCHWEITZER,3.36,1.53,3.40,3.42,1.63
OPIM-692,2015A,MAURICE E. SCHWEITZER,3.32,1.89,3.27,3.21,1.79
LGST-815,2016A,SARAH E. LIGHT,3.45,1.84,3.80,3.56,2.19
HCMG-854,2013C,ROBERT I FIELD,2.71,2.85,3.29,2.55,2.30
REAL-804,2016A,ROBERT D. LANE,2.83,2.66,2.86,2.81,2.69
LGST-214,2008C,PHILIP M NICHOLS,2.60,2.05,3.05,2.70,1.70
LGST-230,2016A,GWENDOLYN GORDON,2.81,1.78,2.78,2.91,1.95
LGST-231,2012A,MORVARID TAHERIPOUR,2.17,1.12,2.77,2.67,1.60
LGST-830,2016A,GWENDOLYN GORDON,1.25,1.30,0.75,1.10,1.70
LGST-640,2015C,KEVIN WERBACH,2.00,2.00,2.54,2.36,2.61
LGST-240,2016A,KEVIN WERBACH,2.27,1.74,2.77,2.84,1.95
LGST-611,2016C,MARK SCHWARTZ,2.03,1.87,2.33,2.16,1.52
LGST-612,2016C,ALAN STRUDLER,1.62,1.30,1.71,2.00,1.50
OPIM-693,2015C,B. CADE MASSEY,3.72,2.23,3.63,3.73,2.40
LGST-223,2016A,PETER CONTI-BROWN,3.80,2.53,3.87,3.80,2.36
OIDD-691,2016C,ALEX R. REES-JONES,3.00,2.08,2.62,2.58,2.00
LGST-642,2016C,KEVIN WERBACH,2.59,1.50,2.75,2.60,1.65
OIDD-693,2016C,B. CADE MASSEY,3.81,2.46,3.81,3.70,2.74
