ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
LING-001,2016C,SUNGHYE CHO,3.25,2.67,3.50,3.00,2.00
LING-052,2014A,MARK YOFFE LIBERMAN,3.20,2.20,3.40,3.60,2.00
LING-058,2006C,DAVID S. EMBICK,3.00,2.57,3.43,3.14,2.14
LING-102,2016A,MEREDITH TAMMINGA,2.65,2.00,3.24,3.17,2.10
LING-106,2016C,FLORIAN SCHWARZ,2.54,2.18,3.00,2.79,2.09
LING-110,2014A,DONALD A RINGE,3.05,1.94,3.46,3.29,1.51
LING-131,2005A,ROSLYN BLYN-LADREW,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-145,2015C,ALISON BIGGS,3.67,2.00,3.67,3.67,2.33
LING-148,2005C,ERIN A WIGGINS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-150,2004A,BEATRICE SANTORINI,2.62,2.67,3.00,2.62,2.48
LING-205,2005C,PHILIP JOHN MATTIACCI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-233,2002A,ROSLYN BLYN-LADREW,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-300,2016C,JULIE ANNE LEGATE,2.00,2.38,2.56,2.13,3.00
LING-330,2008A,ROLF NOYER,2.93,2.73,3.27,3.00,2.73
LING-405,2015A,DAVID S. EMBICK,3.67,3.00,3.33,3.80,2.40
LING-501,2014A,MICHAEL L. FRIESNER,1.44,2.14,1.33,1.71,2.86
LING-521,2016A,MARK YOFFE LIBERMAN,2.71,2.00,3.14,3.17,2.33
LING-531,2016A,ROLF NOYER,2.67,2.33,3.33,3.33,1.78
LING-548,2007C,ROBIN L. CLARK,3.75,2.25,4.00,3.75,1.25
LING-551,2016A,JULIE ANNE LEGATE,2.75,3.50,3.63,2.25,3.88
LING-591,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-231,2005A,ROSLYN BLYN-LADREW,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LING-252,2005A,ROBIN L. CLARK,3.14,1.29,3.57,3.00,1.43
LING-255,2012A,FLORIAN SCHWARZ,2.56,2.78,2.89,2.44,2.56
LING-305,2005C,JAMI N. FISHER,2.88,3.25,3.25,2.50,3.38
LING-525,2016A,MARK YOFFE LIBERMAN,2.75,3.17,2.50,3.67,3.00
LING-538,2004C,WILLIAM POSER,3.60,3.00,3.60,3.00,2.80
LING-553,2008A,LANCE NATHAN,3.40,3.00,3.40,3.60,2.40
