ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANTH-133,2013C,CLARK LOWDEN ERICKSON,1.75,2.25,1.88,1.50,3.38
HIST-071,2016A,ANN C. FARNSWORTH-ALVEAR,2.35,2.33,2.90,3.11,2.64
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
HIST-312,2016A,MARGO TODD,3.50,3.00,3.75,3.67,3.33
HIST-409,2002A,EMILIANO CORRAL,3.60,3.60,4.00,3.20,3.60
PSCI-251,2016A,IAN STEVEN LUSTICK,3.10,3.20,3.08,3.61,3.14
SOCI-431,2016C,MANUEL LOMBERA,3.00,3.33,2.83,3.17,3.67
SPAN-390,2016C,MARIE ELISE ESCALANTE,2.21,2.25,2.43,2.42,2.45
SPAN-391,2002A,REINALDO C LADDAGA,3.07,2.07,3.07,2.53,2.00
SPAN-394,2016A,JORGE TELLEZ,3.56,1.38,3.69,3.54,1.85
SPAN-396,2016C,MARIE ELISE ESCALANTE,3.00,2.00,2.89,2.50,2.00
SPAN-401,2002A,JOSE M REGUEIRO,2.68,2.62,3.27,2.86,2.68
HIST-009,2008A,ANTHEA WALESON,3.31,3.46,3.77,3.62,3.31
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
HIST-446,2003A,EMILIANO CORRAL,3.94,3.56,3.81,3.19,3.44
MUSC-158,2010A,TIMOTHY ROMMEN,3.19,2.04,3.74,3.52,1.88
SPAN-392,2005A,JESUS MANUEL GOMEZ FERNANDEZ,2.69,2.23,3.54,2.69,2.69
SPAN-397,2016C,JORGE TELLEZ,3.46,1.82,3.77,3.55,2.00
ANTH-029,2002C,CATHERINE NEWLING,2.15,2.46,2.85,2.46,3.00
ANTH-468,2008C,ROBERT J SHARER,3.77,2.31,3.54,3.00,2.77
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
ENGL-260,2015C,ELIZABETH F BLUM,4.00,2.00,4.00,4.00,1.75
HIST-010,2005A,THOMAS M. RICKS,1.73,3.07,2.20,1.87,3.27
HIST-136,2002C,PHOEBE S KROPP,3.13,2.25,3.38,3.00,2.75
HIST-407,2006A,LARRY SILVER,2.36,2.21,2.79,2.57,2.21
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
SPAN-400,2016C,JORGE TELLEZ,4.00,2.67,4.00,4.00,2.67
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
ANTH-250,2005A,JOHN WALKER,2.62,2.38,2.92,2.31,2.46
ANTH-433,2014A,CLARK LOWDEN ERICKSON,3.33,3.00,3.67,3.33,3.33
ENGL-070,2016C,JENNIFER STERNAD PONCE DE LEON,3.09,2.40,3.26,3.20,2.90
ENGL-276,2005A,JAMES SCHLATTER,2.09,1.73,2.68,2.18,1.86
HIST-303,2003C,ANN C. FARNSWORTH-ALVEAR,2.40,3.00,3.00,2.40,3.60
HIST-587,2003C,NANCY M FARRISS,3.17,2.83,3.50,3.25,3.25
SPAN-380,2015A,LUIS MORENO CABALLUD,2.73,1.87,3.07,2.87,1.93
ANTH-254,2015A,CLARK LOWDEN ERICKSON,2.50,2.50,2.67,2.83,2.83
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
PSCI-411,2016C,DAWN L TEELE,3.33,3.00,3.50,3.50,3.00
SPAN-395,2014A,OLGA GUADALUPE,3.00,2.30,3.27,3.40,2.60
ANTH-200,2012A,LAUREN M. RISTVET,3.20,2.75,3.40,3.75,3.00
ANTH-256,2004A,CHARLES W GOLDEN,4.00,2.50,3.75,3.75,2.50
ENGL-286,2015A,PETER CONN,3.29,2.06,3.47,3.63,2.44
HIST-179,2016C,ANTONIO FEROS,3.17,2.30,3.51,3.63,1.95
MUSC-258,2014A,TIMOTHY ROMMEN,3.38,2.44,3.63,4.00,2.50
PSCI-213,2016C,TULIA G. FALLETI,3.00,2.52,2.86,3.12,2.68
PSCI-513,2004A,TULIA G. FALLETI,2.86,3.00,3.29,3.00,3.86
SPAN-386,2016A,FRANCISCO FERNANDEZ,2.92,2.60,3.17,3.00,3.30
ANTH-557,2014C,CLARK LOWDEN ERICKSON,3.00,3.00,2.43,3.14,3.71
ENGL-057,2013A,DAVID KAZANJIAN,3.63,2.00,3.75,3.63,2.63
ENGL-270,2016A,JENNIFER STERNAD PONCE DE LEON,4.00,3.00,4.00,4.00,3.00
HIST-178,2016A,ANTONIO FEROS,3.27,1.90,3.57,3.43,1.57
HIST-202,2016C,ALEXANDER HAZANOV,3.33,2.50,3.33,3.67,2.33
HIST-307,2007C,ANN C. FARNSWORTH-ALVEAR,3.08,3.00,3.54,3.54,3.54
PRTG-240,2016C,MERCIA S FLANNERY,3.27,1.29,3.64,3.71,1.71
ANTH-449,2005C,MARILYNNE DIGGS-THOMPSON,3.00,2.20,3.00,3.00,2.60
ENGL-586,2005C,AMPARO YOLANDA PADILLA,3.50,2.75,3.63,3.63,3.13
HIST-313,2005C,ANTONIO FEROS,3.42,2.00,3.75,3.25,1.92
