ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MATH-110,2016C,BRIAN WEBER,1.03,3.57,1.52,1.43,2.68
MATH-115,2016C,MAURO PORTA,1.67,3.13,1.50,1.60,3.00
MATH-123,2016A,IDRIS STOVALL,2.38,1.40,2.38,2.80,1.90
MATH-130,2002A,EDWARD T CROTTY,2.15,2.85,2.85,2.85,3.00
MATH-140,2002A,AVI BARR,3.50,2.50,4.00,4.00,2.50
MATH-141,2002C,RICHARD D. STOY,2.71,2.14,3.29,2.43,1.86
MATH-150,2002A,ANTHONY HUGHES,2.30,2.60,2.70,2.20,2.80
MATH-151,2002C,RANGANATHAN SRINIVASAN,2.35,3.12,2.94,3.00,2.35
MATH-170,2016C,EDWARD T CROTTY,2.20,1.65,2.48,2.39,1.53
MATH-201,2005A,DIMITRI GIOEV,2.00,2.60,2.20,1.40,2.20
MATH-205,2005A,MATTHEW M. SZCZESNY,2.86,1.43,3.00,2.86,1.29
MATH-210,2015A,TED C. K. CHINBURG,2.92,2.64,3.33,3.18,2.36
MATH-240,2016C,ANTHONY HUGHES,2.05,2.63,2.37,2.20,2.63
MATH-241,2016C,WILLIAM A CLEE,2.61,3.00,3.06,2.92,2.15
MATH-360,2016C,MICHAEL V PIMSNER,1.18,3.37,1.09,1.42,3.26
MATH-361,2016C,LECHAO XIAO,3.14,3.58,3.14,3.08,3.18
MATH-370,2016C,MICHAEL WIBMER,3.39,3.27,3.64,3.54,2.92
MATH-371,2016C,TONY G PANTEV,2.00,3.67,3.00,2.67,2.67
MATH-412,2007B,TOBIAS DIRK DYCKERHOFF,3.00,2.93,3.43,3.07,2.71
MATH-420,2016C,BHARATHWAJ PALVANNAN,3.25,2.38,3.25,3.25,3.00
MATH-425,2016A,DENNIS M DETURCK,2.74,3.46,3.33,3.11,3.54
MATH-475,2003C,MURRAY GERSTENHABER,2.00,2.00,3.00,2.33,0.67
MATH-480,2014C,ALEXANDRE A KIRILLOV,3.33,2.33,3.50,3.83,1.33
MATH-501,2016A,WOLFGANG ZILLER,2.90,3.50,2.90,2.63,3.13
MATH-503,2016A,ZACHARY L SCHERR,3.64,3.55,3.96,3.75,3.40
MATH-505,2016A,MICHAEL V PIMSNER,2.75,3.00,2.75,3.00,2.50
MATH-509,2016A,PHILIP T. GRESSMAN,3.09,3.90,3.27,3.20,3.60
MATH-570,2015C,HENRY TOWSNER,3.06,3.25,3.41,3.58,2.67
MATH-581,2016A,JAMES B. HAGLUND,3.50,3.00,3.00,3.50,1.33
MATH-584,2016A,CHARLES L. EPSTEIN,2.00,3.80,2.23,2.00,3.60
MATH-101,2014A,AVI BARR,3.00,2.67,3.50,3.50,2.00
MATH-103,2016C,AVI BARR,2.45,3.21,2.74,2.95,2.74
MATH-104,2016C,JONATHAN BLOCK,3.13,2.71,3.00,3.38,2.63
MATH-114,2016C,NAKIA ANTHONY RIMMER,3.44,3.21,3.88,3.57,3.21
MATH-450,2008A,PETER FREYD,3.80,3.00,4.00,4.00,1.40
MATH-524,2003C,CHING-LI CHAI,0.00,2.00,1.00,1.00,0.00
PHIL-006,2016C,SCOTT WEINSTEIN,3.17,3.00,3.67,3.60,2.20
MATH-579,2003B,LYNNELL S. MATTHEWS,3.00,2.00,3.00,3.25,2.50
MATH-200,2004C,HERMAN GLUCK,3.25,3.25,4.00,3.50,3.00
MATH-204,2004C,ANTONELLA GRASSI,2.29,1.86,2.43,2.29,1.57
MATH-320,2016C,ZVI ROSEN,2.50,2.31,2.71,3.00,2.23
MATH-340,2016C,ANDREW WILSON,3.33,2.17,3.78,4.00,2.17
MATH-350,2015C,CHING-LI CHAI,2.00,3.44,1.91,1.56,2.67
MATH-410,2016C,HERMAN GLUCK,3.17,2.51,3.46,3.24,2.35
MATH-500,2016C,JULIUS L SHANESON,2.00,3.17,2.07,2.58,3.00
MATH-502,2016C,HENRY TOWSNER,3.04,3.35,3.30,3.05,3.30
MATH-504,2015C,TAK KWONG WONG,3.44,2.25,3.78,3.38,2.38
MATH-508,2016C,ALEXANDRE A KIRILLOV,2.19,2.91,2.00,2.41,2.55
MATH-530,2016C,YURI KIFER,1.50,4.00,2.00,2.00,3.75
MATH-580,2016C,GRETA C. PANOVA,3.60,2.67,3.50,3.33,2.44
PHYS-500,2016C,MARK D GOULIAN,2.00,2.74,2.41,2.46,2.38
PHIL-416,2003C,SCOTT WEINSTEIN,3.29,3.71,3.71,3.57,3.29
MATH-548,2007A,CHARLES L. EPSTEIN,3.50,3.25,3.75,3.75,3.00
MATH-560,2015C,ALEXANDRE A KIRILLOV,3.33,2.33,3.00,4.00,2.00
STAT-530,2014C,J MICHAEL STEELE,3.74,3.65,3.74,3.47,3.59
CSE-313,2004A,CAMILLO JOSE TAYLOR,3.00,2.63,3.38,2.75,2.63
MATH-180,2016C,MURRAY GERSTENHABER,2.22,1.92,2.59,2.38,2.00
MATH-203,2016A,SHILIN YU,2.65,2.80,2.60,2.27,2.29
MATH-313,2016A,MICHAEL WIBMER,2.24,2.15,2.61,2.29,2.30
MATH-321,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
