ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MEAM-211,2016A,KATHERINE J. KUCHENBECKER,3.09,2.44,3.31,3.23,2.58
MEAM-310,2007A,NOAM LIOR,0.81,2.71,1.58,0.97,3.06
MEAM-321,2016A,CELIA REINA ROMO,1.84,3.63,2.25,1.37,2.98
MEAM-333,2016A,JENNIFER R. LUKES,2.70,2.94,3.11,2.60,2.71
MEAM-435,2008A,BRUCE D. KOTHMANN,3.15,3.25,3.65,3.50,3.25
MEAM-527,2016C,HOWARD H. HU,2.33,3.53,2.00,1.87,3.13
MEAM-571,2010A,PAULO CAMPOS ARRATIA,2.45,2.55,2.73,2.91,2.55
CHE-562,2002C,SCOTT L DIAMOND,2.37,2.52,2.81,2.37,2.26
CSE-390,2005C,JIANBO SHI,1.61,3.18,1.94,1.73,3.15
MEAM-101,2016C,JONATHAN PAUL FIENE,3.34,2.23,3.05,3.31,3.13
MEAM-427,2007C,HAIM H BAU,3.80,2.00,3.40,3.20,2.40
CHE-351,2003A,RAYMOND J GORTE,2.65,2.90,3.08,2.08,3.06
EE-460,2003C,JORGE JUAN SANTIAGO,3.06,2.29,2.94,3.12,2.00
OPIM-415,2015C,DAVID ROBERTSON,2.48,1.46,2.69,2.60,1.82
MEAM-203,2016A,IGOR BARGATIN,2.36,3.65,2.84,2.40,3.35
MEAM-210,2016C,KEVIN T. TURNER,2.86,2.84,3.23,2.49,2.93
MEAM-245,2013C,BRUCE D. KOTHMANN,3.21,3.00,3.73,3.77,2.92
MEAM-302,2016C,PAULO CAMPOS ARRATIA,2.70,3.17,3.25,2.88,2.93
MEAM-402,2010C,JENNIFER R. LUKES,2.00,2.24,2.18,1.97,2.14
MEAM-436,2002C,IRA M COHEN,3.50,3.50,3.50,3.50,2.50
MEAM-454,2011A,PEDRO PONTE-CASTANEDA,1.60,3.50,1.67,1.43,3.29
MEAM-535,2015C,HOWARD H. HU,2.28,3.06,2.39,1.88,3.12
MEAM-540,2002C,G.K. ANANTHASURESH,2.62,2.69,3.00,2.31,3.62
MEAM-572,2007C,JENNIFER R. LUKES,2.67,2.83,3.00,2.83,2.67
MSE-550,2006A,VACLAV VITEK,3.00,2.50,3.67,3.00,2.33
MEAM-338,2008A,NOAM LIOR,3.00,3.00,3.00,3.00,3.00
MEAM-455,2007C,GEORGE BIROS,2.00,3.50,2.63,1.88,3.13
CBE-562,2016A,SCOTT L DIAMOND,2.79,2.87,3.18,2.80,2.23
ESE-460,2016C,JORGE JUAN SANTIAGO,1.82,2.00,1.94,1.75,1.81
MSE-405,2016C,DAVID J. SROLOVITZ,3.00,3.00,3.24,3.00,2.71
MEAM-399,2004A,ROBERT L. JEFFCOAT,2.43,2.14,2.86,2.71,2.14
MEAM-410,2016C,JONATHAN PAUL FIENE,3.53,3.65,3.18,3.48,3.91
MEAM-445,2016C,GRAHAM E. WABISZEWSKI,2.67,3.13,2.76,2.65,3.44
MEAM-550,2014A,KEVIN T. TURNER,2.90,2.73,3.27,2.92,2.64
CBE-351,2016A,SUE ANN BIDSTRUP,2.23,3.28,2.37,1.84,3.12
