ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MKTG-011,2004A,ERIC FOSTER,3.45,2.91,3.55,3.00,3.09
MKTG-024,2004A,C ANTHONY DI BENEDETTO,3.38,2.50,3.63,3.56,2.69
MKTG-077,2004A,TERENCE A OLIVA,3.35,3.29,3.29,3.24,3.82
MKTG-101,2016C,LUDOVICA CESAREO,2.73,2.80,3.17,3.10,2.50
MKTG-211,2016C,JASON RIIS,3.05,1.71,3.32,2.89,1.94
MKTG-212,2016C,KATHRYN SHARPE WESSLING,2.16,2.61,2.37,2.40,3.14
MKTG-221,2016A,ROBERT J. MEYER,2.73,2.14,3.08,3.03,2.19
MKTG-222,2012C,ZHONG ZHANG,2.83,1.79,3.13,3.00,1.88
MKTG-224,2016C,J SCOTT ARMSTRONG,1.40,2.83,1.70,1.33,2.50
MKTG-227,2014C,DAVID BELL,3.26,1.65,3.60,3.72,1.43
MKTG-277,2016C,THOMAS ROBERTSON,2.22,1.80,2.45,2.46,1.92
MKTG-281,2014A,ERICA M. OKADA,1.40,1.30,1.70,1.78,1.60
MKTG-341,2002A,CHRISTOPHE VAN DEN BULTE,2.59,2.36,3.00,2.68,2.86
MKTG-026,2006A,C ANTHONY DI BENEDETTO,3.40,2.60,3.70,3.30,3.00
MKTG-223,2003A,CYNTHIA D HUFFMAN,2.58,2.00,2.74,2.45,2.13
MKTG-235,2013A,J SCOTT ARMSTRONG,1.11,1.75,1.11,0.75,2.13
MKTG-598,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
LGST-205,2016C,NICOLAS B CORNELL,3.50,2.46,3.80,3.69,2.62
MKTG-023,2003C,ERIC FOSTER,2.86,3.18,3.27,2.73,3.73
MKTG-076,2002C,GREGORY S. MEYERS,1.87,2.39,1.83,1.70,2.52
MKTG-225,2016A,BARI A. HARLAM,2.87,2.13,3.04,3.08,2.20
MKTG-021,2003C,LISA E. BOLTON,3.25,3.15,3.40,3.25,3.35
MKTG-411,2012C,KEITH E. NIEDERMEIER,3.50,2.67,3.60,3.44,2.78
MKTG-423,2011B,WILLIAM MADWAY,2.70,2.90,2.80,2.70,3.40
