ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MMP-502,2016A,ERIC DIFFENDERFER,3.25,1.00,3.50,3.00,1.25
MMP-526,2016A,JAROD FINLAY,3.57,1.17,3.71,3.83,0.80
MMP-501,2016C,ERIC DIFFENDERFER,1.58,1.55,1.75,2.00,1.55
MMP-507,2012C,STEPHEN AVERY,1.38,1.75,2.00,1.92,1.50
MMP-511,2016C,WILLIAM P. LEVIN,3.71,2.31,3.93,3.92,2.08
MMP-525,2016C,JAROD FINLAY,3.36,0.14,3.55,3.43,0.14
MMP-506,2016A,STEPHEN AVERY,3.00,2.67,2.33,3.40,2.83
MMP-512,2016A,STEPHEN W. TUTTLE,3.71,2.43,3.86,3.86,2.00
MMP-533,2014A,STEPHEN AVERY,2.80,2.00,3.00,3.00,2.00
BE-483,2015C,ANDREW TSOURKAS,2.32,2.94,2.68,2.38,2.64
BE-583,2016C,STEPHEN AVERY,1.65,3.00,1.18,1.38,2.73
