ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MSE-220,2016C,DAVID J. SROLOVITZ,2.47,3.76,2.93,2.85,3.38
MSE-221,2016C,MAHADEVAN KHANTHA,2.84,3.26,3.32,2.79,2.56
MSE-222,2004A,JOHN E FISCHER,1.88,2.63,2.38,2.38,1.88
MSE-250,2016A,KAREN I WINEY,1.94,3.83,3.28,2.83,4.00
MSE-260,2016A,PETER K DAVIES,3.65,2.95,4.00,3.84,2.74
MSE-322,2002A,JOHN E FISCHER,4.00,3.00,4.00,4.00,2.00
MSE-420,2002A,DAVID E LUZZI,3.40,2.70,3.80,3.60,2.00
MSE-430,2016C,SHU YANG,2.84,2.91,2.84,3.03,2.67
MSE-455,2007A,JOHN J DELUCCIA,3.09,1.82,3.18,2.73,1.36
MSE-493,2004A,I-WEI CHEN,2.50,2.75,2.25,2.25,3.00
MSE-496,2016A,WILLIAM M. KANE,2.14,2.38,2.57,2.24,3.12
MSE-500,2016C,KAREN I WINEY,2.67,3.20,3.00,2.82,3.36
MSE-540,2016A,RUSSELL J COMPOSTO,2.55,2.64,2.91,3.09,2.45
MSE-565,2013A,DAWN A BONNELL,1.98,2.21,2.42,2.38,2.60
MSE-358,2003C,RUSSELL J COMPOSTO,3.50,3.00,3.83,3.67,2.67
MSE-360,2016C,MARK W LICURSE,2.80,2.12,3.50,3.41,1.94
MSE-410,2002C,DAWN A BONNELL,2.00,2.50,2.00,2.25,2.75
MSE-495,2016C,WILLIAM M. KANE,1.64,2.50,2.43,1.75,2.63
MSE-520,2016A,I-WEI CHEN,3.29,3.77,3.93,3.46,3.62
MSE-530,2016C,I-WEI CHEN,2.73,3.77,3.00,2.50,3.77
MSE-570,2016C,RITESH AGARWAL,2.83,3.39,2.88,2.87,2.64
MSE-581,2005C,RUSSELL J COMPOSTO,2.94,2.69,3.18,2.88,3.12
EE-525,2002C,STEPHANE EVOY,2.65,2.39,2.83,2.35,3.26
MSE-550,2006A,VACLAV VITEK,3.00,2.50,3.67,3.00,2.33
MSE-590,2005A,DAWN A BONNELL,2.90,2.40,3.50,2.90,2.40
MSE-215,2016A,RITESH AGARWAL,2.53,3.41,2.67,2.65,2.82
MSE-330,2016C,RUSSELL J COMPOSTO,3.22,2.94,3.52,3.56,2.28
MSE-405,2016C,DAVID J. SROLOVITZ,3.00,3.00,3.24,3.00,2.71
MSE-460,2016C,VIVEK B SHENOY,2.00,3.00,3.00,2.83,2.67
MSE-465,2016A,SHU YANG,2.28,2.50,2.56,2.47,2.63
ESE-525,2016C,MARK GEORGE ALLEN,3.49,2.80,3.62,3.42,2.61
MSE-393,2016A,DAVID P POPE,2.45,1.00,2.64,2.75,1.38
MSE-440,2016A,DAVID P POPE,2.21,2.90,2.86,2.80,1.90
MSE-515,2016C,VACLAV VITEK,2.76,2.67,2.79,2.34,2.37
MEAM-519,2016C,CELIA REINA ROMO,3.64,3.36,3.82,3.64,3.27
MSE-475,2007A,MAHADEVAN KHANTHA,3.50,3.25,4.00,2.50,2.25
MSE-571,2008A,MAHADEVAN KHANTHA,2.63,2.75,2.63,3.00,2.63
MSE-561,2016A,VACLAV VITEK,2.60,2.86,2.47,1.64,2.92
MSE-575,2016C,MAHADEVAN KHANTHA,2.93,3.07,3.07,3.00,2.60
MEAM-537,2015A,ROBERT W CARPICK,3.40,3.40,3.60,3.47,3.33
MSE-545,2016C,CHRISTOPHER B. MURRAY,2.82,3.07,2.79,2.83,2.60
MSE-555,2016A,WILLIAM M. KANE,2.58,1.26,2.83,2.57,1.41
MSE-597,2013C,KAREN I WINEY,4.00,4.00,4.00,4.00,4.00
MEAM-507,2014A,DAVID J. SROLOVITZ,2.46,3.27,2.85,2.73,3.36
MSE-507,2016C,JORDAN R. RANEY,2.80,3.10,3.00,2.80,2.30
MSE-536,2016A,MAHADEVAN KHANTHA,3.63,3.63,3.75,3.75,3.25
