ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
MUSC-021,2012B,LLOYD J FRANK,3.33,3.00,3.50,2.67,2.67
MUSC-022,2002C,CHARLES D. CARSON,2.60,1.93,3.07,3.07,2.33
MUSC-025,2010C,LAWRENCE F BERNSTEIN,4.00,3.00,4.00,3.40,2.80
MUSC-030,2016C,LLOYD J FRANK,3.14,2.63,3.48,3.31,2.50
MUSC-040,2011C,LAWRENCE F BERNSTEIN,3.41,2.18,3.69,3.50,1.93
MUSC-071,2012A,MATTHEW W SCHREIBEIS,2.00,1.67,2.67,2.33,2.00
MUSC-075,2012A,WILLIAM E PARBERRY,2.62,2.29,2.76,2.64,1.43
MUSC-101,2002A,GARY A TOMLINSON,3.21,2.75,3.75,3.21,2.50
MUSC-122,2007A,GARY A TOMLINSON,3.13,2.87,3.33,2.67,2.87
MUSC-171,2016A,JAIRO A MORENO,3.64,2.73,3.82,3.82,2.27
MUSC-270,2016C,JAMES T PRIMOSCH,3.25,2.25,4.00,4.00,2.00
MUSC-515,2016C,JAY REISE,3.00,2.00,3.00,3.00,2.00
MUSC-520,2016A,JAMES T PRIMOSCH,2.50,1.80,2.86,2.60,2.40
SARS-062,2004A,PRASHANT KOCHERLAKOTA,3.50,2.33,3.75,3.92,2.58
SARS-063,2004A,ALLYN MINER,3.91,1.45,3.91,3.64,1.64
MUSC-011,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
MUSC-027,2011C,EMILY IULIANO DOLAN,3.54,1.85,3.62,3.77,2.85
MUSC-050,2016C,LAURA C DONNELLY,1.95,2.25,2.45,2.25,2.38
MUSC-070,2016C,JAMES T PRIMOSCH,3.06,2.50,3.50,3.50,2.38
MUSC-140,2010C,GUTHRIE P RAMSEY,2.29,1.90,2.57,2.76,1.86
MUSC-158,2010A,TIMOTHY ROMMEN,3.19,2.04,3.74,3.52,1.88
MUSC-172,2011C,EUGENE LEW,2.79,1.46,3.36,3.00,2.00
MUSC-508,2016C,JAMES T PRIMOSCH,2.14,1.71,2.71,2.29,1.14
MUSC-525,2015C,JAY REISE,2.33,3.00,2.83,3.00,3.33
