ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
NELC-061,2012C,JENNIFER R. HOUSER,3.33,2.17,4.00,3.83,2.00
NELC-062,2016A,JOSEF W WEGNER,2.69,1.83,2.63,3.00,2.13
NELC-119,2012C,BLAKE ATWOOD,3.20,2.31,3.60,3.35,2.62
NELC-145,2007A,GRANT FRAME,2.67,1.92,3.50,3.08,1.75
NELC-156,2016C,ARI BERGMANN,3.13,1.67,3.67,3.83,1.58
NELC-159,2016C,NILI R GOLD,3.75,2.00,3.79,3.84,2.56
NELC-165,2006A,JOSHUA ROBERSON,3.67,2.67,3.67,3.67,2.67
NELC-250,2016C,ISABEL CRANZ,2.74,1.82,2.70,2.91,2.18
NELC-254,2014A,LISA M HANEY,1.58,2.31,2.16,2.00,2.38
NELC-437,2016A,JOSEPH E. LOWRY,4.00,3.50,4.00,4.00,3.00
NELC-467,2015A,JOSEF W WEGNER,3.00,2.25,3.20,3.50,2.25
NELC-538,2006A,S. NOMANUL HAQ,2.40,2.40,2.20,2.40,3.60
NELC-567,2016A,JOSEF W WEGNER,4.00,3.50,4.00,4.00,3.50
AFST-241,2015A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-100,2016A,BRIAN J SPOONER,2.22,1.94,2.30,2.17,2.06
ANTH-124,2005A,ALEXIS T BOUTIN,2.56,2.56,3.00,2.33,2.61
COML-125,2016C,ROGER M A ALLEN,2.96,2.26,3.08,2.87,2.87
HIST-082,2006A,FIROOZEH KASHANI-SABET,2.48,2.26,2.52,2.48,2.52
PSCI-275,2013A,ANNE NORTON,2.88,2.07,3.13,3.14,1.93
RELS-143,2015A,KAMELIYA ATANASOVA,2.75,1.55,2.75,3.09,1.82
RELS-545,2006C,KHALID Y BLANKINSHIP,2.00,2.00,2.25,2.50,2.00
NELC-008,2016C,RAHA RAFII,3.75,2.25,4.00,4.00,3.25
NELC-038,2008A,KELLY TUTTLE,2.00,2.00,2.60,1.80,2.00
NELC-049,2009C,STEPHEN J. TINNEY,2.36,1.71,3.36,2.43,1.71
NELC-066,2006C,JOSEF W WEGNER,2.00,1.79,2.50,1.64,1.93
NELC-068,2015C,DAVID P SILVERMAN,2.33,3.00,2.33,2.33,2.00
NELC-101,2016C,GRANT FRAME,2.50,2.00,2.55,2.53,2.00
NELC-118,2016A,MAHYAR ENTEZARI,3.55,1.71,3.65,3.59,2.18
NELC-150,2016C,ISABEL CRANZ,2.46,1.35,2.61,2.57,1.72
NELC-182,2016C,RICHARD L ZETTLER,2.42,2.20,2.74,2.10,1.70
NELC-238,2015C,JOSEPH E. LOWRY,2.83,2.83,3.67,3.17,2.50
NELC-258,2016C,DAN BEN-AMOS,3.00,1.25,3.20,3.25,1.75
NELC-331,2009A,HEATHER SHARKEY,3.33,2.53,3.53,3.33,2.73
NELC-335,2014A,HEATHER SHARKEY,3.18,2.50,3.36,3.20,2.70
NELC-356,2013C,DAVID M. STERN,3.18,2.50,3.45,3.50,2.60
NELC-434,2015C,HUDA J. FAKHREDDINE,4.00,1.33,4.00,4.00,2.33
NELC-465,2013A,JOSEF W WEGNER,3.43,2.86,3.71,3.43,2.71
AFST-240,2016C,PAULOS NEGUSSE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AFST-242,2015C,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
HIST-081,2016C,FIROOZEH KASHANI-SABET,2.44,2.64,2.49,2.83,3.07
RELS-228,2006C,MIRIAM B GOLDSTEIN,3.57,1.86,3.86,3.71,2.14
NELC-009,2008A,SPENCER L. ALLEN,2.20,1.87,2.27,2.00,2.53
NELC-047,2010C,STEPHEN J. TINNEY,3.33,1.83,3.67,3.50,1.50
NELC-233,2013C,ROGER M A ALLEN,3.80,3.00,3.80,4.00,3.00
RELS-520,2005C,TALYA FISHMAN,3.33,2.13,3.67,3.40,2.07
NELC-102,2016A,PAUL M. COBB,3.05,2.47,3.55,3.61,2.45
NELC-103,2014A,DANIEL W PATTERSON,2.09,1.96,2.15,2.17,1.71
NELC-332,2015C,HEATHER SHARKEY,3.38,2.58,3.69,3.75,3.00
FOLK-101,2012B,LINDA J. LEE,3.25,2.00,3.42,3.73,2.91
HIST-140,2016C,DAVID B. RUDERMAN,2.78,2.56,2.83,3.24,2.39
HIST-189,2011C,EVE M TROUTT POWELL,3.40,2.70,3.90,3.80,3.20
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
RELS-123,2008C,NATALIE B DOHRMANN,3.67,2.89,3.89,3.78,3.00
RELS-140,2007C,LUDMILA A. ZAMAH,3.44,2.44,3.33,3.44,2.78
RELS-145,2013A,NICHOLAS HARRIS,3.38,2.13,3.63,3.38,2.63
RELS-216,2007C,MARC HIRSHMAN,3.50,2.50,3.75,3.75,2.25
NELC-046,2015A,GRANT FRAME,2.26,2.18,2.55,2.32,2.44
NELC-063,2007A,JENNIFER R. HOUSER,3.67,1.67,4.00,3.78,1.89
NELC-104,2008A,WILLIAM ZIMMERLE,3.40,2.80,3.60,3.20,2.80
NELC-115,2012A,BLAKE ATWOOD,3.43,2.29,3.79,3.64,2.50
NELC-130,2014C,JOSEPH E. LOWRY,2.89,2.94,3.17,3.06,3.18
NELC-201,2016A,HUDA J. FAKHREDDINE,2.45,2.40,3.25,3.00,3.20
NELC-241,2016A,YOKO NISHIMURA,3.25,2.17,3.50,3.33,2.33
NELC-252,2016C,MENACHEM LORBERBAUM,3.25,2.25,3.50,3.75,1.00
AFST-243,2016A,YOHANNES HAILU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
GRMN-262,2016C,KATHRYN HELLERSTEIN,2.40,2.20,2.50,2.70,2.30
HIST-084,2007A,FIROOZEH KASHANI-SABET,2.37,2.15,2.67,2.41,2.37
HIST-216,2016C,CHEIKH ANTE MBACKE BABOU,3.33,3.00,4.00,3.67,3.33
RELS-212,2007A,DAVID FREIDENREICH,3.08,3.25,3.00,2.92,3.42
RELS-247,2007A,JAMAL J. ELIAS,3.11,2.33,3.56,3.22,2.33
RELS-445,2015C,JAMAL J. ELIAS,3.33,2.67,3.75,3.67,3.00
NELC-166,2016C,DAVID P SILVERMAN,2.50,2.25,2.63,2.63,2.50
NELC-234,2011C,PAUL M. COBB,3.57,2.64,3.93,4.00,2.91
NELC-336,2014C,HEATHER SHARKEY,3.57,2.64,3.86,3.79,2.93
NELC-345,2011A,STEPHEN J. TINNEY,3.00,2.75,3.00,3.00,3.50
HIST-139,2015C,NATALIE B DOHRMANN,3.56,2.78,3.70,3.78,2.89
ANTH-139,2009B,JANE K HICKMAN,3.08,1.92,3.54,3.46,2.15
NELC-036,2016C,HEATHER SHARKEY,3.33,2.27,3.67,3.73,2.57
NELC-181,2015A,DAN BEN-AMOS,1.75,1.75,1.96,2.13,2.56
NELC-266,2016C,JOSEF W WEGNER,3.67,2.50,3.67,4.00,2.50
HIST-480,2009C,FIROOZEH KASHANI-SABET,2.20,2.20,3.00,2.00,2.80
RELS-126,2014A,TALYA FISHMAN,4.00,2.50,4.00,4.00,2.00
RELS-225,2016C,ANNETTE YOSHIKO REED,3.17,1.83,3.17,3.33,2.00
URDU-401,2013C,MUSTAFA A MENAI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
URDU-421,2016C,MUSTAFA A MENAI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
NELC-134,2016C,PAUL M. COBB,3.24,1.61,3.66,3.57,1.96
RELS-223,2008C,TALYA FISHMAN,3.17,2.00,3.83,3.33,2.00
NELC-048,2010B,PHILIP JONES,3.00,1.40,3.20,3.00,2.20
NELC-064,2015C,JENNIFER R. HOUSER,3.10,2.25,3.50,3.63,1.94
NELC-153,2008A,RICHARD L ZETTLER,3.50,1.50,3.83,3.33,1.33
NELC-242,2012A,GRANT FRAME,2.33,2.20,2.50,1.83,2.83
NELC-342,2012A,STEPHEN J. TINNEY,3.75,2.75,3.75,3.25,2.25
HIST-141,2015A,BETH S. WENGER,3.03,2.35,3.29,3.35,2.27
HIST-371,2014A,ALDEN HARRINGTON YOUNG,2.70,2.67,3.40,3.44,2.78
RELS-229,2008A,YUVAL HARARI,2.50,2.50,3.50,3.00,2.50
RELS-541,2015A,JAMAL J. ELIAS,3.33,2.88,3.67,3.38,3.13
NELC-382,2011B,S. NOMANUL HAQ,2.00,2.67,2.00,2.33,2.67
NELC-239,2016C,HEATHER SHARKEY,3.29,2.00,3.64,3.77,2.54
NELC-355,2011A,SARA JAPHET,3.80,2.60,4.00,3.80,2.20
NELC-557,2011A,ANNETTE YOSHIKO REED,2.67,3.33,3.67,3.67,3.00
RELS-203,2012A,TALYA FISHMAN,4.00,3.25,4.00,3.75,3.00
SAST-367,2012A,JAMES CARON,3.00,3.00,3.00,4.00,3.00
NELC-337,2010C,PAUL M. COBB,3.43,3.29,3.43,3.43,3.43
RELS-146,2015C,JAMAL J. ELIAS,3.43,2.23,3.68,3.73,2.59
RELS-321,2012C,TALYA FISHMAN,3.17,2.67,3.50,3.67,2.67
SAST-169,2016C,IAN C. PETRIE,2.70,1.94,3.10,2.88,2.12
RELS-241,2011C,MIRIAM FRENKEL,3.00,1.67,3.50,2.67,1.33
NELC-243,2016A,GRANT FRAME,3.60,3.00,3.40,3.00,2.00
NELC-155,2016A,LINDA MEIBERG,2.40,3.00,2.60,3.25,2.50
NELC-235,2015A,HEATHER SHARKEY,3.62,1.83,3.77,3.75,1.75
ANCH-220,2012A,JULIA L. WILKER,3.29,2.00,3.43,3.33,2.50
RELS-129,2012C,NATALIE B DOHRMANN,4.00,2.75,3.89,4.00,3.25
SOCI-231,2016C,VANI S KULKARNI,3.00,2.25,3.50,3.25,2.75
URDU-431,2016C,MUSTAFA A MENAI,3.80,2.80,4.00,3.80,2.40
NELC-045,2012C,STEPHEN J. TINNEY,3.67,1.67,3.83,3.33,1.83
FOLK-531,2012C,DAN BEN-AMOS,4.00,3.50,4.00,4.00,3.33
HIST-188,2012C,FIROOZEH KASHANI-SABET,2.53,2.50,3.24,3.21,2.36
HIST-232,2016A,MEHMET DARAKCIOGLU,3.57,2.43,3.86,3.71,2.57
STSC-016,2012C,PROJIT BIHARI MUKHARJI,2.00,2.00,2.50,3.00,2.50
NELC-020,2013A,LAURENT DISSARD,2.67,2.00,2.89,2.88,2.13
NELC-114,2013A,BLAKE ATWOOD,3.47,2.00,3.79,3.40,2.06
NELC-469,2013A,JOSEF W WEGNER,3.67,3.33,4.00,3.67,2.67
ANTH-431,2013A,SALAM AL KUNTAR,2.75,2.67,2.50,3.33,2.67
RUSS-222,2014A,ANNA AYDINYAN,1.67,1.33,2.00,2.33,1.33
URDU-402,2013A,JOSHUA PIEN,3.80,2.40,3.60,3.60,2.80
URDU-422,2016A,MUSTAFA A MENAI,3.75,2.00,4.00,3.75,1.75
NELC-338,2013C,PAUL M. COBB,4.00,3.00,4.00,4.00,3.00
NELC-383,2013C,TALYA FISHMAN,2.83,2.17,3.17,3.33,2.33
NELC-054,2014A,ISABEL CRANZ,2.00,2.00,2.20,1.33,3.33
NELC-168,2014A,JENNIFER R. HOUSER,3.25,1.70,3.33,3.60,1.90
NELC-244,2016A,STEPHEN J. TINNEY,3.00,1.69,3.47,3.15,1.77
ANTH-055,2016C,SALAM AL KUNTAR,2.63,1.32,3.26,3.05,1.42
ANTH-324,2014A,YOKO NISHIMURA,2.33,2.67,2.67,2.67,2.33
RELS-243,2014A,ROZALIYA GARIPOVA,2.33,2.33,2.17,2.50,2.83
RELS-343,2014A,ROZALIYA GARIPOVA,2.80,2.20,3.20,3.20,2.40
NELC-133,2014C,HEATHER SHARKEY,3.57,1.14,3.86,3.57,2.43
NELC-454,2016A,TALYA FISHMAN,4.00,2.00,4.00,4.00,2.00
ANTH-159,2014C,SALAM AL KUNTAR,2.71,1.75,3.00,2.50,2.25
HIND-400,2016C,JOSHUA PIEN,3.38,1.88,3.38,3.13,2.63
HIST-083,2014C,FIROOZEH KASHANI-SABET,2.46,2.37,2.79,2.95,2.56
NELC-186,2015A,TALYA FISHMAN,2.00,3.50,2.33,3.50,3.50
NELC-237,2015A,RYAN RITTENBERG,3.50,2.33,3.75,3.83,2.83
NELC-287,2016C,DAN BEN-AMOS,3.42,1.27,3.58,3.55,1.36
ANTH-267,2016A,CHANTEL E. WHITE,3.50,2.70,3.70,3.60,2.70
ARTH-435,2015A,RENATA HOLOD,2.00,1.86,2.00,2.29,1.71
ARTH-501,2016C,HOLLY PITTMAN,2.00,2.67,3.11,3.11,3.44
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
HIND-401,2016A,JOSHUA PIEN,3.54,2.11,3.85,3.44,2.44
NELC-151,2015C,TALYA FISHMAN,3.67,2.50,3.33,4.00,3.00
NELC-236,2015C,AHMAD ALMALLAH,3.75,2.25,3.75,3.75,2.50
NELC-257,2015C,ISABEL CRANZ,3.25,2.00,3.42,3.60,2.60
NELC-582,2015C,DAN BEN-AMOS,4.00,3.00,4.00,4.00,3.00
ANTH-148,2016C,KATHERINE M MOORE,3.33,2.00,3.59,3.40,2.42
ANTH-221,2016C,MARIE-CLAUDE BOILEAU,3.00,2.56,3.44,3.56,2.56
