ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
NURS-042,2010A,KAREN MOIRA HOGAN,2.55,3.18,2.79,2.73,3.09
NURS-051,2010A,ELIZABETH B FROH,2.56,1.94,3.50,3.29,2.13
NURS-054,2010A,AUDREY C CASPAR-CLARK,1.41,2.07,1.47,0.95,1.65
NURS-106,2012A,MELISSA A DUNLEAVY,3.00,2.29,3.71,3.43,2.14
NURS-112,2016C,BART-GERARD C DE JONGHE,3.06,1.96,3.40,3.39,2.18
NURS-132,2016C,CONNIE SCANGA,3.50,3.00,4.00,4.00,2.50
NURS-210,2013A,ANGELA IORIANNI-CIMBAK,2.31,3.17,2.79,2.52,3.41
NURS-220,2013A,ANGELA IORIANNI-CIMBAK,2.25,2.82,2.83,2.61,3.27
NURS-240,2013A,ANGELA IORIANNI-CIMBAK,2.05,3.02,2.40,1.88,3.31
NURS-260,2013A,LORRAINE J TULMAN,1.00,2.50,1.43,0.55,1.92
NURS-270,2013A,ANGELA IORIANNI-CIMBAK,2.21,2.92,2.32,1.94,3.11
NURS-330,2016C,DAVID PERLMAN,2.06,1.13,2.28,2.22,1.22
NURS-356,2016A,SARAH K APPLEBY-WINEBERG,2.95,1.81,3.05,3.13,2.19
NURS-365,2016C,MONIQUE DOWD,2.65,2.10,2.69,2.30,2.30
NURS-370,2014A,ABIGAIL CRAWSHAW,3.00,3.30,2.79,2.60,2.90
NURS-376,2016C,KELLY A. DOUGHERTY,3.00,1.78,3.00,2.50,1.67
NURS-385,2014C,EILEEN LAKE,3.10,3.00,3.20,3.13,3.29
NURS-500,2008A,JENNIFER A PINTO-MARTIN,2.92,2.56,3.23,3.08,2.68
NURS-502,2008A,LINDA BUCHHEIT,4.00,3.00,4.00,4.00,3.00
NURS-503,2016A,ROBIN STEVENS,3.25,2.00,3.75,3.00,2.00
NURS-508,2012C,JOSEPH I. BOULLATA,2.15,2.88,2.59,2.48,2.54
NURS-517,2016A,CHARLENE COMPHER,2.89,2.29,3.16,3.00,2.29
NURS-518,2015C,CYNTHIA A. CONNOLLY,3.35,1.69,3.50,3.46,1.75
NURS-525,2016A,ELIZABETH B FROH,3.68,2.15,3.78,3.85,2.15
NURS-528,2002A,DAWN C. DURAIN,2.40,2.90,2.90,2.70,2.80
NURS-533,2016C,GEORGE CRONIN,1.67,2.42,1.36,1.81,2.67
NURS-534,2016A,GEORGE CRONIN,2.09,2.19,2.22,2.30,2.58
NURS-535,2012A,SARAH KAGAN,3.67,2.33,3.67,3.67,2.00
NURS-540,2016A,TINE HANSEN-TURTON,2.57,2.20,3.00,3.00,2.27
NURS-560,2012A,HOURY W PUZANIAN,1.28,2.92,1.26,1.03,2.27
NURS-601,2016A,CHRISTINE BREWER,3.00,2.00,3.33,3.17,1.50
NURS-609,2003A,NANCY C TKACS,2.68,2.82,3.21,2.64,2.71
NURS-610,2012B,ARTHUR H PIPER,2.86,2.86,3.14,3.00,2.71
NURS-628,2016A,PAMELA Z. CACCHIONE,3.27,2.08,3.67,3.38,2.08
NURS-637,2016C,LEA ANN MATURA,3.09,2.43,3.30,3.14,2.43
NURS-645,2016A,STEPHEN NEFF,2.19,3.00,2.75,2.67,2.92
NURS-646,2016C,CHRISTINE K. BRADWAY,3.42,3.06,3.74,3.76,3.29
NURS-647,2016C,SUSAN RENZ,3.73,3.18,3.87,4.00,3.36
NURS-653,2008A, ,2.75,3.00,2.75,2.17,3.17
NURS-655,2016C,CATHERINE WILDENBERG,2.00,3.00,2.50,3.00,3.00
NURS-658,2016C,KATHERINE THOMPSON,3.48,3.24,3.42,3.35,3.38
NURS-659,2016C,ALICIA C TRAVIS,3.75,3.63,3.83,3.63,3.63
NURS-666,2016A,ELIZABETH PRECHTEL DUNPHY,3.57,3.29,3.71,3.71,3.71
NURS-667,2012A,VICTORIA E. SHERRY,4.00,2.00,4.00,4.00,3.00
NURS-706,2016A,SARAH E KNOX,3.40,3.25,3.80,3.75,3.50
NURS-708,2016A,DAWN C. DURAIN,2.57,2.70,2.93,2.91,2.71
NURS-710,2013A,KATHRYN M DODDS,3.11,3.67,3.78,3.78,3.67
NURS-711,2013A,KERRY SHIELDS,4.00,3.50,4.00,4.00,3.50
NURS-722,2013A,LORETTA C REILLY,2.46,2.82,2.77,2.55,2.64
NURS-723,2013A,MARY L SCHUCKER,2.67,2.80,2.00,2.00,3.50
NURS-734,2016A,KATHRYN M DODDS,4.00,3.67,4.00,4.00,3.67
NURS-735,2016A,JUDY VERGER,2.81,3.25,2.38,2.15,3.30
NURS-743,2016A,JAMILLE NAGTALON-RAMOS,3.47,2.21,3.59,3.59,2.17
NURS-749,2016A,AMANDA L MAHONEY,3.33,2.89,3.33,3.56,3.00
NURS-753,2016A,EUN-OK IM,2.44,2.56,3.06,2.69,2.75
NURS-762,2012A,PATRICIA PAWLOW,3.52,2.87,3.75,3.60,2.85
NURS-765,2012A,JENNIFER K MCCULLOUGH,4.00,3.00,4.00,4.00,4.00
NURS-813,2016C,CHRISTINE K. BRADWAY,3.36,2.86,3.64,3.57,2.93
NURS-818,2016A,JANET A DEATRICK,3.29,2.67,3.29,3.33,3.00
NURS-400,2015A,MATTHEW D. MCHUGH,1.75,3.00,2.13,1.75,2.75
NURS-559,2010A,CAROL JONES,2.33,1.75,2.48,2.20,1.84
NURS-567,2016A,SALIMAH H. MEGHANI,3.43,3.00,3.64,3.69,2.85
NURS-588,2014C,JANET L. LEWIS,3.00,1.67,3.57,3.67,2.83
NURS-717,2013A,WENDY HOBBIE,3.33,2.67,3.67,4.00,3.33
NURS-754,2016A,MARTHA CURLEY,3.28,3.24,3.50,3.12,3.18
NURS-784,2016A,BARBARA REALE,2.97,2.95,3.13,3.05,3.05
NURS-814,2013A,CONNIE M ULRICH,3.67,2.67,4.00,4.00,2.33
NURS-040,2010C,JUAN F MUNIZ,2.62,2.56,2.69,2.22,2.22
NURS-050,2012B,PATRICIA ROGERS,3.25,1.71,3.76,3.74,1.85
NURS-104,2011C,CHERYL NEISSER-FRANKSON,3.43,2.50,3.71,3.33,2.50
NURS-242,2012C,JOSEPH I. BOULLATA,2.63,3.25,3.30,3.17,2.91
NURS-321,2013C,NANCY P HANRAHAN,2.16,2.21,2.25,1.75,2.09
NURS-652,2016A,MEGHAN A MALONE FITZPATRICK,3.25,3.14,2.88,3.13,2.75
NURS-660,2012B,KATHERINE THOMPSON,3.00,2.67,3.40,3.17,3.00
NURS-661,2012B,SUSAN RENZ,3.00,2.71,3.50,3.71,2.86
NURS-668,2008B,BARBARA BOLAND,3.67,3.00,3.67,3.33,3.33
NURS-669,2008B,BARBARA BOLAND,3.75,3.50,3.75,3.75,3.50
NURS-712,2011B,CHERYL N BARTKE,3.20,3.00,3.40,3.20,3.00
