ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
OIDD-101,2016C,SERGEI SAVIN,2.97,2.55,3.25,2.55,2.05
OIDD-210,2016A,ERIC K CLEMONS,2.75,2.52,2.94,2.93,2.37
OIDD-220,2016A,MARIA RIEDERS,3.16,2.82,3.32,2.71,2.21
OIDD-261,2016A,HOWARD KUNREUTHER,2.08,1.96,2.41,1.93,2.14
OIDD-290,2016C,URI SIMONSOHN,2.29,2.73,2.34,2.17,1.60
OIDD-311,2016A,STEVEN O KIMBROUGH,3.14,1.81,3.40,2.94,1.96
OIDD-314,2016C,LYNN L. WU,3.03,2.05,3.03,3.15,2.00
OIDD-319,2016A,STEVEN O KIMBROUGH,2.04,1.80,2.68,2.27,2.22
OIDD-321,2016A,RUBEN LOBEL,3.70,2.87,3.80,3.47,2.60
OIDD-325,2016A,STEVEN O KIMBROUGH,2.06,1.78,2.88,2.39,1.52
OIDD-397,2016A,MARSHALL L FISHER,2.58,2.00,2.42,2.40,2.42
OIDD-415,2016C,DAVID ROBERTSON,2.45,1.20,2.76,2.62,1.76
OIDD-611,2016C,CHRISTIAN TERWIESCH,3.47,1.94,3.84,3.53,1.67
OIDD-612,2016C,ZIV Z KATALAN,3.00,3.31,3.13,3.43,3.34
OIDD-613,2016C,ERIC K CLEMONS,1.80,2.20,2.44,2.30,1.47
OIDD-614,2016A,DAVID ROBERTSON,2.33,1.68,2.37,2.29,2.16
OIDD-615,2016C,SENTHIL VEERARAGHAVAN,3.02,2.83,3.43,3.15,2.37
OIDD-652,2016A,KARL THATCHER ULRICH,3.49,2.14,3.63,3.75,2.34
OIDD-653,2016A,ZIV Z KATALAN,3.40,4.00,3.60,3.60,3.60
OIDD-662,2016C,LYNN L. WU,2.10,2.00,2.29,1.88,2.40
OIDD-680,2016C,MORRIS A COHEN,2.13,2.56,2.07,1.56,3.67
OIDD-690,2016C,JOSEPH P. SIMMONS,2.93,1.96,3.14,2.85,2.22
OIDD-691,2016C,ALEX R. REES-JONES,3.00,2.08,2.62,2.58,2.00
OIDD-693,2016C,B. CADE MASSEY,3.81,2.46,3.81,3.70,2.74
OIDD-892,2016A,KARTIK HOSANAGAR,3.67,1.93,3.56,3.67,1.80
OIDD-899,2016A,EDWIN YEEMAN KEH,3.52,2.74,3.24,3.30,3.09
BEPP-263,2016A,ARTHUR VAN BENTHEM,3.42,3.15,3.73,3.76,3.05
BEPP-763,2016A,ARTHUR VAN BENTHEM,3.63,3.25,3.75,3.50,3.33
LGST-222,2016C,KEVIN WERBACH,3.29,2.33,3.42,3.23,2.30
LGST-240,2016A,KEVIN WERBACH,2.27,1.74,2.77,2.84,1.95
LGST-206,2016C,KEITH W WEIGELT,2.44,1.44,2.46,2.29,1.26
LGST-806,2016C,PETER CAPPELLI,2.81,2.13,2.85,2.78,2.17
OIDD-105,2016C,LORIN HITT,2.69,3.36,2.76,2.51,3.05
OIDD-654,2016C,KARL THATCHER ULRICH,2.50,2.21,2.81,2.79,2.58
OIDD-673,2016C,MARSHALL L FISHER,2.58,2.21,2.62,2.33,2.26
OIDD-695,2016C,KARL THATCHER ULRICH,3.04,0.36,2.41,2.52,0.80
OIDD-895,2016C,KARL THATCHER ULRICH,2.96,1.90,2.58,2.43,2.10
OIDD-900,2016C,URI SIMONSOHN,3.58,2.40,3.75,3.70,2.60
OIDD-910,2016C,MONIQUE GUIGNARD-SPIELBERG,2.40,2.44,2.47,2.46,2.72
ESE-504,2016C,MICHAEL A. CARCHIDI,2.66,3.16,2.83,1.92,2.72
