ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
OPIM-010,2003C,PAUL J RATNARAJ,3.15,2.30,3.30,3.15,2.05
OPIM-020,2002A,JAMES L CARPENTER,3.52,2.50,3.63,3.42,2.58
OPIM-101,2015C,LORIN HITT,2.69,3.38,3.05,2.34,3.31
OPIM-102,2005A,URI SIMONSOHN,3.08,2.08,3.20,3.20,2.08
OPIM-210,2015A,ERIC K CLEMONS,3.02,2.54,3.11,3.12,2.56
OPIM-220,2015A,MARIA RIEDERS,2.80,2.80,2.94,2.60,2.68
LGST-206,2016C,KEITH W WEIGELT,2.44,1.44,2.46,2.29,1.26
OPIM-311,2015A,STEVEN O KIMBROUGH,2.59,2.30,2.81,2.16,2.22
OPIM-315,2007A,THOMAS Y. LEE,2.45,3.09,3.45,3.00,2.73
OPIM-392,2003A,JAMES L CARPENTER,3.64,2.45,3.73,3.73,2.82
OPIM-410,2014A,SHAWNDRA HILL,2.66,2.05,2.88,2.91,2.30
OPIM-469,2014C,LORIN HITT,3.54,2.13,3.72,3.68,2.00
OPIM-415,2015C,DAVID ROBERTSON,2.48,1.46,2.69,2.60,1.82
OPIM-221,2004C,PAUL R KLEINDORFER,3.00,2.30,3.48,3.30,2.43
OPIM-261,2015A,HOWARD KUNREUTHER,1.68,1.88,2.10,1.29,2.24
OPIM-314,2015C,LYNN L. WU,2.39,1.82,2.36,2.17,2.12
OPIM-316,2008A,JAMES L CARPENTER,2.67,2.63,3.11,3.04,2.63
OPIM-325,2008A,STEVEN O KIMBROUGH,2.89,2.22,3.56,2.94,2.06
ESE-504,2016C,MICHAEL A. CARCHIDI,2.66,3.16,2.83,1.92,2.72
ESE-508,2005C,BARRY G. SILVERMAN,2.73,2.20,3.07,2.93,2.33
OPIM-290,2015C,XUANMING SU,2.42,2.05,2.65,2.52,1.60
OPIM-399,2006A,ALAN S ABRAHAMS,3.56,2.40,3.76,3.72,2.36
OPIM-223,2005A,PAUL R KLEINDORFER,3.50,2.21,3.94,3.85,2.15
OPIM-590,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
OPIM-319,2015A,STEVEN O KIMBROUGH,2.29,2.24,2.78,2.29,2.26
OPIM-292,2015A,MAURICE E. SCHWEITZER,3.36,1.53,3.40,3.42,1.63
OPIM-653,2015A,GERRY TSOUKALAS,3.47,3.17,3.60,3.27,2.63
OPIM-655,2009A,JASON AMARAL,2.78,1.91,3.19,3.00,2.74
OPIM-656,2009C,MARIA RIEDERS,2.03,2.35,2.11,1.71,2.68
OPIM-672,2015C,SHAWNDRA HILL,1.48,2.56,1.87,1.22,2.56
LGST-806,2016C,PETER CAPPELLI,2.81,2.13,2.85,2.78,2.17
OPIM-692,2015A,MAURICE E. SCHWEITZER,3.32,1.89,3.27,3.21,1.79
OPIM-900,2014A,URI SIMONSOHN,3.70,2.30,3.80,3.80,2.67
OPIM-224,2015A,MORRIS A COHEN,2.77,2.27,3.00,2.82,2.09
OPIM-650,2010C,RICHARD KUM-YEW LAI,1.85,1.69,2.64,2.34,1.89
OPIM-651,2012A,DAVID ROBERTSON,3.63,1.81,3.56,3.81,2.00
OPIM-690,2015C,JOSEPH P. SIMMONS,3.13,2.10,3.35,3.67,2.67
OPIM-697,2011C,MARSHALL L FISHER,3.04,2.29,2.98,2.73,2.68
OPIM-910,2015C,MONIQUE GUIGNARD-SPIELBERG,2.45,2.88,2.73,2.13,3.38
OPIM-912,2011C,SERGEI SAVIN,3.23,2.33,3.69,3.75,2.08
OPIM-930,2009C,MARIA RIEDERS,3.18,3.36,3.36,3.27,3.18
OPIM-398,2008C,MARSHALL L FISHER,2.13,1.71,2.25,1.96,2.33
OPIM-105,2015C,LORIN HITT,3.07,3.28,3.25,2.88,3.15
OPIM-654,2015C,KARL THATCHER ULRICH,3.17,2.29,3.70,3.60,2.71
OPIM-658,2015A,NOAH F. GANS,2.66,2.91,2.73,2.59,2.43
OPIM-666,2010A,ERIC K CLEMONS,2.88,2.10,2.94,3.19,2.19
OPIM-762,2015A,ERWANN O. MICHEL-KERJAN,2.64,1.52,3.00,2.88,1.72
OPIM-899,2015A,EDWIN YEEMAN KEH,3.52,2.30,3.42,3.40,2.70
OPIM-673,2015C,MARSHALL L FISHER,2.28,1.82,2.37,2.23,2.30
LGST-222,2016C,KEVIN WERBACH,3.29,2.33,3.42,3.23,2.30
LGST-640,2015C,KEVIN WERBACH,2.00,2.00,2.54,2.36,2.61
OPIM-416,2012B,THOMAS Y. LEE,2.50,2.55,3.00,2.45,2.82
OPIM-662,2015C,LYNN L. WU,2.03,2.00,2.03,1.82,2.41
OPIM-321,2014C,RUBEN LOBEL,3.44,2.53,3.88,3.57,2.13
OPIM-614,2015C,CHRISTIAN TERWIESCH,2.86,1.59,3.48,3.24,2.00
LGST-240,2016A,KEVIN WERBACH,2.27,1.74,2.77,2.84,1.95
OPIM-397,2015A,MARSHALL L FISHER,3.11,1.92,3.00,2.95,2.31
OPIM-612,2015C,ZIV Z KATALAN,2.63,3.53,2.77,2.97,3.07
OPIM-613,2015A,ERIC K CLEMONS,2.33,1.71,2.60,2.65,1.97
OPIM-615,2015C,GERARD CACHON,3.19,2.52,3.40,3.24,2.29
OPIM-659,2015C,THOMAS Y. LEE,2.76,0.83,2.43,2.66,0.93
OPIM-652,2014A,KARL THATCHER ULRICH,3.62,1.88,3.85,3.80,2.36
OPIM-693,2015C,B. CADE MASSEY,3.72,2.23,3.63,3.73,2.40
OPIM-699,2014C,MORRIS A COHEN,3.25,1.91,2.58,2.82,2.00
OPIM-890,2014A,RUBEN LOBEL,3.30,2.30,2.80,3.00,2.30
OPIM-892,2014A,KARTIK HOSANAGAR,3.64,1.95,3.55,3.58,2.05
PHIL-203,2014C,MICHAEL WEISBERG,2.04,2.06,2.63,2.94,2.17
BEPP-263,2016A,ARTHUR VAN BENTHEM,3.42,3.15,3.73,3.76,3.05
BEPP-763,2016A,ARTHUR VAN BENTHEM,3.63,3.25,3.75,3.50,3.33
BEPP-904,2015A,JEREMY TOBACMAN,2.57,1.92,2.64,2.54,2.46
OPIM-680,2015C,MORRIS A COHEN,2.95,1.67,3.00,2.94,2.22
OPIM-895,2015C,KARL THATCHER ULRICH,3.42,2.00,3.35,3.61,1.91
OPIM-989,2015C,KATHERINE L. MILKMAN,3.67,1.92,3.83,3.92,2.50
