ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PERS-012,2016A,MAHYAR ENTEZARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-014,2015A,MAHYAR ENTEZARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-016,2016A,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-018,2006A,PARDIS MINUCHEHR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-011,2016C,MAHYAR ENTEZARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-013,2016C,MAHYAR ENTEZARI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-015,2015C,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-017,2016C,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-405,2010A,JAMES CARON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PERS-118,2008B,PARDIS MINUCHEHR,3.00,1.00,3.00,3.00,1.00
PERS-019,2015A,TAJMAH ASSEFI-SHIRAZI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
