ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PHIL-001,2016C,ROBERT WILLISON,3.24,1.95,3.36,3.48,2.15
PHIL-002,2016C,MILTON W. MEYER,2.45,3.44,2.91,3.22,3.22
PHIL-003,2016C,SUSAN SAUVE MEYER,2.70,2.16,3.15,2.72,2.20
PHIL-004,2016C,SAUL ROSENTHAL,2.54,2.05,2.77,2.68,1.84
PHIL-005,2016A,SCOTT WEINSTEIN,2.15,3.49,2.54,2.74,3.06
PHIL-008,2016C,SAMUEL FREEMAN,2.39,2.36,2.43,2.28,2.33
PHIL-009,2008A,JASON D. SKIRRY,2.58,2.31,2.69,2.38,2.62
PHIL-026,2016C,ZOLTAN DOMOTOR,2.75,2.69,3.32,3.33,1.69
PHIL-055,2014A,HAROLD PARKER,3.25,2.00,3.25,3.25,2.25
PHIL-072,2016C,HAROLD PARKER,3.00,1.95,3.04,3.16,2.00
PHIL-080,2014C,LINDSEY FIORELLI,2.92,2.42,3.50,2.92,2.45
PHIL-209,2013C,CHARLES H. KAHN,2.27,1.78,2.73,2.44,1.33
PHIL-226,2016C,MICHAEL WEISBERG,3.90,2.10,3.90,3.90,2.10
PHIL-342,2013A,MORGAN WALLHAGEN,3.83,2.50,4.00,3.83,2.00
PHIL-372,2016A,DANIEL J. SINGER,3.50,2.25,3.75,3.38,2.00
PHIL-425,2016C,ZOLTAN DOMOTOR,2.72,2.08,3.00,3.23,1.15
PHIL-473,2002A,ULRIKE HEUER,2.45,2.92,2.67,2.50,2.92
PHIL-488,2014C,STEPHEN P STEINBERG,3.33,3.00,3.33,3.67,3.67
PHIL-510,2012C,CHARLES H. KAHN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PHIL-540,2009C,ELISABETH MAURA CAMP,3.40,3.25,3.40,4.00,3.00
PHIL-547,2014C,KAREN DETLEFSEN,3.43,3.00,4.00,3.86,3.00
PHIL-573,2002A,AUTUMN FIESTER,3.14,2.93,3.64,3.86,2.64
PHIL-574,2002A,MARGARET MAHON,3.00,2.57,2.71,2.86,2.64
PHIL-578,2015C,KOK-CHOR TAN,3.46,2.69,3.46,3.50,2.69
MATH-570,2015C,HENRY TOWSNER,3.06,3.25,3.41,3.58,2.67
PHIL-006,2016C,SCOTT WEINSTEIN,3.17,3.00,3.67,3.60,2.20
PHIL-028,2014A,MILTON W. MEYER,3.50,3.00,3.75,3.67,2.67
PHIL-077,2016C,PAUL CASTELLITTO,2.55,2.74,2.74,2.71,2.13
PHIL-212,2003A,CHARLES H. KAHN,3.18,2.64,3.64,2.55,2.55
PHIL-225,2011B,MURAD AKHUNDOV,3.00,2.50,3.50,2.75,2.25
PHIL-242,2009A,ADRIENNE M. MARTIN,3.40,2.74,3.70,3.58,2.68
PHIL-244,2015C,LISA MIRACCHI,2.44,2.56,2.71,2.68,2.55
PHIL-277,2016A,SAMUEL FREEMAN,3.39,2.53,3.34,3.25,2.39
PHIL-361,2014C,SAUL ROSENTHAL,3.00,3.33,3.00,3.33,3.00
PHIL-376,2016C,SAMUEL FREEMAN,3.53,2.71,3.93,3.80,2.93
PHIL-423,2016C,GARY HATFIELD,2.33,2.86,2.60,3.00,3.00
PHIL-443,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PHIL-467,2016C,KAREN DETLEFSEN,3.50,2.40,3.83,4.00,2.20
PHIL-471,2003A,CLAIRE FINKELSTEIN,3.25,3.25,3.50,3.25,2.50
PHIL-478,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PHIL-512,2010A,SUSAN SAUVE MEYER,2.80,3.00,3.20,2.20,2.20
PHIL-525,2015C,MICHAEL WEISBERG,3.40,2.75,3.40,3.50,2.50
PHIL-211,2016A,ANDREE HAHMANN,3.40,2.50,3.60,3.25,2.25
PHIL-239,2002C,CHARLES H MANEKIN,2.80,2.80,2.80,3.10,2.80
PHIL-249,2016C,QUAYSHAWN SPENCER,4.00,3.00,4.00,4.00,2.00
PHIL-344,2012A,ELISABETH MAURA CAMP,3.50,3.06,3.72,3.53,2.59
PHIL-414,2016A,SCOTT WEINSTEIN,3.67,3.00,4.00,4.00,2.50
PHIL-428,2004C,HUGH M. LACEY,3.27,3.00,3.55,3.27,3.09
PHIL-460,2013A,KAREN DETLEFSEN,3.50,3.00,3.88,3.86,3.00
PHIL-465,2014C,ROLF P. HORSTMANN,3.13,3.00,3.75,3.67,3.17
PHIL-479,2016A,SAMUEL FREEMAN,3.27,2.80,3.45,3.50,2.80
PHIL-485,2013A,MILTON W. MEYER,2.63,3.13,2.38,2.75,2.50
PHIL-509,2008C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PHIL-530,2015C,LISA MIRACCHI,3.00,3.25,3.25,3.50,2.75
PHIL-572,2015A,ERROL LORD,4.00,3.00,4.00,3.00,3.50
PHIL-580,2002C,PAUL D GUYER,3.43,3.14,3.71,3.29,3.43
CSE-140,2005C,LYLE H UNGAR,2.07,2.82,2.44,2.55,2.62
PPE-475,2016C,EDWARD ROYZMAN,3.36,1.91,3.36,3.45,2.09
SARS-103,2004C,SIMONE BARRETTA,2.00,2.20,1.70,1.10,2.40
