ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PHYS-005,2005C,KENNETH LANDE,1.94,1.88,2.59,2.35,1.12
PHYS-009,2016A,WILLIAM ASHMANSKAS,3.75,2.50,3.81,3.86,2.77
PHYS-101,2016C,STEPHEN J. KADLECEK,2.00,3.13,2.10,2.59,3.00
PHYS-102,2016C,PAUL A HEINEY,1.54,3.68,2.23,2.00,3.56
PHYS-150,2016C,JOSHUA KLEIN,2.72,3.00,3.44,3.22,2.87
PHYS-151,2016C,MICHAEL A. CARCHIDI,2.88,2.74,3.02,2.76,2.61
PHYS-171,2016A,ALAN T. JOHNSON,3.58,3.33,3.75,3.78,3.00
PHYS-240,2016A,PAUL A HEINEY,2.30,3.28,2.90,2.33,3.61
PHYS-250,2016A,PAUL A HEINEY,1.97,3.06,2.38,2.44,3.03
PHYS-351,2016A,MASAO SAKO,3.48,2.96,3.81,3.60,2.92
PHYS-362,2016A,EUGENE J MELE,3.16,3.19,3.34,3.50,3.12
PHYS-412,2016A,JAY KIKKAWA,3.06,3.19,3.38,3.19,2.81
PHYS-414,2016A,HUGH H. WILLIAMS,3.00,2.75,3.29,3.25,3.00
PHYS-421,2016A,ARJUN G. YODH,3.00,2.91,3.08,3.17,2.74
PHYS-501,2016C,RAVI K. SHETH,2.69,1.00,2.80,2.86,0.43
PHYS-514,2005A,RAVI K. SHETH,2.33,1.67,3.00,3.00,1.67
PHYS-516,2016A,PHILIP C NELSON,3.43,3.56,3.71,3.59,3.48
PHYS-518,2016A,ANDREA J. LIU,2.00,2.92,2.33,2.75,2.83
PHYS-532,2016A,MIRJAM CVETIC,2.28,2.54,2.24,2.58,2.50
PHYS-582,2016C,JAROD FINLAY,3.00,2.93,3.33,3.33,2.93
PHYS-290,2003A,PAVLOS. PROTOPAPAS,2.14,2.71,2.57,2.43,2.50
PHYS-521,2016A,HUGH H. WILLIAMS,2.00,1.67,3.00,2.00,2.00
PHYS-526,2016C,JAMES AGUIRRE,2.83,2.60,3.33,3.40,1.80
PHYS-530,2015A,ARJUN G. YODH,3.67,3.17,3.83,3.58,2.83
PHYS-170,2016C,ALAN T. JOHNSON,3.34,3.40,3.40,3.51,3.00
PHYS-230,2016C,ROBERT R. JOHNSON,3.00,2.83,3.48,3.51,2.66
PHYS-280,2016C,PHILIP C NELSON,2.88,3.45,3.31,3.34,3.21
PHYS-361,2016C,EUGENE J MELE,3.16,3.08,3.37,3.35,3.19
PHYS-364,2016C,WILLIAM ASHMANSKAS,3.80,2.38,3.90,3.81,3.00
PHYS-401,2016C,DOUGLAS J. DURIAN,1.71,2.63,1.66,1.81,2.92
PHYS-411,2016C,JAY KIKKAWA,3.26,3.32,3.38,3.29,2.87
PHYS-500,2016C,MARK D GOULIAN,2.00,2.74,2.41,2.46,2.38
PHYS-503,2016C,JUSTIN KHOURY,3.62,3.20,3.86,3.90,2.55
PHYS-531,2016C,CHARLES L. KANE,3.50,2.87,3.71,3.48,2.96
GEOL-003,2006C,GINO C SEGRE,1.63,2.66,1.88,1.27,1.95
PHYS-008,2015C,WILLIAM ASHMANSKAS,3.54,2.50,3.64,3.63,2.96
PHYS-533,2012C,ADAM LIDZ,3.25,3.00,3.50,3.50,3.00
PHYS-432,2008A,HUGH H. WILLIAMS,3.00,4.00,3.50,3.50,2.50
PHYS-140,2016C,JOSHUA KLEIN,2.89,2.82,3.44,3.45,2.55
PHYS-141,2016C,MICHAEL A. CARCHIDI,2.75,2.44,3.08,2.89,2.11
PHYS-295,2005A,PAUL A HEINEY,3.36,2.29,3.43,3.14,2.43
PHYS-580,2015A,ELENI KATIFORI,2.21,3.50,2.50,2.63,3.17
PHYS-016,2016C,ALISON M. SWEENEY,3.07,1.78,3.40,3.78,1.50
PHYS-137,2016C,LARRY GLADNEY,3.29,1.50,3.57,4.00,1.83
PHYS-528,2014A,RANDALL D. KAMIEN,3.32,2.33,3.45,3.59,1.15
PHYS-590,2008B,LARRY GLADNEY,3.59,3.55,3.77,3.73,3.77
PHYS-023,2005A,GINO C SEGRE,2.40,1.90,2.78,2.70,1.56
PHYS-522,2015A,EVELYN JEAN THOMSON,2.36,1.92,2.86,3.00,1.33
PHYS-517,2016A,MARK TRODDEN,3.75,2.57,3.88,3.86,2.05
PHYS-591,2010A,WILLIAM BERNER,1.83,2.64,3.75,4.00,2.82
PHYS-585,2016A,VIJAY BALASUBRAMANIAN,2.91,3.20,3.13,3.24,3.12
PHYS-433,2014C,ADAM LIDZ,3.50,1.50,4.00,4.00,2.50
ENVS-312,2016A,IRINA MARINOV,2.67,3.33,2.67,3.33,2.67
PHYS-505,2015A,ADAM LIDZ,2.77,3.42,2.77,2.75,2.92
