ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PPE-475,2016C,EDWARD ROYZMAN,3.36,1.91,3.36,3.45,2.09
PHIL-008,2016C,SAMUEL FREEMAN,2.39,2.36,2.43,2.28,2.33
PPE-231,2005C,WALDEMAR HANASZ,3.00,2.67,3.50,2.83,2.67
PPE-271,2003A,KOK-CHOR TAN,3.36,2.36,3.27,3.09,2.18
PPE-008,2003C,KOK-CHOR TAN,3.04,2.64,3.24,2.80,2.52
PSYC-253,2016C,EDWARD ROYZMAN,2.93,1.27,3.48,3.52,1.14
PPE-222,2004C,WALDEMAR HANASZ,2.75,2.75,3.17,2.92,2.75
PPE-101,2008C,GIACOMO SILLARI,2.00,2.09,2.73,1.64,2.27
PPE-111,2008A,SUMANTRA SEN,3.13,3.00,3.40,3.33,1.73
PPE-211,2006A,MATTHEW LISTER,2.88,2.50,3.13,2.00,2.13
PPE-223,2006A,WALDEMAR HANASZ,3.67,2.50,3.83,3.67,2.67
PPE-235,2006A,WALDEMAR HANASZ,3.56,2.33,3.67,3.44,2.44
LGST-212,2016A,VINCENT S. J. BUCCOLA,3.43,2.06,3.73,3.81,2.06
LGST-226,2016C,ROBERT C. HUGHES,2.94,2.64,3.18,3.00,2.79
PSYC-153,2010A,JONATHAN M BARON,1.84,2.43,2.04,1.51,2.02
PPE-110,2015A,SUMANTRA SEN,2.18,2.85,2.39,2.46,1.08
ECON-036,2015C,CAMILO GARCIA-JIMENO,2.67,2.44,2.89,3.06,2.44
MATH-180,2016C,MURRAY GERSTENHABER,2.22,1.92,2.59,2.38,2.00
PHIL-377,2006C,SAMUEL FREEMAN,3.53,2.40,3.56,3.13,2.67
PHIL-417,2005C,CRISTINA BICCHIERI,2.62,1.92,2.54,2.23,1.54
PSCI-271,2016C,ROGERS M SMITH,2.70,2.73,3.29,2.95,3.02
PSCI-475,2008C,JACK H NAGEL,3.57,2.43,3.86,3.14,2.86
PHIL-271,2015C,KOK-CHOR TAN,3.00,2.46,3.33,3.38,2.38
PPE-210,2005C,MATTHEW LISTER,3.75,3.00,4.00,3.50,2.75
PPE-272,2005C,KOK-CHOR TAN,3.10,1.80,3.00,2.80,1.80
PHIL-475,2005C,WALDEMAR HANASZ,2.80,2.04,2.96,3.12,2.16
PPE-160,2008C,JASON D. DANA,3.08,2.26,3.43,3.43,1.81
LGST-210,2016C,DIANA C. ROBERTSON,3.65,1.63,3.83,3.78,1.83
PHIL-421,2007C,MICHAEL WEISBERG,3.29,2.47,3.65,3.35,2.18
PSCI-598,2016C,NANCY J. HIRSCHMANN,3.38,3.43,3.88,3.43,3.43
PPE-401,2007A,C.L. LINDSAY,3.00,3.00,3.14,3.86,2.71
OPIM-319,2015A,STEVEN O KIMBROUGH,2.29,2.24,2.78,2.29,2.26
PHIL-072,2016C,HAROLD PARKER,3.00,1.95,3.04,3.16,2.00
ECON-232,2016C,SARAH N MOSHARY,2.62,2.34,2.91,2.98,1.83
PHIL-226,2016C,MICHAEL WEISBERG,3.90,2.10,3.90,3.90,2.10
PHIL-228,2016A,RAPHAEL KRUT-LANDAU,1.91,2.29,2.46,2.28,2.24
PHIL-244,2015C,LISA MIRACCHI,2.44,2.56,2.71,2.68,2.55
PPE-201,2016C,DAVID DILLENBERGER,2.15,3.11,2.27,2.47,2.70
PPE-202,2016A,MATTHEW STEPHEN LEVENDUSKY,2.87,2.61,3.15,3.33,2.38
CIS-140,2016C,DAVID BRAINARD,2.44,2.28,2.82,2.43,2.27
PSYC-475,2011A,JONATHAN M BARON,2.44,1.75,2.56,2.25,1.88
PPE-113,2008C,DAVID DILLENBERGER,2.21,3.02,2.57,2.29,2.79
PPE-320,2008C,JOHN T GASPER,3.25,2.38,3.63,3.50,2.75
PSCI-418,2015A,IAN STEVEN LUSTICK,3.17,2.91,3.17,3.27,3.18
PPE-203,2016C,SUDEEP BHATIA,2.07,2.26,2.13,2.33,1.84
PSYC-453,2013A,JONATHAN M BARON,3.22,2.67,3.22,3.83,2.67
PHIL-277,2016A,SAMUEL FREEMAN,3.39,2.53,3.34,3.25,2.39
PSCI-395,2015A,BRENDAN O'LEARY,3.67,2.91,3.73,3.91,3.18
PPE-233,2014C,JAN WILLEM LINDEMANS,3.13,2.57,3.25,3.14,2.86
PHIL-073,2016C,SARAH GIBBONS,3.56,2.11,3.68,3.83,2.65
RUSS-189,2016C,ALEXANDER VEKKER,2.75,2.24,3.04,3.14,2.00
PPE-204,2015A,JAN WILLEM LINDEMANS,1.70,2.74,2.02,1.86,2.62
PHIL-272,2015A,SARAH GIBBONS,3.41,2.13,3.64,3.44,2.94
HIST-455,2016A,NEIL J. LANCTOT,2.86,2.33,2.86,3.33,2.17
PPE-476,2016A,ALEXANDER NICOLAUS FUNCKE,2.75,2.67,2.50,3.67,2.33
PSYC-275,2016A,PHILIP E. TETLOCK,2.89,2.29,3.30,3.14,2.38
PHIL-359,2016C,CRISTINA BICCHIERI,2.06,2.27,2.33,2.91,2.00
