ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PRTG-120,2015A,ANA MARIA CARVALHO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-140,2016A,LUCAS A. M. DE LIMA,1.50,2.33,2.00,2.67,2.33
PRTG-213,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-110,2016C,LENIR DOS SANTOS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-130,2015C,LENIR DOS SANTOS,3.33,2.40,3.67,3.60,2.80
PRTG-212,2005C,MERCIA S FLANNERY,3.40,2.20,3.40,3.40,2.80
PRTG-216,2005C,MERCIA S FLANNERY,3.33,2.67,3.33,3.33,2.33
PRTG-114,2016C,LENIR DOS SANTOS,3.20,2.00,3.60,3.33,3.50
PRTG-217,2014C,CARLOS PIO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-134,2016C,MERCIA S FLANNERY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-240,2016C,MERCIA S FLANNERY,3.27,1.29,3.64,3.71,1.71
PRTG-202,2016C,MERCIA S FLANNERY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-208,2008C,MERCIA S FLANNERY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PRTG-221,2016A,MERCIA S FLANNERY,3.57,2.00,3.64,3.58,2.33
PRTG-215,2016C,CARLOS PIO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-223,2016C,AMELIA RABOSO MANAS,3.17,2.00,3.25,3.29,2.71
