ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
PSYC-001,2016C,PHILIP GEHRMAN,3.14,2.09,3.58,3.59,2.05
PSYC-111,2016C,JOHANNES BURGE,2.64,2.87,2.86,2.97,2.13
PSYC-127,2016C,HARVEY J GRILL,2.21,2.79,2.25,2.28,2.56
PSYC-133,2002A,JOHN D. CRAWFORD,2.34,2.68,2.82,2.02,2.09
PSYC-151,2016A,DELPHINE DAHAN,1.85,2.44,1.97,2.22,2.28
PSYC-160,2016A,JOSHUA D FETTERMAN,2.42,2.18,2.42,2.73,2.64
PSYC-162,2016C,DEBRA S. LEFKOWITZ,3.35,2.11,3.39,3.53,1.84
PSYC-170,2016C,BURCU GURCAY,2.14,2.22,2.09,2.12,1.72
PSYC-172,2010A,ROBERT OWEN KURZBAN,3.06,2.59,3.23,3.13,2.13
PSYC-211,2008A,VIRGINIA M. RICHARDS,3.20,1.80,3.60,3.60,1.40
PSYC-260,2006B,ANGELA LEE DUCKWORTH,3.43,2.57,4.00,4.00,3.00
PSYC-262,2010A,ACACIA C PARKS-SHEINER,3.33,2.09,3.08,3.09,2.18
PSYC-270,2010A,CHRISTINA A AKTIPIS-WARNER,2.56,2.44,3.06,2.50,3.33
PSYC-311,2016A,NICOLE RUST,2.00,2.20,2.69,2.50,2.30
PSYC-321,2011C,ROBERT A RESCORLA,4.00,2.00,4.00,4.00,2.50
PSYC-362,2016C,MELISSA G. HUNT,3.44,2.56,3.75,3.78,2.89
PSYC-364,2008C,ANGELA LEE DUCKWORTH,3.42,2.92,3.83,3.67,3.33
PSYC-370,2016C,MATTHEW B. RUBY,3.31,2.75,3.31,3.50,3.13
PSYC-386,2008C,DANIEL SWINGLEY,2.38,2.75,3.75,3.25,3.63
PSYC-441,2008A,M FRANK NORMAN,2.30,2.40,2.15,1.95,2.20
PSYC-462,2016C,MARCY CALDWELL,3.38,3.00,3.25,3.67,3.83
BIOL-432,2014C,DOROTHY L CHENEY,3.39,1.92,3.56,3.58,2.08
STAT-501,2016A,WARREN J EWENS,3.34,1.75,3.48,3.25,1.96
PSYC-149,2016C,RICHARD JOHN DI ROCCO,3.23,2.73,3.46,3.64,2.09
