ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
REAL-204,2016C,ROBERT D. LANE,2.65,2.58,2.84,2.81,2.42
REAL-209,2016C,MAISY WONG,2.90,2.97,3.10,2.82,3.09
REAL-236,2016A,SUSAN M WACHTER,2.52,2.67,2.67,2.38,2.35
REAL-215,2016A,SUSAN M WACHTER,2.48,2.35,2.59,2.48,2.27
BPUB-230,2011C,ROBERT P INMAN,3.06,2.73,3.23,3.03,2.12
REAL-399,2014A,JOSEPH E. GYOURKO,3.25,2.33,3.50,3.67,2.67
REAL-721,2016C,FERNANDO V. FERREIRA,2.50,2.38,2.20,1.86,2.52
REAL-821,2016C,ALAN F FELDMAN,2.76,2.20,2.85,2.44,2.76
REAL-840,2016A,JOSEPH E. GYOURKO,3.22,3.55,3.56,3.23,3.55
REAL-804,2016A,ROBERT D. LANE,2.83,2.66,2.86,2.81,2.69
REAL-890,2016C,MARJA C HOEK-SMIT,2.32,2.19,2.50,2.48,2.42
REAL-891,2016C,ROBERT J CHALFIN,3.14,2.45,3.10,3.35,2.26
BPUB-772,2011C,JANET ROTHENBERG PACK,1.90,2.56,1.55,1.26,3.19
FNCE-721,2012C,ASUKA NAKAHARA,1.83,2.68,3.30,3.27,2.68
REAL-899,2014A,JOSEPH E. GYOURKO,2.70,2.31,2.90,2.38,2.62
BEPP-230,2016C,ROBERT P INMAN,3.40,3.11,3.73,3.49,2.34
BEPP-773,2016C,ROBERT P INMAN,3.35,1.50,3.48,3.36,1.67
BEPP-772,2013C,GILLES DURANTON,2.22,2.50,2.22,1.88,2.25
REAL-708,2016A,JOSEPH E. GYOURKO,3.29,2.82,3.46,3.21,2.64
REAL-723,2016C,TODD M. SINAI,3.10,2.50,3.15,2.94,2.28
