ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
GRMN-517,2003A,KATHRYN K MCMAHON,3.33,2.33,3.67,3.67,2.33
COML-501,2016C,RITA COPELAND,3.57,3.08,3.79,3.08,3.00
ROML-110,2016C,AMERICO MENDOZA-MORI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
COML-360,2008A,ROMAN DE LA CAMPA,3.36,3.07,3.79,3.14,2.79
ROML-121,2010A,ANTHONY P ESPOSITO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ROML-396,2009A,ROMAN DE LA CAMPA,2.73,3.00,2.64,2.36,3.18
ROML-290,2013A,RACHEL E ELLIS,3.25,2.45,3.58,3.64,2.09
ROML-296,2012C,RACHEL E ELLIS,3.57,2.71,3.57,3.29,2.43
CINE-294,2012A,RACHEL E ELLIS,3.10,2.67,3.30,2.89,2.56
HIST-179,2016C,ANTONIO FEROS,3.17,2.30,3.51,3.63,1.95
ROML-130,2016A,AMERICO MENDOZA-MORI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
