ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
RUSS-002,2016A,MARIA M. ALLEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-004,2016A,MOLLY PEENEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-022,2002C,VLADISLAV T. TODOROV,3.00,1.92,3.06,2.48,1.92
RUSS-032,2003A,PETER STEINER,3.25,2.25,3.33,2.83,2.75
RUSS-106,2002A,DARIA A KIRJANOV,3.46,1.85,3.54,2.77,2.08
RUSS-201,2016C,ALEKSEY BERG,3.43,2.50,3.57,3.50,3.00
RUSS-225,2002C,VLADISLAV T. TODOROV,3.20,1.70,3.47,3.13,1.66
RUSS-312,2016A,SVETLANA KORSHUNOVA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-402,2008A,PETER STEINER,3.50,2.25,3.25,2.75,2.75
RUSS-413,2013C,MARIA BOURLATSKAYA,3.67,2.33,4.00,4.00,3.00
RUSS-024,2002C,VLADISLAV T. TODOROV,3.07,1.14,3.57,2.64,1.36
RUSS-125,2011A,SARAH KERMAN,2.70,2.30,2.70,2.05,3.25
RUSS-150,2003A,KEVIN M.F. PLATT,2.58,2.25,2.89,2.42,2.44
RUSS-434,2008B,VLADISLAV T. TODOROV,3.00,1.62,3.38,2.69,1.92
RUSS-001,2016C,MARIA M. ALLEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-003,2016C,MARIA M. ALLEY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-031,2002C,PETER STEINER,3.50,2.30,3.50,3.20,2.40
RUSS-105,2016A,IGOR DOMBROVSKY,4.00,2.57,3.29,3.43,3.57
RUSS-202,2016A,THOMAS DOLACK,2.79,2.33,2.77,3.17,2.75
RUSS-203,2002C,VERA ZUBAREV,3.50,1.67,3.67,3.25,1.75
RUSS-401,2006C,PETER STEINER,3.00,2.33,3.67,3.00,2.00
RUSS-405,2002C,MARIA BOURLATSKAYA,3.31,2.53,3.44,3.44,2.47
RUSS-130,2011C,ILYA VINITSKY,2.94,1.44,3.44,2.76,1.75
RUSS-145,2016C,MAYA V VINOKOUR,3.11,2.67,3.11,3.11,3.00
RUSS-190,2008C,VLADISLAV T. TODOROV,3.17,2.25,3.33,3.08,2.17
RUSS-220,2016C,MOLLY PEENEY,3.00,1.88,3.37,3.38,2.16
RUSS-275,2016A,VLADISLAV T. TODOROV,1.88,1.89,2.00,2.50,1.44
RUSS-311,2016C,MARIA BOURLATSKAYA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-360,2016C,DJAMILIA NAZYROVA,2.50,1.90,2.90,2.60,2.50
RUSS-412,2016A,JULIA VERKHOLANTSEV,4.00,3.50,4.00,4.00,3.25
RUSS-426,2016C,VERA ZUBAREV,3.00,2.00,3.20,3.00,1.33
RUSS-436,2005A,VLADISLAV T. TODOROV,3.11,1.88,3.33,3.11,2.00
RUSS-460,2009A,MARIA BOURLATSKAYA,3.67,1.83,3.67,3.83,1.83
HIST-413,2003C,KEVIN M.F. PLATT,3.67,3.00,3.67,4.00,3.33
