ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SARS-012,2004A,S K GAMBHIR,3.56,1.83,3.72,3.28,2.28
SARS-062,2004A,PRASHANT KOCHERLAKOTA,3.50,2.33,3.75,3.92,2.58
SARS-063,2004A,ALLYN MINER,3.91,1.45,3.91,3.64,1.64
SARS-101,2004C,HARUNAGA ISAACSON,2.42,1.67,2.58,2.08,1.83
SARS-103,2004C,SIMONE BARRETTA,2.00,2.20,1.70,1.10,2.40
SARS-165,2004C,ALLYN MINER,3.25,1.88,3.13,3.00,1.88
SARS-205,2004A,HARIHARAN KRISHNAN,2.95,1.95,3.36,3.33,1.86
SARS-206,2003A,DIDITI MITRA,2.20,3.40,2.20,2.40,4.00
SARS-210,2004A,S K GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-212,2004A,VIJAY GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-214,2004A,S K GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-216,2004A,VIJAY GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-220,2002A,VIJAY GAMBHIR,2.90,1.50,3.35,3.00,1.75
SARS-230,2004A,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-232,2004A,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-240,2004A,HAIMANTI BANERJEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-242,2004A,HAIMANTI BANERJEE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-250,2004A,BABUBHAI K. SUTHAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-252,2004A,BABUBHAI K. SUTHAR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-270,2004A,JAMES N KURICHI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-272,2004A,JAMES N KURICHI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-280,2004A,AMRIT GAHUNIA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-282,2004C,AMRIT GAHUNIA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-291,2002A,BENEDICTE G. SANTRY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-305,2004C,HELEN SHEEHAN,2.42,1.08,2.58,1.75,1.17
SARS-402,2002A,ALAN W HESTON,1.52,1.70,1.65,1.00,1.87
SARS-415,2004C,MUHAMMAD ASLAM SYED,2.38,2.00,3.00,2.69,1.85
AMES-105,2003A,VALERIE STOKER,2.88,1.88,3.06,2.47,2.12
AMES-402,2002C,ROSANE D ROCHER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
AMES-403,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-323,2002C,JACQUELINE H FEWKES,3.75,2.50,3.75,3.25,2.50
ECON-023,2002C,ALAN W HESTON,2.08,2.54,2.08,1.00,2.23
HIST-085,2004A,DAVID E LUDDEN,2.14,2.36,2.43,2.36,2.21
RELS-552,2002A,ADITYA BEHL,3.50,2.25,3.75,3.50,3.50
SARS-010,2004C,ADITYA BEHL,2.60,2.60,3.60,2.80,3.00
SARS-203,2003C,ADITYA BEHL,3.57,2.57,3.57,3.14,2.86
SARS-208,2004A,CHRISTIAN LEE NOVETZKE,3.00,2.33,3.07,3.00,2.53
SARS-217,2004C,MUHAMMAD ASLAM SYED,2.67,2.00,3.67,3.33,2.33
SARS-221,2004A,RUBAB QURESHI,2.75,2.50,2.75,2.75,2.75
SARS-222,2004A,S K GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-234,2003C,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-255,2002C,BABUBHAI K. SUTHAR,3.00,1.00,4.00,4.00,1.50
SARS-260,2004A,VIMALA RAJAGOPAL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-290,2004C,BENEDICTE G. SANTRY,4.00,3.00,4.00,4.00,2.50
SARS-292,2002C,BENEDICTE G. SANTRY,3.50,3.00,4.00,4.00,3.50
SARS-319,2003A,HAROLD F. SCHIFFMAN,1.33,1.33,1.67,1.33,1.00
SARS-401,2003A,HARUNAGA ISAACSON,2.50,2.63,3.25,2.50,2.88
SARS-410,2003A,HELEN SHEEHAN,2.67,1.50,3.17,2.50,1.67
SARS-411,2004A,HELEN SHEEHAN,4.00,2.20,4.00,3.60,2.40
SARS-412,2003A,HELEN SHEEHAN,3.67,3.00,3.67,3.00,3.00
SARS-416,2003A,MUHAMMAD ASLAM SYED,3.00,2.00,3.25,2.75,1.75
ARTH-211,2003A,DEBORAH E KLIMBURG-SALTER,1.57,2.43,2.29,1.71,2.43
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
SARS-224,2003B,ANNA K.M. LINDBERG,3.25,3.25,3.75,3.33,3.00
SARS-060,2004C,PRASHANT KOCHERLAKOTA,3.69,2.08,3.92,3.85,2.46
SARS-061,2004C,ALLYN MINER,3.70,1.50,3.80,3.70,1.50
SARS-109,2004C,HELEN SHEEHAN,3.00,1.46,3.15,2.46,1.77
SARS-204,2002C,MUHAMMAD ASLAM SYED,3.00,2.00,3.50,3.50,2.00
SARS-215,2002C,S K GAMBHIR,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-403,2004C,WHITNEY M. COX,3.60,3.00,3.60,3.60,3.20
SARS-543,2004C,HAROLD F. SCHIFFMAN,2.50,1.75,2.75,2.00,1.75
AMES-502,2002C,HARUNAGA ISAACSON,3.25,3.25,4.00,4.00,3.00
ANTH-009,2008A,WILLIAM B HAFFORD,2.80,2.10,3.20,2.80,3.00
ANTH-202,2016A,JAESOK KIM,4.00,3.00,4.00,4.00,3.00
ARTH-104,2015C,MICHAEL W MEISTER,1.44,2.11,1.82,1.89,1.33
ECON-027,2002C,ALAN W HESTON,1.47,2.41,1.65,1.06,2.24
RELS-163,2013A,MANJITA MUKHARJI,1.80,2.00,2.20,1.00,2.33
SARS-009,2003C,FARIHA KHAN,3.25,2.75,3.42,3.58,3.25
SARS-223,2003C,ADITYA BEHL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-253,2003C,CHRISTIAN LEE NOVETZKE,3.14,1.57,3.71,3.86,2.14
SARS-284,2004A,AMRIT GAHUNIA,3.00,1.50,3.50,3.50,1.50
SARS-296,2004A,SATYASRI TALLAPRAGADA,3.71,2.29,3.71,3.57,2.86
SARS-400,2004A,JOHN W NEMEC,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-433,2004C,CHRISTIAN LEE NOVETZKE,3.80,3.00,4.00,3.80,3.20
SARS-541,2004A,HARUNAGA ISAACSON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-551,2004A,HARUNAGA ISAACSON,4.00,2.00,4.00,4.00,2.00
ANTH-142,2003C,JACQUELINE H FEWKES,3.75,2.25,3.75,4.00,2.25
ANTH-501,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-212,2014C,MICHAEL W MEISTER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
PSCI-511,2013C,DEVESH KAPUR,3.00,3.33,3.00,3.33,3.33
RELS-562,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-161,2004C,ALLYN MINER,4.00,2.00,4.00,4.00,2.00
SARS-312,2004C,SATYASRI TALLAPRAGADA,4.00,2.67,3.67,3.67,2.33
ANTH-024,2006C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-233,2008A,GAUTAM GHOSH,4.00,3.00,3.75,3.75,3.25
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
RELS-173,2016A,JUSTIN THOMAS MCDANIEL,3.77,1.96,3.87,3.90,2.41
RELS-573,2004C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-102,2004A,ADITYA BEHL,3.10,2.70,3.30,2.80,3.10
SARS-166,2004A,ALLYN MINER,3.18,1.73,3.45,3.00,1.82
SARS-225,2004A,ADITYA BEHL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-238,2004A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SARS-559,2004A,JONARDON GANERI,3.40,2.60,3.80,3.20,2.20
ANTH-100,2016A,BRIAN J SPOONER,2.22,1.94,2.30,2.17,2.06
ANTH-208,2004A,UZMA Z RIZVI,4.00,2.67,4.00,3.67,2.33
ARTH-411,2016A,MICHAEL W MEISTER,2.67,2.00,2.67,2.67,2.33
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
