ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
ANTH-100,2016A,BRIAN J SPOONER,2.22,1.94,2.30,2.17,2.06
ANTH-137,2005A,GAUTAM GHOSH,3.86,2.71,3.71,3.86,3.00
ARTH-104,2015C,MICHAEL W MEISTER,1.44,2.11,1.82,1.89,1.33
ENGL-393,2013C,SUVIR KAUL,3.25,2.50,3.50,3.75,2.75
HIST-387,2006A,DAVID E LUDDEN,2.40,2.20,2.20,2.40,2.50
RELS-163,2013A,MANJITA MUKHARJI,1.80,2.00,2.20,1.00,2.33
RELS-173,2016A,JUSTIN THOMAS MCDANIEL,3.77,1.96,3.87,3.90,2.41
ANTH-024,2006C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-202,2016A,JAESOK KIM,4.00,3.00,4.00,4.00,3.00
ARTH-301,2016C,CHRISTOPHER PASTORE,2.88,2.38,3.00,3.29,3.13
ARTH-412,2006C,MICHAEL W MEISTER,2.00,3.00,2.50,1.50,3.00
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
HIST-086,2006C,DAVID E LUDDEN,3.31,1.77,3.31,3.00,1.62
ARTH-501,2016C,HOLLY PITTMAN,2.00,2.67,3.11,3.11,3.44
HIST-386,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ANTH-233,2008A,GAUTAM GHOSH,4.00,3.00,3.75,3.75,3.25
ARTH-515,2016A,JULIE NELSON DAVIS,3.63,2.88,3.88,3.63,3.00
ENGL-077,2007A,SANJAY KRISHNAN,3.00,2.54,3.46,2.85,2.46
HIST-088,2005C,DAVID E LUDDEN,1.63,1.88,1.88,1.50,1.88
PSCI-220,2012C,FRANCINE R FRANKEL,2.60,3.00,3.00,3.40,3.00
PSCI-256,2013C,FRANCINE R FRANKEL,2.86,2.29,2.57,3.14,3.00
SAST-190,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-296,2007B,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-003,2016C,DAUD ALI,1.85,2.04,2.00,2.44,2.15
SAST-005,2016C,RAMYA SREENIVASAN,2.79,1.50,2.95,3.14,2.00
SAST-009,2014A,TERENJIT SEVEA,3.00,3.33,3.33,3.33,3.33
SAST-052,2008C,S K GAMBHIR,3.71,2.29,3.86,3.29,2.43
SAST-057,2016C,SRILATA GANGULEE,3.06,1.47,3.28,3.40,1.53
SAST-104,2016C,AQEEL BHATTI,3.58,0.80,3.58,3.67,1.10
SAST-106,2016C,ALLYN MINER,3.80,1.44,3.80,3.78,1.22
SAST-108,2014C,ALLYN MINER,4.00,2.00,4.00,4.00,2.00
SAST-213,2013C,MANJITA MUKHARJI,2.45,2.60,2.64,2.82,2.73
SAST-286,2008B,DIVYA N. ROY,3.67,3.33,4.00,4.00,2.67
SAST-310,2007A,SHEETAL NARENDRA MAJITHIA,3.00,2.67,3.33,3.33,3.00
SAST-385,2007C,HELEN SHEEHAN,2.14,1.71,2.67,1.81,1.86
SAST-400,2008A,S K GAMBHIR,3.43,2.86,3.57,3.29,3.29
SAST-401,2008A,RUBAB QURESHI,3.11,2.89,3.33,3.44,2.89
SAST-402,2008A,BABUBHAI K. SUTHAR,4.00,2.00,4.00,4.00,2.00
SAST-403,2008A,HAIMANTI BANERJEE,4.00,3.00,4.00,4.00,3.00
SAST-404,2008A,AMRIT GAHUNIA,3.00,3.00,4.00,3.33,3.33
SAST-406,2008C,VASU RENGANATHAN,4.00,2.33,4.00,3.33,2.00
SAST-409,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-410,2015C,MILIND RANADE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-420,2008A,VIJAY GAMBHIR,3.40,3.00,3.60,3.80,3.40
SAST-421,2008A,RUBAB QURESHI,2.67,2.00,3.00,3.00,2.00
SAST-422,2008A,BABUBHAI K. SUTHAR,3.60,2.00,3.80,3.60,2.00
SAST-423,2008A,HAIMANTI BANERJEE,3.25,1.50,3.50,3.50,1.75
SAST-424,2008A,AMRIT GAHUNIA,3.67,2.67,4.00,3.33,2.67
SAST-426,2008A,VASU RENGANATHAN,4.00,3.00,4.00,4.00,3.00
SAST-428,2008A,JAMES N KURICHI,4.00,3.00,4.00,4.00,2.33
SAST-430,2008A,S K GAMBHIR,4.00,2.75,4.00,4.00,3.00
SAST-433,2007A,SANJUKTA BANERJEE,2.00,1.50,2.00,1.50,2.00
SAST-436,2008A,VASU RENGANATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-441,2008A,RUBAB QURESHI,3.60,2.20,3.40,4.00,2.60
SAST-456,2008A,VIJAY GAMBHIR,3.50,2.42,3.83,3.25,3.00
SAST-460,2008C,DEVEN PATEL,3.38,3.00,3.63,3.63,3.00
SAST-480,2008A,DEVEN PATEL,3.67,3.33,4.00,4.00,3.33
RELS-145,2013A,NICHOLAS HARRIS,3.38,2.13,3.63,3.38,2.63
SAST-002,2014C,ETHIRAJ G DATTATREYAN,3.18,2.45,3.50,3.60,3.00
SAST-006,2016A,DEVEN PATEL,2.72,2.13,3.02,3.16,2.42
SAST-105,2016A,AQEEL BHATTI,3.50,1.33,3.67,3.83,1.17
SAST-107,2016A,ALLYN MINER,3.75,1.13,3.83,3.75,1.63
SAST-109,2015A,ALLYN MINER,4.00,3.00,4.00,4.00,3.00
SAST-115,2012A,ALLYN MINER,3.27,2.00,3.53,3.25,2.17
SAST-150,2016C,DEVEN PATEL,2.79,1.94,3.40,3.54,1.91
SAST-165,2015A,MANJITA MUKHARJI,2.67,1.71,2.67,2.14,1.57
SAST-260,2010C,JAMES CARON,3.00,2.44,2.90,3.11,2.56
SAST-294,2007A,LISA MITCHELL,3.00,2.80,3.20,2.60,3.00
SAST-295,2010A,RAILI ROY,2.33,1.67,2.17,2.33,1.83
SAST-368,2008A,RAMNARAYAN SINGH RAWAT,3.00,3.00,3.33,2.67,3.00
SAST-386,2007A,HELEN SHEEHAN,2.54,1.23,2.92,2.31,1.38
SAST-408,2016A,VIJAYALAKSHMI SWAMINATHAN,3.33,2.67,3.33,3.67,2.00
SAST-434,2007A,AMRIT GAHUNIA,3.50,2.00,4.00,3.50,1.50
SAST-442,2007A,BABUBHAI K. SUTHAR,3.75,1.50,3.75,3.75,1.75
SAST-451,2007A,ALOK RAI,3.40,3.40,3.40,3.20,3.80
SAST-470,2007A,SHAMAN HATLEY,3.33,3.33,4.00,3.33,3.33
SAST-481,2007A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ASAM-209,2010C,FARIHA KHAN,3.06,1.86,3.29,2.77,2.00
ENGL-595,2015A,TSITSI E. JAJI,2.85,3.00,3.15,3.50,3.10
SAST-004,2015A,DEVEN PATEL,2.57,1.76,3.21,3.14,2.05
SAST-387,2010A,RAM SHARMA,2.56,1.07,3.00,2.07,1.14
SAST-407,2014C,VIJAYALAKSHMI SWAMINATHAN,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ARTH-599,2009A,MICHAEL W MEISTER,3.25,2.00,3.75,3.00,2.33
SAST-211,2009B,MELANIE DEAN,2.89,2.33,3.44,3.44,2.56
SAST-008,2015C,RAMYA SREENIVASAN,2.91,2.18,3.32,3.33,2.47
SAST-262,2015C,DAUD ALI,2.82,3.00,3.18,3.50,3.30
SAST-405,2010A,JAMES CARON,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
PSCI-257,2013C,FRANCINE R FRANKEL,1.83,2.67,1.83,2.17,3.33
PSCI-511,2013C,DEVESH KAPUR,3.00,3.33,3.00,3.33,3.33
SAST-140,2016C,DAVESH SONEJI,4.00,2.25,4.00,4.00,2.50
SAST-143,2008C,RUPASHREE VISWANATH,3.75,2.25,3.50,3.25,3.25
SAST-369,2010A,JAMES CARON,3.50,2.60,3.60,3.40,2.40
SAST-429,2008C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-432,2008A,BABUBHAI K. SUTHAR,4.00,2.67,3.67,3.67,2.33
ARTH-514,2013C,STEPHEN H WHITEMAN,4.00,1.50,4.00,4.00,2.50
ASAM-017,2008C,FARIHA KHAN,3.63,2.00,3.75,3.75,2.13
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
SAST-001,2016A,TERENJIT SEVEA,2.81,1.79,3.11,2.95,2.11
SAST-212,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-332,2008A,S K GAMBHIR,4.00,2.50,4.00,4.00,2.00
SAST-462,2008A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SAST-116,2015A,ALLYN MINER,3.29,2.00,3.43,3.25,2.50
SAST-122,2011A,URMILA PATIL,3.00,2.17,3.00,2.83,2.50
SAST-280,2010A,SRILATA GANGULEE,2.43,1.57,2.75,2.46,1.54
SAST-367,2012A,JAMES CARON,3.00,3.00,3.00,4.00,3.00
SAST-383,2012A,JAMES CARON,2.83,2.20,2.67,2.60,2.80
SAST-495,2011A,RAILI ROY,2.57,3.14,2.29,2.43,3.43
NELC-239,2016C,HEATHER SHARKEY,3.29,2.00,3.64,3.77,2.54
RELS-143,2015A,KAMELIYA ATANASOVA,2.75,1.55,2.75,3.09,1.82
SAST-063,2015C,LISA MITCHELL,2.76,1.99,3.20,3.04,2.32
SAST-169,2016C,IAN C. PETRIE,2.70,1.94,3.10,2.88,2.12
SAST-562,2012C,DAUD ALI,4.00,3.33,4.00,4.00,3.50
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
RELS-146,2015C,JAMAL J. ELIAS,3.43,2.23,3.68,3.73,2.59
RELS-541,2015A,JAMAL J. ELIAS,3.33,2.88,3.67,3.38,3.13
SAST-050,2011C,RAMYA SREENIVASAN,3.25,2.25,3.75,3.25,2.75
ASAM-160,2016C,FARIHA KHAN,3.33,2.44,3.61,3.83,2.72
HSOC-107,2014C,PROJIT BIHARI MUKHARJI,2.50,2.33,3.00,2.83,2.83
HSOC-307,2011C,PROJIT BIHARI MUKHARJI,3.00,3.25,3.60,2.75,4.00
SAST-264,2010A,RAMNARAYAN SINGH RAWAT,3.50,3.00,3.50,4.00,3.00
SAST-288,2010A,DAUD ALI,1.88,1.71,2.25,2.00,1.71
SAST-350,2015C,ALBERTA FERRARIO,3.00,2.00,3.40,3.14,2.00
HSOC-226,2010A,IAN C. PETRIE,2.00,2.63,2.88,2.25,3.50
SAST-340,2012A,MANJITA MUKHARJI,3.40,3.00,3.20,3.25,3.25
SAST-586,2012A,PROJIT BIHARI MUKHARJI,3.33,3.00,3.33,3.33,3.67
SAST-411,2016A,MILIND RANADE,3.00,2.20,3.20,3.00,2.40
SAST-593,2014C,RAMYA SREENIVASAN,3.00,3.50,3.50,3.50,3.67
ARTH-212,2014C,MICHAEL W MEISTER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RELS-473,2012C,BAREND JAN TERWIEL,3.80,2.25,3.80,4.00,2.00
SAST-007,2016C,MAHBOOB MOHAMMAD,3.57,1.33,3.29,4.00,1.25
SAST-189,2014A,TERENJIT SEVEA,3.00,2.60,3.00,3.20,2.60
SAST-248,2013A,SUPRIYA GANDHI,3.00,2.67,3.33,3.00,2.67
SAST-413,2016A,MILIND RANADE,3.67,2.00,3.67,4.00,2.00
SAST-504,2013A,LISA MITCHELL,3.00,3.27,3.15,3.17,3.58
ASAM-170,2016A,MEETA KUMAR,3.38,1.83,3.69,3.67,1.83
HIST-233,2016C,YVONNE E FABELLA,3.08,2.83,3.33,3.33,3.25
INTR-290,2016C,MARK CASTILLO,3.11,2.86,3.11,3.00,3.43
SAST-265,2015A,SUNDARAM RALLAPALLI,1.63,1.86,1.50,2.00,1.71
SAST-282,2014A,RAILI ROY,3.00,2.60,3.27,3.60,2.50
SAST-447,2014A,SUNDARAM RALLAPALLI,3.33,3.00,3.67,3.00,2.50
ARTH-311,2014A,MICHAEL W MEISTER,2.33,2.00,2.33,3.50,1.50
SAST-217,2016C,DEVEN PATEL,3.13,1.63,3.63,3.75,1.50
SAST-303,2014C,TYLER WILLIAMS,2.50,2.75,2.75,2.75,3.00
SAST-334,2014C,DEVEN PATEL,3.00,2.00,3.33,3.67,2.33
SAST-412,2016C,MILIND RANADE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
