ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SLAV-504,2010A,IZOLDA WOLSKI-MOSKOFF,3.50,3.50,4.00,3.50,2.00
SLAV-533,2006A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-106,2003A,ROBERT ROMANCHUK,4.00,2.00,4.00,3.50,2.00
SLAV-502,2016A,AGNIESZKA DZIEDZIC,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-531,2007A,JIRI STEJSKAL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-501,2016C,AGNIESZKA DZIEDZIC,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-530,2010C,PETER STEINER,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-503,2009C,IZOLDA WOLSKI-MOSKOFF,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-532,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-590,2007C,LEO D. RUDNYTZKY,4.00,2.33,4.00,4.00,2.67
SLAV-592,2015C,LEO D. RUDNYTZKY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-100,2006A,JULIA VERKHOLANTSEV,3.29,2.14,3.00,3.14,1.86
SLAV-220,2006A,LEO D. RUDNYTZKY,3.67,1.83,4.00,4.00,2.00
SLAV-593,2016A,LEO D. RUDNYTZKY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
RUSS-165,2016A,VLADISLAV T. TODOROV,2.53,1.79,2.76,2.93,1.79
RUSS-234,2015A,JULIA VERKHOLANTSEV,2.17,2.00,2.50,2.60,2.20
SLAV-526,2010C,JULIA VERKHOLANTSEV,3.67,2.50,3.67,4.00,2.50
COML-501,2016C,RITA COPELAND,3.57,3.08,3.79,3.08,3.00
SLAV-109,2008B,PETER STEINER,2.50,2.50,3.50,3.00,3.00
SLAV-591,2016A,LEO D. RUDNYTZKY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-595,2014A,LEO D. RUDNYTZKY,4.00,1.50,4.00,4.00,1.50
SLAV-505,2016C,AGNIESZKA DZIEDZIC,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SLAV-594,2016C,LEO D. RUDNYTZKY,4.00,2.67,4.00,4.00,2.67
CINE-290,2009C,META MAZAJ,3.13,1.71,3.38,2.88,2.25
SLAV-506,2016A,AGNIESZKA DZIEDZIC,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
CINE-392,2016C,DANA B. POLAN,3.30,2.00,3.40,3.38,2.11
SLAV-390,2015C,NEDA SCEPANOVIC-ULIANO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
