ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SOCI-001,2016C,COLETTE JOYCE,3.00,2.10,3.18,3.24,2.24
SOCI-003,2015A,COLETTE JOYCE,3.12,2.58,3.62,3.26,2.47
SOCI-004,2016C,COLETTE JOYCE,3.28,2.11,3.38,3.56,2.11
SOCI-006,2016C,VANI S KULKARNI,2.73,2.33,2.70,2.78,2.56
SOCI-007,2016C,CHENOA ANNE FLIPPEN,2.76,2.29,3.26,3.18,2.46
SOCI-011,2016C,SARAH W ZELNER,2.76,2.56,3.06,3.00,2.78
SOCI-041,2016C,DANIEL A COHEN,2.75,2.36,3.08,3.45,3.18
SOCI-100,2016C,MELISSA J. WILDE,3.04,2.09,3.19,3.21,2.88
SOCI-110,2016C,STEPHEN R. VISCELLI,3.50,2.15,3.69,3.65,1.85
SOCI-117,2016C,ROBIN LISA LEIDNER,2.67,1.80,3.00,2.80,2.20
SOCI-118,2014C,COLETTE JOYCE,3.35,2.43,3.65,3.50,2.57
SOCI-120,2016C,ALEXEY SHPENEV,2.12,2.64,2.51,2.38,3.09
SOCI-122,2015C,ROBIN LISA LEIDNER,2.94,1.73,2.91,2.97,1.93
SOCI-125,2016C,CHARLES BOSK,1.73,2.46,2.07,2.23,2.77
SOCI-126,2015C,HEIDY SARABIA VITAL,2.46,1.55,2.77,2.82,2.00
SOCI-128,2016C,HERBERT L SMITH,2.30,2.44,2.70,2.67,2.44
SOCI-135,2016C,HOCINE FETNI,1.66,1.96,1.94,2.06,1.43
SOCI-137,2016C,JUNHOW WEI,2.86,1.94,3.10,3.22,2.28
SOCI-140,2014A,RANDALL COLLINS,2.52,1.91,2.39,2.82,2.05
SOCI-222,2015C,CHARLES BOSK,1.33,0.67,1.33,2.00,0.67
SOCI-230,2015C,STEPHEN R. VISCELLI,2.44,2.60,2.44,3.00,2.00
SOCI-233,2007C,WILLIAM S LAUFER,2.88,1.29,3.48,3.03,1.35
SOCI-250,2002A,KRYSTYNA B. WARCHOL,2.72,1.94,2.89,2.83,2.28
SOCI-264,2014A,JAN JAEGER,1.29,1.31,1.21,1.54,1.42
SOCI-275,2015A,COLETTE JOYCE,2.61,2.38,2.89,3.25,3.06
SOCI-300,2014C,ROBIN LISA LEIDNER,1.63,2.50,2.25,2.13,3.25
SOCI-430,2015A,RANDALL COLLINS,3.00,2.71,2.70,2.43,2.14
SOCI-431,2016C,MANUEL LOMBERA,3.00,3.33,2.83,3.17,3.67
SOCI-499,2003C,CAMILLE ZUBRINSKY CHARLES,4.00,3.50,4.00,4.00,4.00
SOCI-530,2015A,AMADA ARMENTA,3.23,2.92,3.00,3.25,3.25
SOCI-536,2016A,HYUNJOON PARK,2.33,2.85,2.24,2.60,3.03
SOCI-567,2004A,EWA R MORAWSKA,3.42,2.37,3.89,3.21,2.58
DEMG-594,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
URBS-473,2015C,JAMES A. BECKER,3.00,2.80,3.40,3.40,3.20
WSTD-231,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SOCI-009,2008A,JAMIE J FADER,2.93,2.27,3.27,2.80,2.73
SOCI-104,2003A,EWA R MORAWSKA,3.35,2.04,3.50,3.27,2.31
SOCI-112,2015C,JANICE FANNING MADDEN,2.18,2.08,2.27,2.42,2.08
SOCI-221,2016A,NATALIE ALICE ECKHARDT YOUNG,1.80,2.00,2.07,2.08,2.69
SOCI-229,2003A,DAVID I GRAZIAN,2.65,1.71,3.01,3.07,2.07
SOCI-231,2016C,VANI S KULKARNI,3.00,2.25,3.50,3.25,2.75
SOCI-239,2009A,MELISSA J. WILDE,3.15,2.62,3.69,3.31,3.62
SOCI-273,2003A,CHARLES BOSK,2.39,2.00,2.87,2.15,2.20
SOCI-425,2006A,ROBIN LISA LEIDNER,1.00,1.70,1.10,0.90,2.10
SOCI-506,2003A,JESSICA FISHMAN,3.33,3.00,3.44,3.00,3.44
SOCI-545,2003A,EWA R MORAWSKA,3.00,2.60,3.20,3.40,2.60
SOCI-596,2016A,GRACE KAO,2.80,2.20,3.40,3.40,2.30
SOCI-052,2007B,WILLIAM M EVAN,2.50,3.00,1.50,1.50,3.50
URBS-457,2016C,ARJUN SHANKAR,3.17,2.59,3.37,3.41,3.35
SOCI-005,2016A,CHARLES BOSK,2.07,1.80,2.33,2.80,2.20
SOCI-008,2004C,MIRELLA LANDRISCINA,2.73,2.64,3.09,2.64,3.18
SOCI-010,2016A,HYUNJOON PARK,2.75,2.31,2.56,3.00,2.77
SOCI-103,2016C,PHOEBE HO,3.00,2.74,3.22,3.26,2.95
SOCI-535,2016C,PAUL D ALLISON,3.04,2.83,3.12,2.75,2.96
SOCI-540,2002C,RANDALL COLLINS,3.33,3.00,3.50,3.00,3.33
SOCI-542,2016A,ROBIN LISA LEIDNER,3.17,2.33,3.33,3.17,2.67
SOCI-550,2010A,JERRY A JACOBS,2.57,2.60,3.00,2.60,2.20
SOCI-583,2002C,CHARLES BOSK,3.90,2.80,3.90,3.80,3.20
COMM-496,2005C,ELIHU KATZ,2.72,2.39,3.06,2.50,2.56
NURS-640,2011A,WENDY VOET,3.78,2.33,3.78,3.67,2.63
SOCI-524,2011A,ANNETTE P. LAREAU,3.40,3.56,3.60,3.56,3.78
SOCI-541,2015C,JANICE FANNING MADDEN,3.54,2.82,3.62,3.73,2.82
SOCI-561,2015A,RANDALL COLLINS,3.00,2.50,3.42,3.55,2.60
SOCI-591,2005C,ANNE W. CHAIN,3.42,3.17,3.50,3.25,2.92
AMES-389,2004A,LEWIS E HARRINGTON,3.11,1.59,3.30,3.00,2.00
HSOC-102,2015C,JONATHAN D MORENO,3.23,1.79,3.44,3.61,1.73
HSSC-414,2004C,NATHAN SIVIN,3.33,2.78,3.56,3.11,2.22
URBS-420,2016C,ROBERT P FAIRBANKS,3.00,3.17,3.20,3.25,3.50
SOCI-235,2016C,HOCINE FETNI,2.75,2.19,3.10,3.44,1.94
SOCI-280,2007C,EMILY C. HANNUM,3.12,1.96,3.12,2.65,2.08
SOCI-555,2016C,DAVID I GRAZIAN,3.67,0.20,3.83,3.75,0.00
URBS-408,2004A,S EVA GOLD,2.75,2.25,3.50,2.25,2.75
SOCI-277,2016A,JASON S SCHNITTKER,2.74,1.93,3.03,3.00,1.55
SOCI-399,2004A,SILKE ROTH,3.00,3.00,4.00,0.00,4.00
SOCI-546,2009A,BARBARA J. RISMAN,3.00,3.33,3.33,3.17,3.83
SOCI-553,2016C,DAVID I GRAZIAN,3.89,2.89,4.00,4.00,3.22
NURS-821,2013A,EILEEN LAKE,3.43,2.57,4.00,3.86,2.29
SOCI-453,2016A,JANICE FANNING MADDEN,3.13,2.57,3.13,2.86,2.71
SOCI-556,2014A,MELISSA J. WILDE,2.73,2.20,3.00,3.30,2.00
AFRC-302,2006A,SHAUN L. GABBIDON,4.00,2.00,4.00,4.00,3.00
CRIM-200,2016A,JOHN M. MACDONALD,2.59,2.08,2.80,2.88,1.80
NURS-334,2016C,KEVIN JENKINS,1.63,1.16,1.85,2.16,1.37
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
SOCI-111,2016C,HANS-PETER KOHLER,2.11,2.36,2.42,2.35,2.19
SOCI-336,2006C,DAVID I GRAZIAN,2.63,2.13,2.50,2.63,2.63
SOCI-515,2006C,FRANK FURSTENBERG,3.50,2.79,3.93,3.71,3.00
SOCI-559,2006C,MELISSA J. WILDE,3.29,2.57,3.57,3.29,2.86
AFRC-420,2016C,HOCINE FETNI,2.19,1.95,2.74,2.84,1.89
ANTH-012,2016C,MAURO FEDERICO GUILLEN,2.71,1.69,3.50,3.48,2.16
ASAM-150,2010A,FARIHA KHAN,2.67,2.60,3.17,2.80,2.80
COMM-410,2011B,LAUREN SESSIONS GOULET,3.08,2.55,3.00,3.00,3.00
CRIM-410,2016C,CHARLES E. LOEFFLER,2.70,2.90,2.70,3.10,3.20
CRIM-411,2008C,PAUL E ROCK,3.00,1.83,3.00,2.83,2.50
EALC-069,2016C,JOLYON BARAKA THOMAS,2.99,2.46,3.32,3.34,2.89
URBS-100,2007C,DENNIS P. CULHANE,3.26,2.26,3.53,3.16,2.47
AFRC-102,2007B,JASMINE COBB,3.64,2.27,3.82,3.73,2.09
PSCI-298,2016C,DEBORAH HARROLD,3.00,2.23,3.17,3.46,2.38
SOCI-517,2016C,ROBIN LISA LEIDNER,3.00,2.13,2.88,2.88,2.38
AFRC-001,2016C,SALAMISHAH TILLET,2.91,1.95,3.15,3.37,2.37
