ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SPAN-110,2016C,ARNULFO CARRILLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-115,2016C,PATRICIA INES VARGAS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-120,2016A,ABEL RODRIGUEZ,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-121,2016C,MARIA PAREDES FERNANDEZ,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-125,2016A,PATRICIA INES VARGAS,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-130,2016C,ANDRES GARCIA LONDONO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-135,2016C,BEATRIZ M. SAIGAL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-140,2016C,ALBERT JORNET SOMOZA,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-145,2016C,BERTA RODRIGUEZ,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-180,2016C,VICTOR SIERRA MATUTE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-202,2016C,SELMA FELICIANO ARROYO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-208,2016C,GERALDINE LEBAUDY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-212,2016C,JAMES BENJAMIN MOORE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-215,2016A,SENEN CARLO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-219,2016C,ANTHONY P ESPOSITO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-319,2016C,ANTHONY P ESPOSITO,2.71,2.77,3.29,3.31,2.23
SPAN-337,2003C,MICHAEL R SOLOMON,3.67,3.00,3.89,3.89,2.89
SPAN-357,2013C,SONIA VELAZQUEZ,2.70,2.89,2.90,2.78,3.44
SPAN-386,2016A,FRANCISCO FERNANDEZ,2.92,2.60,3.17,3.00,3.30
SPAN-390,2016C,MARIE ELISE ESCALANTE,2.21,2.25,2.43,2.42,2.45
SPAN-391,2002A,REINALDO C LADDAGA,3.07,2.07,3.07,2.53,2.00
SPAN-394,2016A,JORGE TELLEZ,3.56,1.38,3.69,3.54,1.85
SPAN-396,2016C,MARIE ELISE ESCALANTE,3.00,2.00,2.89,2.50,2.00
SPAN-401,2002A,JOSE M REGUEIRO,2.68,2.62,3.27,2.86,2.68
SPAN-134,2016A,DAVID GOMEZ BARRETO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-348,2016C,MICHAEL R SOLOMON,3.83,2.20,3.83,3.60,3.20
SPAN-350,2016C,OLGA GUADALUPE,2.43,2.80,3.29,3.00,3.00
SPAN-381,2008C,LIDIA LEON-BLAZQUEZ,4.00,2.80,4.00,4.00,3.00
SPAN-392,2005A,JESUS MANUEL GOMEZ FERNANDEZ,2.69,2.23,3.54,2.69,2.69
SPAN-397,2016C,JORGE TELLEZ,3.46,1.82,3.77,3.55,2.00
SPAN-112,2016C,DAVID GOMEZ BARRETO,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SPAN-225,2010A,MARIA DEL PILA BARRA HERNANDEZ,2.92,1.90,3.31,3.40,2.30
