ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
STAT-002,2004A,SOHAIL R. BAIG,2.80,2.90,3.40,3.50,2.95
STAT-101,2016C,ABRAHAM WYNER,2.17,3.60,2.54,2.57,2.99
STAT-102,2016C,ROBERT A STINE,2.82,3.16,3.16,2.72,2.39
STAT-111,2016C,ALEXANDER VEKKER,2.71,2.17,3.10,2.89,2.18
STAT-430,2016C,TIANWEN TONY CAI,2.31,3.41,2.44,2.49,2.49
STAT-431,2016C,BHASWAR BIKRAM BHATTACHARYA,2.76,2.77,3.14,2.77,2.60
STAT-501,2016A,WARREN J EWENS,3.34,1.75,3.48,3.25,1.96
STAT-511,2008A,LINDA H ZHAO,1.86,2.00,2.14,1.71,1.36
STAT-541,2015C,ANDREAS BUJA,2.57,2.42,2.86,3.17,1.83
STAT-012,2005A,SOHAIL R. BAIG,3.00,3.30,3.30,3.30,3.30
STAT-112,2016A,LAWRENCE D BROWN,2.14,3.00,2.14,1.88,2.35
STAT-531,2015A,J MICHAEL STEELE,3.19,3.13,3.50,3.27,2.69
STAT-001,2003C,BWALYA MWAPE,1.65,2.90,1.70,1.50,2.80
STAT-011,2003C,RONALD C GULEZIAN,2.04,2.83,2.00,1.61,2.48
STAT-500,2016C,PAUL R ROSENBAUM,3.21,2.23,3.51,3.21,1.70
STAT-510,2014C,ELCHANAN MOSSEL,3.45,3.11,3.58,3.44,2.96
STAT-530,2014C,J MICHAEL STEELE,3.74,3.65,3.74,3.47,3.59
STAT-550,2015C,DYLAN S. SMALL,2.72,2.75,2.53,1.94,2.88
STAT-411,2004C,SOHAIL R. BAIG,2.42,3.00,2.75,2.83,2.83
STAT-434,2013C,DEAN P. FOSTER,2.10,2.67,2.90,2.57,2.48
STAT-433,2016A,ELCHANAN MOSSEL,2.98,3.15,3.05,2.88,2.79
STAT-512,2016A,WARREN J EWENS,3.45,2.83,3.70,3.58,2.56
STAT-540,2006C,SHANE T. JENSEN,3.69,2.38,3.75,3.56,2.44
STAT-521,2014A,PAUL SHAMAN,2.84,3.31,3.05,2.63,3.25
STAT-542,2016A,SHANE T. JENSEN,3.06,3.00,3.21,3.21,2.71
STAT-551,2009A,LAWRENCE D BROWN,3.40,3.67,3.40,3.44,3.11
STAT-701,2016C,LINDA H ZHAO,2.94,2.82,2.69,2.59,3.06
STAT-956,2009A,J MICHAEL STEELE,3.75,2.60,3.75,3.90,2.90
MATH-547,2016A,ROBIN PEMANTLE,2.69,3.65,2.60,2.68,3.29
MKTG-776,2016A,PETER S FADER,3.41,3.94,3.67,3.73,3.81
STAT-520,2016C,PAUL SHAMAN,2.83,3.48,3.21,2.48,3.29
STAT-608,2009C,ROBERT A STINE,2.77,2.95,3.10,2.89,2.28
STAT-611,2009C,RICHARD PAUL WATERMAN,2.79,2.33,3.41,3.20,2.02
STAT-622,2016A,JUSTIN L BLEICH,3.23,2.74,3.25,3.04,2.74
STAT-921,2015C,DYLAN S. SMALL,2.97,2.39,3.03,2.73,2.09
MATH-546,2015C,ROBIN PEMANTLE,2.74,3.48,2.84,2.82,3.13
STAT-711,2016C,PAUL SHAMAN,2.12,2.59,2.34,1.56,2.53
STAT-900,2011A,J MICHAEL STEELE,3.32,2.43,3.79,3.73,2.27
STAT-928,2014A,ALEXANDER RAKHLIN,3.21,3.48,3.43,3.13,2.26
MKTG-476,2016A,PETER S FADER,3.63,3.48,3.70,3.63,3.21
STAT-603,2011C,EDWARD I GEORGE,2.78,2.13,3.22,2.91,1.65
STAT-920,2014C,DYLAN S. SMALL,2.72,1.83,2.73,2.38,2.10
STAT-925,2015C,ZONGMING MA,3.00,2.55,2.92,2.64,1.91
STAT-955,2015C,J MICHAEL STEELE,3.53,2.58,3.93,3.42,1.92
INSR-251,2011C,JEAN H LEMAIRE,3.56,2.96,3.79,3.12,2.27
INSR-253,2011C,JEAN H LEMAIRE,3.44,2.73,3.63,3.32,1.95
STAT-474,2016A,RICHARD A. BERK,2.58,3.28,2.42,1.92,2.76
INSR-452,2012A,JEAN H LEMAIRE,3.60,3.24,3.85,3.53,1.94
INSR-454,2012A,JEAN H LEMAIRE,2.80,2.64,3.47,2.55,2.36
STAT-451,2016C,JEAN H LEMAIRE,3.07,3.27,3.43,2.70,2.18
STAT-453,2016C,JEAN H LEMAIRE,3.80,3.14,3.80,3.86,2.86
STAT-552,2015A,TIANWEN TONY CAI,3.36,2.90,3.64,3.40,2.00
STAT-926,2014C,ANDREAS BUJA,3.00,1.89,3.45,3.11,1.78
STAT-452,2016A,MONICA IONESCU,3.00,3.50,3.00,2.38,3.25
STAT-454,2015A,JEAN H LEMAIRE,2.88,2.69,3.06,2.69,2.15
STAT-950,2013A,RICHARD PAUL WATERMAN,3.40,2.88,3.70,3.50,3.13
STAT-991,2016A,ELCHANAN MOSSEL,3.69,3.00,3.69,3.67,1.92
STAT-470,2016C,ANDREAS BUJA,2.43,1.96,2.73,2.35,1.80
STAT-705,2016C,NANCY R. ZHANG,2.55,2.84,2.55,2.12,3.12
STAT-722,2016C,YUANCHENG ZHU,2.48,2.69,2.26,1.77,2.81
STAT-930,2016C,J MICHAEL STEELE,3.87,3.64,3.91,3.86,3.55
STAT-970,2016C,DYLAN S. SMALL,3.45,2.36,3.55,3.18,2.55
STAT-972,2016C,TIANWEN TONY CAI,3.27,2.73,3.42,3.45,2.18
