ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
SYS-140,2003A,JOHN D KEENAN,2.28,1.59,3.03,2.48,2.00
SYS-200,2003C,LAWRENCE EISENBERG,2.90,2.27,3.47,3.40,1.83
SYS-301,2003C,IOANNIS KORILIS,1.06,2.71,0.91,0.51,2.31
SYS-302,2003C,TONY EDWARD SMITH,1.92,3.58,2.42,2.25,3.08
SYS-304,2003C,JOHN YI,2.93,2.45,3.31,3.10,2.52
SYS-305,2003A,LAWRENCE EISENBERG,1.66,3.00,2.10,1.83,2.80
SYS-352,2003A,JEFFREY CASELLO,3.22,2.33,3.50,3.22,3.11
SYS-391,2003C,JOHN D KEENAN,2.63,1.95,3.11,2.63,2.95
SYS-441,2002A,RADE HAJDIN,2.00,3.50,2.50,1.75,3.00
SYS-462,2003A,YA-CHI TSAO,3.00,2.50,4.00,3.75,2.38
SYS-490,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SYS-502,2003A,TONY EDWARD SMITH,3.00,3.50,3.25,3.25,3.25
SYS-555,2003A,ISAAC TAKYI,2.42,1.26,2.95,2.42,1.16
SYS-562,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
SYS-564,2003A,WALTER LYON,2.37,1.83,2.67,2.27,2.13
SYS-250,2003A,DENNY CHO,2.47,2.06,2.59,2.00,2.21
SYS-508,2003A,BARRY G. SILVERMAN,2.89,2.22,3.11,3.25,2.22
CHE-375,2003A,WEN K SHIEH,3.00,2.27,3.37,3.17,2.13
SYS-303,2003C,MICHAEL A. CARCHIDI,2.64,2.36,2.67,1.59,2.68
SYS-341,2003C,JOHN A LEPORE,2.92,3.25,3.08,2.67,3.17
SYS-342,2003C,G ERIC JOHANSEN,3.20,2.30,3.40,3.00,2.25
SYS-360,2002C,MANAF FARHAN,2.54,2.38,3.08,2.08,2.69
SYS-361,2003C,WEN K SHIEH,2.18,2.00,2.73,2.00,2.09
SYS-390,2002C,C NELSON DORNY,2.72,3.49,3.14,2.50,3.89
SYS-400,2003C,THOMAS A. CASSEL,2.73,3.11,2.96,2.44,3.58
SYS-405,2003C,IRAJ ZANDI,2.38,2.05,2.48,2.14,2.38
SYS-444,2003C,JAHANGIR POURDEHNAD,1.98,1.55,2.65,1.78,2.10
SYS-506,2002C,WILLIAM M. GOBLE,2.88,2.31,3.13,2.94,2.13
SYS-554,2003C,VUKAN R VUCHIC,3.37,2.79,3.47,3.11,3.16
SYS-590,2003C,IRAJ ZANDI,2.75,1.75,3.00,3.00,2.00
OPIM-221,2004C,PAUL R KLEINDORFER,3.00,2.30,3.48,3.30,2.43
OPIM-261,2015A,HOWARD KUNREUTHER,1.68,1.88,2.10,1.29,2.24
