ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
THAR-110,2013C,JAMES SCHLATTER,1.55,1.64,1.82,1.64,1.73
THAR-114,2016A,JACQUELINE P GOLDFINGER,3.56,2.25,3.44,3.63,2.50
THAR-120,2016C,BROOKE O'HARRA,3.70,0.91,3.75,3.73,1.00
THAR-132,2016C,MILLIE B HIIBEL,2.86,2.29,2.43,3.14,2.71
THAR-133,2015C,PETER B WHINNERY,3.75,2.00,4.00,4.00,2.75
THAR-171,2016A,MANFRED W FISCHBECK,3.35,1.09,3.41,3.45,1.27
THAR-220,2013A,ROSEMARY MALAGUE,2.30,2.00,2.10,2.78,1.67
THAR-221,2013A,JAMES SCHLATTER,2.00,2.00,2.20,2.00,2.60
THAR-250,2016C,MARCIA L FERGUSON,3.73,1.75,3.82,3.88,2.50
THAR-275,2016A,JAMES SCHLATTER,1.70,1.50,1.50,2.50,1.25
THAR-290,2005C,MARION KANT,3.04,2.21,3.46,3.29,2.17
THAR-575,2002A,DAVID FOX,2.50,1.75,3.00,2.75,2.00
ENGL-078,2016C,RAHUL MUKHERJEE,1.90,2.37,1.73,1.91,2.23
ENGL-236,2013A,ZACHARY LESSER,2.82,2.93,3.29,3.00,3.00
THAR-121,2016C,BROOKE O'HARRA,3.40,2.40,3.40,3.40,2.20
THAR-475,2003C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
THAR-490,2003A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
THAR-100,2016C,JAMES SCHLATTER,2.94,1.14,3.33,3.36,1.43
THAR-115,2003C,JAMES SCHLATTER,3.00,2.08,3.38,3.08,2.31
THAR-130,2016A,ERIC A BARATTA,2.58,2.27,2.83,2.91,2.45
THAR-131,2016C,PETER B WHINNERY,3.00,1.40,3.80,3.50,1.20
THAR-170,2016C,SARAH J DOHERTY,3.42,2.18,3.45,3.55,2.36
THAR-280,2005C,JOHN STUART KATZ,3.11,1.76,2.22,2.11,2.18
THAR-375,2002C,ROSEMARY MALAGUE,3.09,2.09,3.09,2.91,2.82
ENGL-271,2014A,TSITSI E. JAJI,3.25,2.00,3.25,3.29,2.71
THAR-009,2005C,THERESE M LAFFERTY,3.00,2.55,3.09,3.55,2.82
THAR-215,2005C,CARY M MAZER,2.17,2.17,3.29,2.57,2.17
THAR-350,2016C,DAVID MICHAEL O'CONNOR,3.60,2.40,3.60,3.80,3.20
ENGL-259,2016C,JEAN-MICHEL RABATE,3.05,2.53,3.19,3.16,2.11
HIST-093,2013A,ROBERT ST.GEORGE,2.40,2.00,3.00,3.67,1.67
THAR-140,2006A,CARY M MAZER,2.80,2.20,3.00,2.60,2.20
THAR-273,2013A,MARCIA L FERGUSON,2.71,2.13,3.12,2.81,2.38
THAR-279,2016C,ROSEMARY MALAGUE,2.73,1.73,3.17,3.25,2.17
AFRC-309,2014C,SUZANA E BERGER,1.67,1.67,1.67,2.33,2.00
THAR-274,2016C,CARY M MAZER,3.13,1.67,3.50,3.83,1.83
THAR-285,2014A,AMY S KAISSAR,3.50,2.00,3.50,4.00,3.00
CLST-141,2005B,JACQUES A. BROMBERG,3.86,2.43,3.57,3.57,2.71
ENGL-276,2005A,JAMES SCHLATTER,2.09,1.73,2.68,2.18,1.86
THAR-076,2016C,JAMES SCHLATTER,3.14,1.08,2.92,3.17,1.00
THAR-236,2016C,CARY M MAZER,3.67,2.00,3.67,3.78,2.00
THAR-270,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
THAR-112,2013A,CARY M MAZER,3.20,2.89,3.50,3.56,2.67
THAR-271,2016C,DAVID FOX,2.87,2.20,3.07,3.07,2.40
ASAM-275,2007C,THERESE M LAFFERTY,3.80,2.00,4.00,4.00,2.10
HIST-491,2009C,MARION KANT,2.93,2.36,3.27,2.93,2.50
THAR-111,2014A,MARCIA L FERGUSON,2.93,2.31,3.40,3.23,2.54
THAR-125,2016A,JAMES SCHLATTER,2.44,1.83,2.56,2.33,1.83
THAR-240,2014A,CARY M MAZER,3.43,2.17,3.83,3.67,2.83
CLST-315,2007A,EMILY R. C. WILSON,3.32,2.28,3.44,3.32,2.52
EALC-255,2016C,AYAKO KANO,3.40,2.63,3.63,3.56,2.88
HIST-259,2007A,MARION KANT,3.69,2.31,3.85,3.85,2.46
GRMN-310,2008C,MARION KANT,3.00,3.00,4.00,4.00,3.00
THAR-198,2010C,KIM Y EUELL,4.00,2.00,4.00,4.00,2.00
THAR-241,2011B,ROSEMARY MALAGUE,2.25,1.75,2.50,2.75,1.50
ENGL-068,2012B,DAVID B ESPEY,2.14,1.43,1.86,1.43,1.86
THAR-579,2016C,ROSEMARY MALAGUE,2.00,1.67,2.43,3.17,2.50
ENGL-102,2016C,JOAN E LUBIN,2.21,2.43,2.64,2.64,2.71
THAR-320,2016A,ROSEMARY MALAGUE,2.44,1.86,2.22,3.00,2.43
GSWS-328,2013C,JEANNE VACCARO,2.25,2.18,2.08,2.73,1.91
THAR-101,2016C,JAMES SCHLATTER,2.27,2.50,2.45,2.50,2.40
THAR-102,2016A,CARY M MAZER,2.84,2.50,3.26,3.07,2.31
THAR-214,2015C,BRYAN DELANEY,3.50,2.75,3.75,3.75,2.50
AFRC-325,2015C,SUZANA E BERGER,3.67,3.50,3.25,3.75,4.00
ENGL-073,2016A,JENNIFER STERNAD PONCE DE LEON,3.29,2.64,3.53,3.64,2.57
ENGL-270,2016A,JENNIFER STERNAD PONCE DE LEON,4.00,3.00,4.00,4.00,3.00
