ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
TURK-022,2016A,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-024,2015A,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-021,2016C,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-023,2015C,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-025,2007C,FERIDE SERVET HATIBOGLU,4.00,2.00,3.75,4.00,2.50
TURK-028,2013A,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-121,2015C,FERIDE SERVET HATIBOGLU,3.33,2.00,3.67,4.00,2.00
TURK-027,2016C,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-026,2008A,FERIDE SERVET HATIBOGLU,4.00,2.00,4.00,4.00,1.67
TURK-122,2015A,FERIDE SERVET HATIBOGLU,4.00,2.00,4.00,4.00,1.83
TURK-229,2015A,FERIDE SERVET HATIBOGLU,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
TURK-228,2015A,DAISY BRAVERMAN,4.00,3.00,4.00,4.00,2.00
