ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
URBS-110,2007A,ERIC C SCHNEIDER,3.12,2.59,3.12,3.24,3.06
URBS-200,2016C,MORGAN A ROBINSON,2.56,2.00,3.11,2.59,2.24
URBS-202,2016C,MICHAEL C CLAPPER,3.60,2.17,3.93,3.92,2.67
URBS-205,2016A,RICHARD WAYNE BERMAN,3.00,2.00,3.08,3.08,2.33
URBS-206,2016A,MICHAEL P NAIRN,2.60,2.00,3.20,3.25,2.25
URBS-210,2016A,MICHAEL P NAIRN,2.70,2.56,3.00,3.19,3.13
URBS-250,2016A,DONNA R COOPER,3.47,2.50,3.69,3.67,3.00
URBS-252,2016A,DANIEL RUBIN,3.17,2.40,3.00,3.40,2.00
URBS-300,2016A,PAUL SKILTON-SYLVESTER,2.56,1.86,3.33,3.43,3.00
URBS-405,2016A,ANDREW T. LAMAS,3.09,2.37,3.14,3.53,2.63
URBS-410,2009B,MARK J. STERN,3.50,2.50,3.50,3.00,3.00
URBS-450,2016C,ANDREW M RACHLIN,3.40,1.92,3.60,3.67,2.08
URBS-473,2015C,JAMES A. BECKER,3.00,2.80,3.40,3.40,3.20
ANTH-121,2005C,RICHARD L ZETTLER,1.67,2.00,2.26,1.31,2.28
ANTH-139,2009B,JANE K HICKMAN,3.08,1.92,3.54,3.46,2.15
ANTH-312,2013C,FRANCIS E JOHNSTON,1.40,0.67,1.60,2.22,0.33
ANTH-355,2002A,JULIA F PALEY,2.47,2.47,2.59,2.35,2.41
ENGL-272,2015A,DAVID L. ENG,3.89,3.00,3.89,3.78,2.33
GAFL-569,2014C,JOHN KROMER,3.25,1.83,3.58,3.14,1.87
HIST-153,2014A,ROBERT P FAIRBANKS,2.34,2.36,2.61,2.61,2.36
HIST-214,2016A,STEVEN HAHN,2.38,2.14,2.50,2.71,2.29
HIST-580,2003C,MICHAEL B KATZ,3.70,3.40,3.78,3.70,3.70
SOCI-006,2016C,VANI S KULKARNI,2.73,2.33,2.70,2.78,2.56
SOCI-011,2016C,SARAH W ZELNER,2.76,2.56,3.06,3.00,2.78
SOCI-264,2014A,JAN JAEGER,1.29,1.31,1.21,1.54,1.42
SOCI-300,2014C,ROBIN LISA LEIDNER,1.63,2.50,2.25,2.13,3.25
URBS-009,2008A,CURTIS SWOPE,3.00,2.75,3.50,3.25,3.00
URBS-430,2004A,AMY HILLIER,3.67,2.57,3.86,3.57,3.43
URBS-453,2003A,KAREN LISA BLACK,3.50,2.38,3.50,3.63,2.63
URBS-454,2014A,MARK J. STERN,3.00,2.54,3.50,3.54,2.69
URBS-459,2003A,MARK P GAIGE,3.83,3.00,3.83,3.83,3.08
ANTH-303,2016A,GRETCHEN E. L. SUESS,2.25,2.25,2.50,3.50,3.00
ANTH-305,2014C,GRETCHEN E. L. SUESS,2.50,2.33,2.75,3.33,3.00
ASAM-205,2015A,FARIHA KHAN,3.31,2.00,3.31,3.20,2.20
GAFL-505,2005C,CHRISTOPHER PATUSKY,3.80,2.80,3.80,3.80,3.20
HIST-204,2016C,RICHARD SCOTT HANSON,2.67,2.13,2.44,2.88,2.88
SOCI-112,2015C,JANICE FANNING MADDEN,2.18,2.08,2.27,2.42,2.08
