ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
URDU-401,2013C,MUSTAFA A MENAI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
URDU-421,2016C,MUSTAFA A MENAI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
URDU-441,2010A,RUBAB QURESHI,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
URDU-431,2016C,MUSTAFA A MENAI,3.80,2.80,4.00,3.80,2.40
URDU-402,2013A,JOSHUA PIEN,3.80,2.40,3.60,3.60,2.80
URDU-422,2016A,MUSTAFA A MENAI,3.75,2.00,4.00,3.75,1.75
URDU-452,2016C,MUSTAFA A MENAI,3.67,1.50,3.83,4.00,1.67
HIND-400,2016C,JOSHUA PIEN,3.38,1.88,3.38,3.13,2.63
URDU-462,2016A,MUSTAFA A MENAI,3.50,1.40,3.50,3.20,1.00
HIND-401,2016A,JOSHUA PIEN,3.54,2.11,3.85,3.44,2.44
