ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
VLST-101,2016A,MICHAEL LEJA,1.80,2.82,2.25,2.48,2.71
VLST-103,2016A,ANNA E NEIGHBOR,2.80,3.36,3.13,2.93,3.50
VLST-102,2016C,TOM BENDTSEN,2.78,2.89,2.83,3.06,3.22
VLST-395,2016C,IAN F VERSTEGEN,3.00,2.63,3.30,3.25,2.88
VLST-301,2016A,CARIN A BERKOWITZ,2.64,2.23,3.36,3.00,2.46
FNAR-061,2016C,JAMES HOWZELL,3.57,1.83,3.71,3.67,2.50
FNAR-123,2016C,MARJORIE A EDGERTON,2.86,2.00,2.71,3.20,3.00
FNAR-264,2016C,KEITH FLEDDERMAN,2.44,2.14,2.38,2.36,2.93
FNAR-271,2016C,GABRIEL MARTINEZ,3.88,2.50,3.88,3.75,3.13
PHIL-244,2015C,LISA MIRACCHI,2.44,2.56,2.71,2.68,2.55
FNAR-211,2013A,DIANE LACHMAN,3.25,2.75,3.20,2.50,3.25
PHIL-423,2016C,GARY HATFIELD,2.33,2.86,2.60,3.00,3.00
PSYC-111,2016C,JOHANNES BURGE,2.64,2.87,2.86,2.97,2.13
PSYC-311,2016A,NICOLE RUST,2.00,2.20,2.69,2.50,2.30
PSYC-217,2012A,NICOLE RUST,3.05,2.35,3.10,3.03,2.18
PSYC-117,2010A,NICOLE RUST,2.30,2.98,2.40,2.04,2.49
VLST-303,2016A,TANYA A JUNG,3.67,2.00,3.83,3.67,2.40
VLST-305,2016C,IAN F VERSTEGEN,2.13,2.88,2.50,2.25,2.75
PHIL-223,2013C,GARY HATFIELD,3.15,3.00,3.15,3.08,2.62
BIBB-217,2016A,JUDITH MCLEAN,2.59,2.71,2.92,2.57,2.05
VLST-540,2014C,CHRISTOPHER PASTORE,3.25,3.00,3.25,3.50,3.00
ARTH-235,2016C,RENATA HOLOD,2.20,3.00,2.10,2.63,2.50
FNAR-145,2016C,TOM BENDTSEN,2.92,2.33,3.00,3.33,2.56
FNAR-150,2016C,FREDERICK WAHL,3.10,2.67,3.50,3.83,2.83
FNAR-340,2016C,TONY WARD,3.20,2.25,3.60,3.75,2.50
ARTH-102,2016A,LISA BOURLA,1.71,2.65,1.47,1.88,2.71
ARTH-103,2015A,JULIE NELSON DAVIS,3.06,2.30,3.26,3.38,2.33
ARTH-294,2016A,KAJA SILVERMAN,3.65,3.17,3.77,3.80,3.10
FNAR-250,2016A,MARC E BLUMTHAL,4.00,1.80,4.00,4.00,2.40
ARTH-104,2015C,MICHAEL W MEISTER,1.44,2.11,1.82,1.89,1.33
VLST-223,2016A,KEVIN LIAM CONNOLLY,3.06,2.07,3.17,3.21,1.79
