ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
WH-399,2016C,ARNOUT SCHURMANS,1.64,2.25,2.45,1.38,2.75
WH-299,2016C,ARNOUT SCHURMANS,3.15,2.11,3.62,3.44,2.33
WH-398,2014A,PETER S FADER,3.79,2.29,3.41,3.70,2.60
FNCE-897,2016A,BULENT GULTEKIN,3.05,2.45,3.22,3.28,2.66
MGMT-893,2015A,DAVID H. HSU,2.69,1.86,3.06,3.14,2.57
MKTG-893,2016A,ZHONG ZHANG,2.00,1.00,2.59,2.62,1.08
OPIM-899,2015A,EDWIN YEEMAN KEH,3.52,2.30,3.42,3.40,2.70
WH-150,2016A,CATHERINE M. SCHRAND,1.58,2.00,2.17,1.25,2.38
WH-213,2016A,MAURO FEDERICO GUILLEN,2.71,2.06,3.11,3.10,2.42
FNCE-896,2016A,BULENT GULTEKIN,2.86,1.81,3.00,2.96,1.73
HCMG-890,2016C,DOUGLAS PRESENT,3.60,1.79,3.60,3.68,1.83
OIDD-892,2016A,KARTIK HOSANAGAR,3.67,1.93,3.56,3.67,1.80
OIDD-899,2016A,EDWIN YEEMAN KEH,3.52,2.74,3.24,3.30,3.09
