ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
WRIT-002,2016C,FAYYAZ A VELLANI,3.73,1.44,4.00,3.78,2.78
WRIT-011,2016C,PATRICK T WEHNER,1.64,2.10,3.09,2.80,3.30
WRIT-013,2016C,CHRISTA D CESARIO,2.19,2.20,2.88,3.00,3.13
WRIT-015,2016C,KATHLEEN M KRAMER,2.40,2.33,3.06,3.13,3.13
WRIT-016,2016C,JACQUELINE N SADASHIGE,2.87,2.50,3.13,3.33,3.00
WRIT-023,2015C,MICHAEL A BURRI,1.75,2.60,2.19,2.00,3.80
WRIT-025,2016C,CAROLYN J TRENCH,2.54,2.42,3.54,3.33,3.42
WRIT-026,2016C,ALISON C TRAWEEK,2.21,2.38,3.21,2.69,3.29
WRIT-027,2016C,ALISON MARIE HOWARD,3.00,2.00,3.44,3.27,3.13
WRIT-030,2016C,KATHLEEN M KRAMER,2.80,2.63,3.40,3.50,2.75
WRIT-039,2016C,AMY L PAETH,2.88,2.44,3.50,3.38,3.38
WRIT-040,2016A,FAYYAZ A VELLANI,2.64,1.75,3.64,3.58,2.58
WRIT-042,2008C,LINDA J. LEE,2.27,3.07,2.47,2.20,3.53
WRIT-048,2008C,MARA E. TAYLOR,2.79,2.14,3.50,3.14,2.71
WRIT-049,2016C,JULIA E GUNN,2.67,2.50,3.47,3.00,3.57
WRIT-057,2010A,JO ANN CAPLIN,2.40,1.92,2.80,2.85,3.31
WRIT-065,2010A,RODGER C LEGRAND,2.00,2.42,2.57,2.17,3.17
WRIT-067,2016A,LEE VEERARAGHAVAN,2.17,2.17,3.67,3.00,3.17
WRIT-068,2014A,DARREN POEHLEIN ASHBY,1.77,2.50,3.46,3.25,3.75
WRIT-073,2016C,CHRISTOPHER CAIN ELLIOTT,2.87,2.73,3.67,3.40,3.40
WRIT-076,2016C,MATTHEW D BERKMAN,1.53,2.71,2.33,2.29,3.14
WRIT-077,2016C,SHALEIGH KWOK,2.63,2.13,3.44,2.93,3.40
WRIT-084,2008C,CRAIG EPPLIN,2.50,2.36,3.36,3.15,3.07
WRIT-085,2008C,ARNOUT SCHURMANS,3.00,2.38,3.38,3.00,3.56
WRIT-088,2016C,RHIANNON M MATON,1.94,2.27,2.69,2.27,3.33
WRIT-089,2016C,DANIEL M. CHOI,2.69,2.07,3.31,3.57,3.43
WRIT-125,2010A,AVERY ROME,2.57,2.00,3.29,3.33,2.50
WRIT-135,2016A,VALERIE ROSS,2.91,1.73,3.36,3.18,2.18
WRIT-024,2008C,JODY A ROBERTS,3.13,1.56,3.44,3.13,1.69
WRIT-029,2013A,CARLA I LEWANDOWSKI,2.00,2.33,3.23,2.33,3.33
WRIT-059,2010A,JONATHAN T. GRESS-WRIGHT,1.62,2.46,2.46,2.23,3.31
WRIT-090,2010A,CHRISTOPHER J. MUSTAZZA,3.47,2.07,3.80,3.79,3.07
WRIT-041,2008C,COLETTE C COPELAND,2.71,2.43,2.79,2.64,3.29
WRIT-082,2015A,PHILLIP FACKLER,2.55,2.56,3.27,3.00,3.89
ENGL-135,2016C,LORENE E CARY,3.17,2.50,3.50,3.50,2.50
WRIT-150,2012B,ELIZABETH C. SCHEYDER,3.50,1.78,3.90,4.00,2.10
WRIT-010,2010C,GARRY BERTHOLF,2.79,3.33,3.50,3.50,3.60
WRIT-036,2013A,MADELEINE S WILCOX,2.19,2.50,2.81,2.77,3.79
WRIT-086,2010C,DURBA CHATTARAJ,2.69,2.36,3.50,3.00,3.07
WRIT-113,2013A,MATTHEW S. JOHNSON,2.08,2.82,3.92,3.55,3.45
WRIT-115,2014A,ISABEL J SUCHANEK,1.57,3.00,2.93,2.91,3.82
WRIT-126,2012A,MARIAN W MAKINS,2.40,2.89,2.90,2.78,3.56
WRIT-130,2016C,RODGER C LEGRAND,2.54,2.90,2.69,2.90,3.30
WRIT-014,2015A,ENRIQUE G. RAMIREZ,1.69,2.55,2.93,2.18,3.18
WRIT-028,2016C,BYRON K.H. LEE,2.88,2.36,3.38,3.25,3.17
WRIT-038,2016C,ELIZABETH C. SCHEYDER,2.53,2.40,3.67,3.00,2.73
WRIT-021,2016C,KRISTEN ASHLEY HIPOLIT,2.67,1.92,3.40,3.31,2.62
WRIT-034,2016C,RHIANNON M MATON,2.00,2.92,2.38,2.50,3.67
WRIT-050,2016C,SAMANTHA K MUKA,2.50,2.43,3.07,3.14,3.50
WRIT-083,2016C,ELLA R. BROWNING,2.79,2.17,3.64,3.42,3.33
WRIT-092,2016C,JONATHAN ARGAMAN,3.00,1.77,3.64,3.23,3.38
