ALIAS,SEMESTER,INSTRUCTOR,COURSE_QUALITY,DIFFICULTY,INSTRUCTOR_QUALITY,STIMULATE_INTEREST,WORK_REQUIRED
WSTD-223,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
WSTD-231,2002A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
WSTD-258,2005A,ROSE MARIE KADENDE-KAISER,3.29,2.14,3.50,3.43,2.57
WSTD-259,2005A,DANA L. BARRON,4.00,2.25,4.00,3.75,2.50
WSTD-320,2005A,DOROTHY E KURZ,2.69,2.31,2.75,2.63,2.75
WSTD-400,2005C,DOROTHY E KURZ,3.00,3.00,3.33,2.83,3.67
ANCH-535,2016C,CAMPBELL AINSWORTH GREY,3.00,3.00,4.00,4.00,4.00
ANTH-544,2002A,JAY T DAUTCHER,4.00,3.00,4.00,3.67,3.33
CLST-204,2003A,JACQUELINE N SADASHIGE,3.24,2.04,3.50,3.71,2.25
ENGL-001,2008A,LYNNE RATLIFF,2.11,1.78,1.33,1.13,2.00
ENGL-090,2016C,DAVID WALLACE,3.25,2.33,3.81,3.43,2.27
ENGL-233,2011A,PETER STALLYBRASS,2.81,1.53,3.50,2.80,1.73
ENGL-290,2016C,MARION KANT,3.50,2.00,3.75,3.50,1.75
ENGL-293,2015A,SUVIR KAUL,3.00,3.00,3.00,3.00,2.67
FILM-208,2002A,RUTH PERLMUTTER,2.78,1.44,2.78,2.56,1.44
FOLK-270,2016C,DAVID AZZOLINA,3.61,1.19,3.81,3.85,1.44
GRMN-262,2016C,KATHRYN HELLERSTEIN,2.40,2.20,2.50,2.70,2.30
HIST-202,2016C,ALEXANDER HAZANOV,3.33,2.50,3.33,3.67,2.33
HIST-206,2016C,JANINE M VAN VLIET,2.25,1.75,2.25,3.00,2.25
HIST-346,2014A,KATHLEEN M BROWN,3.27,2.20,3.45,3.47,2.70
HSOC-216,2016A,BETH LINKER,3.88,2.27,3.94,3.93,2.60
HSSC-330,2002A,MARY SUSAN LINDEE,3.21,2.15,3.64,3.21,2.36
ITAL-534,2009A,VICTORIA E KIRKHAM,1.14,2.14,1.00,1.29,2.43
MGMT-224,2003A,HELENE ELTING,2.79,1.75,2.71,2.75,2.13
NURS-518,2015C,CYNTHIA A. CONNOLLY,3.35,1.69,3.50,3.46,1.75
RELS-005,2016C,MEGAN E ROBB,3.48,2.14,3.77,3.71,2.81
SARS-206,2003A,DIDITI MITRA,2.20,3.40,2.20,2.40,4.00
SOCI-004,2016C,COLETTE JOYCE,3.28,2.11,3.38,3.56,2.11
SOCI-117,2016C,ROBIN LISA LEIDNER,2.67,1.80,3.00,2.80,2.20
SOCI-122,2015C,ROBIN LISA LEIDNER,2.94,1.73,2.91,2.97,1.93
ENGL-284,2015A,HERMAN BEAVERS,3.17,3.00,3.25,3.50,3.29
WSTD-110,2002C,FELICITY PAXTON,3.50,3.00,3.67,3.92,2.75
WSTD-201,2003A,DEBORAH L. SHAPPLE,3.50,2.46,3.58,3.46,2.77
AMES-397,2004A,FRANK L. CHANCE,3.60,1.80,3.90,3.30,2.10
ANTH-009,2008A,WILLIAM B HAFFORD,2.80,2.10,3.20,2.80,3.00
ANTH-416,2005A,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-390,2015C,MELISSA E. SANCHEZ,3.67,2.67,4.00,3.83,2.83
ENGL-393,2013C,SUVIR KAUL,3.25,2.50,3.50,3.75,2.75
FREN-360,2016C,JOAN ELIZABETH DEJEAN,3.75,2.14,3.63,3.57,3.00
HSSC-261,2005A,ELLEN ELIZABETH FOLEY,3.57,2.29,3.71,3.76,2.67
ITAL-310,2010A,VICTORIA E KIRKHAM,2.33,2.88,2.56,2.00,3.00
PHIL-028,2014A,MILTON W. MEYER,3.50,3.00,3.75,3.67,2.67
PSCI-581,2009A,NANCY J. HIRSCHMANN,3.43,2.86,3.57,3.29,3.29
RUSS-125,2011A,SARAH KERMAN,2.70,2.30,2.70,2.05,3.25
SOCI-007,2016C,CHENOA ANNE FLIPPEN,2.76,2.29,3.26,3.18,2.46
SOCI-104,2003A,EWA R MORAWSKA,3.35,2.04,3.50,3.27,2.31
SOCI-112,2015C,JANICE FANNING MADDEN,2.18,2.08,2.27,2.42,2.08
SOCI-231,2016C,VANI S KULKARNI,3.00,2.25,3.50,3.25,2.75
SOCI-425,2006A,ROBIN LISA LEIDNER,1.00,1.70,1.10,0.90,2.10
THAR-250,2016C,MARCIA L FERGUSON,3.73,1.75,3.82,3.88,2.50
COMM-430,2010A,KATHERINE E. SENDER,3.06,2.27,3.56,3.27,2.60
WSTD-266,2003B,MONICA POPESCU,3.80,2.20,3.60,3.40,2.60
WSTD-002,2005C,MEGAN TRACY,2.81,2.33,2.90,2.57,2.90
WSTD-009,2005C,FELICITY PAXTON,3.56,2.06,4.00,3.94,2.56
WSTD-082,2005C,FELICITY PAXTON,3.54,1.54,3.92,3.69,2.23
WSTD-234,2002C,JACQUELINE N SADASHIGE,3.91,2.27,3.91,3.91,2.00
WSTD-238,2003C,MAGGIE N. NASSIF,2.36,2.18,2.45,2.55,1.82
WSTD-409,2002C,CYNTHIA J. LITTLE,2.67,3.17,2.83,2.67,3.50
WSTD-422,2005B,KRISTINE LYNN RABBERMAN,4.00,3.00,4.00,4.00,3.43
AMES-168,2002C,JENNIFER R. HOUSER,3.62,2.15,3.85,3.62,2.23
AMES-187,2004C,LINDA H. CHANCE,2.83,2.50,2.75,2.25,2.58
ANTH-129,2005C,TONYA N TAYLOR,1.38,2.63,1.88,2.13,3.25
ANTH-411,2004C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
BIOL-008,2016A,HILLARY C.M. NELSON,3.00,1.62,3.36,3.31,2.23
ENGL-003,2005C,ADAM T HOTEK,3.92,2.08,3.85,3.92,2.62
ENGL-093,2012A,RITA BARNARD,3.29,2.57,3.71,3.29,2.57
ENGL-260,2015C,ELIZABETH F BLUM,4.00,2.00,4.00,4.00,1.75
ENGL-281,2016A,OMARI M WEEKES,3.75,2.29,3.75,3.86,2.43
FOLK-502,2005C,MARY T. HUFFORD,3.83,3.33,4.00,4.00,3.17
HIST-345,2015A,KATHLEEN M BROWN,2.82,2.26,3.06,3.41,2.41
HIST-407,2006A,LARRY SILVER,2.36,2.21,2.79,2.57,2.21
ITAL-537,2013C,KEVIN BROWNLEE,2.50,2.00,2.50,3.00,2.00
MUSC-075,2012A,WILLIAM E PARBERRY,2.62,2.29,2.76,2.64,1.43
PHIL-249,2016C,QUAYSHAWN SPENCER,4.00,3.00,4.00,4.00,2.00
PHIL-485,2013A,MILTON W. MEYER,2.63,3.13,2.38,2.75,2.50
SARS-109,2004C,HELEN SHEEHAN,3.00,1.46,3.15,2.46,1.77
SOCI-542,2016A,ROBIN LISA LEIDNER,3.17,2.33,3.33,3.17,2.67
THAR-375,2002C,ROSEMARY MALAGUE,3.09,2.09,3.09,2.91,2.82
URBS-270,2016A,DOMENIC VITIELLO,3.27,2.08,3.47,3.42,2.50
WSTD-129,2003C,AYSE GURSAN-SALZMANN,3.60,2.40,3.60,3.40,3.60
ENGL-070,2016C,JENNIFER STERNAD PONCE DE LEON,3.09,2.40,3.26,3.20,2.90
ENGL-225,2015C,DAVID WALLACE,3.42,2.45,3.58,3.55,2.27
ENGL-276,2005A,JAMES SCHLATTER,2.09,1.73,2.68,2.18,1.86
HIST-349,2015A,KATHY PEISS,3.41,2.76,3.52,3.33,3.14
MUSC-253,2003C,CAROL ANN MULLER,3.00,2.29,3.43,3.14,2.57
SOCI-541,2015C,JANICE FANNING MADDEN,3.54,2.82,3.62,3.73,2.82
THAR-290,2005C,MARION KANT,3.04,2.21,3.46,3.29,2.17
WSTD-149,2005C,DAVID S COHEN,3.75,1.75,3.81,3.56,2.06
AMES-118,2004A,PARDIS MINUCHEHR,2.83,1.33,2.50,2.08,2.17
AMES-185,2004C,JACQUELINE Y. PAK,4.00,2.00,4.00,3.83,2.17
AMES-186,2004C,AYAKO KANO,3.53,2.93,3.73,3.33,3.40
ANTH-146,2005C,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
ENGL-051,2016C,CHRISTINE M WOODY,3.40,2.00,3.60,3.40,2.60
ENGL-096,2016C,JEANNE VACCARO,3.05,2.00,3.30,3.37,1.88
ENGL-255,2014A,EMILY STEINLIGHT,3.53,2.71,3.79,3.82,3.50
ENGL-259,2016C,JEAN-MICHEL RABATE,3.05,2.53,3.19,3.16,2.11
FILM-503,2004C,SUSAN B MACKAY-KALLIS,2.70,2.40,2.70,2.90,2.60
PSCI-280,2008B,JENNIFER COLEMAN,2.33,2.00,2.33,2.67,2.33
SOCI-041,2016C,DANIEL A COHEN,2.75,2.36,3.08,3.45,3.18
WSTD-240,2004A,SUSAN A. MILLER,2.44,2.56,2.78,2.78,2.78
AMES-048,2004A,TONIA SHARLACH NASH,3.00,2.25,3.75,3.25,2.75
COMM-238,2004A,AMY SARCH SCHOPICK,2.77,2.52,2.71,2.73,2.70
ENGL-016,2016C,ELAYNA A BROWNE,3.75,2.50,4.00,3.75,3.50
